node_number	id	root_class	top_visible	derivation_rank	paper_section	label	introduction_reason
001	I001	FREE_INPUT	true	0	1.1.1	Branching parameter b	Free branching input; visible at the origin.
002	I002	FREE_INPUT	true	0	1.1.2	Finite approximant depth L	Free finite-depth input; visible at the origin.
003	C001	PRIMITIVE_INITIAL_OBJECT	true	0	1.1.3	Empty carrier ∅	Primitive empty carrier; visible at the origin.
009	A001	AUXILIARY_BOOTSTRAP	false	5	1.2.2	Genesis seed ★	Payload-free singleton token introduced only at bootstrap section 1.2.2.
010	N001	FIXED_NORMALIZATION	false	6	1.2.3	Initial conductance normalization C★=1	Fixed conductance normalization introduced only after the first slot exists.
017	C006	MATHEMATICAL_OPERATOR	false	11	1.3.3	Birth-local Schur/DtN primitive	Generic Schur/DtN operator introduced at its first use in section 1.3.3.
022	O001	OBSTRUCTION_GATE	false	14	1.3.7	IST response-independent directed-bias obstruction	Legacy-bias obstruction introduced at the affected birth-law gate.
023	C015	FIXED_RULE_CONVENTION	false	14	1.3.8	Active linear steering mode φ(x)=x	Identity steering convention introduced after response construction in section 1.3.8.
034	N002	ADDITIVE_ORIGIN_CONVENTION	false	20	1.5.2	Response-time origin T₁=0	Response-time origin introduced only after event and lapse notions exist.
041	O002	OBSTRUCTION_GATE	false	24	1.6.1	IST post-hoc sym-control obstruction	Post-hoc control obstruction introduced in the control section.
