context_score	matched_terms	ID	Object	Phase	Documented	Source objects	Definitions	Proof target	Proof sketch	Verification / audit	Next documentation action
18	dtn; schur; generalizeddtn; boundary; operator; handoff	S06	GeneralizedDtN / MultiSchur	3.7	no	Boundary operator + additional ports.	GeneralizedBoundaryOperatorProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.
16	dtn; schur; boundary; laplacian; matrix; operator; complement; elimination	BR08	Horizontal/vertical Schur-duality bridge	10.4.1	no	S05 DtN boundary operator; BR06 boundary route extrema; BR07 thread-recursion arithmetic shadow; S07/S08 route profiles; TM0-TM2 transfermatrix chain; CD7 Hurwitz stop; O05 operational discriminant.	SchurHorizontalVerticalDualityProfile with explicit horizontal block/sector elimination map, vertical level-recursion map, and a comparison/commutation or factorization statement over one derived Dirichlet-Laplacian.	Prove that horizontal sector Schur-complementing and vertical level-recursive Schur-complementing are compatible factorizations/aspects of the same multiscale Schur decomposition, or split/obstruct the statement at the first precise failure.	Positive route: first instantiate one finite generated tree/cut; build the full Dirichlet-Laplacian with both sector and level block indices; express both elimination orders; prove entrywise equality/naturality where defined. Avoid importing physical analogy or CD/arithmetic conclusions as assumptions.	Requires local Lean theorem evidence and concrete computable instance traversal. Must audit whether the two decompositions actually commute, require side conditions, or only share a weaker universal source.	Prepare only after S05/O05/TM0/CD7/BR06/BR07 are neutral and documented; then split into smaller lemmas if the block-index product structure is too deep.
13	dtn; schur; boundary; matrix; operator	BR06	Boundary-route extrema contract	3.0	no	S07; S08; ExistingIdealThreadNoGo; FullBoundaryAudit; BoundaryOperatorProfile consumer needs.	Route contract classifying a proof or computation as thread-scalar, full-boundary, or generated-intermediate.	Before Schur/DtN neutral wrappers, prove/record that nontrivial matrix geometry is sourced from full/generated boundary data and not from IdealThread singleton route.	Use S07 singleton facts plus ExistingIdealThreadNoGo to block non-singleton claims from IdealThread; use S08 full-carrier facts to authorize full-region matrix route.	Pending Phase 3.0 preparation; must include concrete finite instance traversal and import firewall.	Prepare exact module manifest for BoundaryRouteContract before Phase 3.1.
13	dtn; schur; boundary; operator; complement	LEG35	Ontic subsystem-minimality contract	1.1.1.1.0.16	yes	IDEAL_infty formal provenance whole; subsystem/cut/approximant; complement-family/regime split; Schur/DtN effective operator path	Subsystem-being is the only primitive ontic emergence trigger: a finite/local subsystem, cut or approximant is selected inside IDEAL_infty. IDEAL_infty remains the formal relational/provenance whole. Boundary, inside/outside, complement families, regimes, operators, spectra, algebra, arithmetic, geometry, dynamics and physics are downstream derived consequences or comparison-only interpretations.	Prevent any phase from importing dynamics, physics, stochasticity, geometry, arithmetic, operator algebra, environment or unitarity as primitive data beyond subsystem-being.	Declare POST1 as global postulate. Route every later non-subsystem object through source-object chains beginning with cut/approximant and passing through boundary/regime/complement and Schur/DtN or a certified later bridge. Add GNG22 so missing structure forces backjump to the natural generating layer rather than consumer-side patching.	Generated global-postulate table, GNG22, workflow policy and LEG35 dossier must be present before active implementation. Future phase audits must state whether physical/arithmetic/geometric claims are derived or comparison-only.	When implementation starts, require the module manifest and proof dossiers to record the subsystem/cut provenance chain for every consumer that mentions dynamics, geometry, arithmetic, stochasticity, openness, unitarity or physics.
11	dtn; schur; boundary	LEG26	Reflective thread/full-boundary analogy diagnostic boundary	19.5	no	LEG25; LT5; S07; S08; BR06; BR07; derivation-graph metadata.	Secondary diagnostic boundary for string-like/thread-full analogies.	Ensure analogy-based reports remain downstream documentation and never become CNNA-generative inputs.	Require closed proof dossiers for underlying objects before comparison; generated graph data may diagnose but not create CNNA mathematics.	Future-only; not-before gates not closed.	Keep black/side target until after Schur/DtN and arithmetic dossiers are complete.
10	dtn; schur	LEG32	Derived-only exact quadratic provenance contract	1.1.1.1.0.13	yes	LEG31, O00, O05/O06 plan, mathlib QuadraticAlgebra and AdjoinRoot reference docs, CD9 noncircularity rule	No-free-sqrt scalar provenance contract. The exact quadratic layer is a relation-generated algebra over a derived D, not an axiom or analytic square root.	Prevent O09 from becoming a postulated algebraic-number source. Ensure every exact quadratic instance cites a proof-carrying D-source.	Use dependency order: first operational Schur/DtN/charpoly/determinant produces D; then O09 constructs a two-coordinate algebra with theta^2 = D; then BR14 projects trace/norm/invariants. Missing D forces a backjump to O05/O06.	Planning lock only. Web/mathlib references support the construction pattern; Lean implementation deferred to O09/O10/BR14 phases.	During Phase 1.1.1.1.1, scalar-related module manifests must classify schema versus D-instantiation versus mirror proof.
9	dtn; boundary; laplacian; operator; handoff	S05	DtN boundary operator	3.6	no	Laplacian blocks + inverse certificate.	BoundaryOperatorProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.
8	schur; boundary; matrix; operator	LEG24	Phase 3 to Phase 4 consumer-contract direction	1.1.1.1.0.6	yes	Phase 3.6 BoundaryOperatorProfile; Phase 4.1 ExecBoundaryMatrix; GEN-1 generator policy	Phase 3 exports consumer-ready profile; Phase 4 consumes it; no reverse import and no duplicate generator/Schur logic	Show wrapper order respects derivation while allowing downstream consumer shape to constrain public API.	Planning proof: phase goals and workflow require contract direction fields before either phase is prepared.	Rendered phase goals updated for 3.6 and 4.1; no Lean code changed.	When Phase 3.6 is prepared, write the exact carrier/operator fields expected by Phase 4.1.
7	schur; boundary; matrix	BR07	Thread-recursion arithmetic-shadow audit profile	4.0	no	RecursiveSchurSource; MobiusTransfer; CharpolyExec; S07; BR06; operational discriminant chain.	Audit profile locating the scalar recurrence source: IdealThread singleton, full-boundary diagonal, or generated intermediate route.	Show the precise code provenance of sigma/recurrence/transfer entries before interpreting arithmetic outputs as thread-generated.	Trace recurrenceLedger.recursiveSource, boundaryMatrixAt diagonal use, MobiusTransfer parameters, and discriminant output fields. Do not accept D=-3/-4/string claims until the route is code-derived.	Pending Phase 4.0; no claim of completed route provenance yet.	When Phase 4.0 activates, fill source-to-CNNA mapping and concrete executable witness.
7	dirichletlaplacian; laplacian; handoff	S00	Dirichlet-Laplacian	3.1	no	Partition + weights + adjacency.	DirichletLaplacianProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.
