id	paper_section	label	classification	proof_nodes	decision_reason
C020	2.1.1	General admissible boundary/interior cut family	SPLIT_PUBLIC_OWNER	P007	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C021	2.1.2	General directed Schur/DtN response	SPLIT_PUBLIC_OWNER	P008;P009;P010	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C022	2.1.3	Schur nesting/common-ambient naturality	ALREADY_EXPLICIT_PROOF_NODE	C022	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
C023	2.2.1	Symmetric/skew response split S,A	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
C024	2.2.2	Backreaction current B=A_live−A_record	NO_SEPARATE_REUSABLE_GATE_IDENTIFIED		The node is a definition/construction or blocked derived carrier. Its nontrivial closure is already owned by explicit predecessor/successor theorem nodes, or the remaining facts are implementation-local lemmas rather than independent DAG outputs.
M030	3.1.1	Canonical effective F1/F2 role functor	SPLIT_PUBLIC_OWNER	P012;P013	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
M031	3.4.1	Intrinsic directed response algebra	SPLIT_PUBLIC_OWNER	P016	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C040	4.1.1	Inverse-depth Cauchy/Hilbert ancestor carrier H	SPLIT_PUBLIC_OWNER	P017;P018	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C041	4.1.2	Exact pre/post-Schur factorization M=A_eff H	ALREADY_EXPLICIT_PROOF_NODE	C041	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
C042	4.2.1	Canonical-schedule ancestor-return rank closure	ALREADY_EXPLICIT_PROOF_NODE	C042	The node already is a standalone theorem, obstruction, or proof/control gate; duplicating it with another P-node would add no dependency information.
C043	4.4.1	Refinement/cocycle/live reconstruction	SPLIT_PUBLIC_OWNER	P023;P024;P025	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C050	5.1.1	Finite-support raw presymplectic carrier (V_fin,σ_raw)	SPLIT_PUBLIC_OWNER	P026	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C051	5.1.2	Algebraic Weyl direct system	SPLIT_PUBLIC_OWNER	P027	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
M050	5.2.1	Derived provenance Hilbert metric G	SPLIT_PUBLIC_OWNER	P028;P029	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C052	5.2.2	Hilbert-Schmidt normalized skew operator K	SPLIT_PUBLIC_OWNER	P030;P031	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C053	5.3.1	Regular quasifree provenance state ω_prov	SPLIT_PUBLIC_OWNER	P034	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
C054	5.2.3	Algebraic radical triviality and infinite rank	SPLIT_PUBLIC_OWNER	P032;P033	The node exposes a public construction or aggregate theorem whose independently falsifiable/reusable closure gates are listed explicitly.
