node_number	id	paper_section	derivation_order	node_role	documentation_tier	documentation_tier_rule	main_paper_depth	supplement_depth	countercheck_requirement	python_anchor_status	lean_anchor_status	documentation_v2_state
001	I001	1.1.1	1	INPUT	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	RESOLVED	RESOLVED	COMPLETE_V2
002	I002	1.1.2	2	INPUT	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	RESOLVED	RESOLVED	COMPLETE_V2
003	C001	1.1.3	3	CONSTRUCTION	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	RESOLVED	RESOLVED	COMPLETE_V2
004	C002	1.1.4	4	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED	COMPLETE_V2
005	C003	1.1.5	5	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED	COMPLETE_V2
006	C018	1.1.6	6	PROOF_OWNER	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	RESOLVED	RESOLVED	COMPLETE_V2
007	P002	1.1.6.1	7	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	NOT_REQUIRED_STATIC_PROOF	RESOLVED_6_KERNEL_AXIOM_FREE_VERIFIED	COMPLETE_V2
008	C004A	1.2.1	8	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED	COMPLETE_V2
009	A001	1.2.2	9	CONSTRUCTION	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	RESOLVED	RESOLVED	COMPLETE_V2
010	N001	1.2.3	10	CONSTRUCTION	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	RESOLVED	RESOLVED	COMPLETE_V2
011	C013	1.2.4	11	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED	COMPLETE_V2
012	T001	1.2.5	12	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	RESOLVED	RESOLVED	COMPLETE_V2
013	M005	1.2.6	13	PROOF	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	RESOLVED	RESOLVED	COMPLETE_V2
014	C014	1.2.7	14	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED	COMPLETE_V2
015	C005	1.3.1	15	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED	COMPLETE_V2
016	C004	1.3.2	16	CONSTRUCTION	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	RESOLVED	RESOLVED	COMPLETE_V2
