context_score	matched_terms	Generated export	Object ID	Object	Phase	Object status	Proof documentation status	Proof dossier	Consumption class	Classification evidence	Public promotion gate	Module	Path	Line	Declaration	Basename	Module class	Reference consumer count	Reference consumer sample	Group	Imported-by count	Class	Meaning	Evidence rule	Public/API disposition	Blocked promotion rule
11	module consolidation; leg36; public api	object_consumption_classification.generated.tsv	LEG36	Semantic module consolidation ledger	1.1.1.1.5	Y	active-prepared-in-V1.12	proof:LEG36	legacy-policy	object layer is planning/governance/legacy control surface	blue objects are blocked; all public exports additionally require proof dossier and public API contract															
9	compatibility; boundarysource; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	210	CNNA.PillarA.Arithmetic.CayleyDickson.CDComplexArithmeticBridge.fromBoundarySource	fromBoundarySource	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
9	compatibility; boundarysource; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	333	CNNA.PillarA.Arithmetic.StrengtheningAR6a.AR6aCDComplexArithmeticBridgeFromBoundarySource	AR6aCDComplexArithmeticBridgeFromBoundarySource	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
9	compatibility; cayleydickson; notation; consumer; public api	module_consumption_records.generated.tsv							proof-bridge	module name carries certificate/proof/bridge/identity role	not public-final unless an object proof dossier and public API contract later permit it	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean					93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation	PillarA/Arithmetic	4					
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	12	CNNA.PillarA.Arithmetic.CayleyDickson.StructuralCDSource	StructuralCDSource	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	17	CNNA.PillarA.Arithmetic.CayleyDickson.AR6aCarrierTransferStatus	AR6aCarrierTransferStatus	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	21	CNNA.PillarA.Arithmetic.CayleyDickson.AR6aEmbeddingTransferStatus	AR6aEmbeddingTransferStatus	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	25	CNNA.PillarA.Arithmetic.CayleyDickson.AR6aConjugationTransferStatus	AR6aConjugationTransferStatus	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	29	CNNA.PillarA.Arithmetic.CayleyDickson.AR6aProductTransferStatus	AR6aProductTransferStatus	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
8	compatibility; cayleydickson; notation; consumer	declaration_consumption_records.generated.tsv							proof-bridge	inherits module classification: module name carries certificate/proof/bridge/identity role	blocked from public-final unless later linked to a documented object/API contract	CNNA.PillarA.Arithmetic.CayleyDickson.ArithmeticCDBridge	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean	33	CNNA.PillarA.Arithmetic.CayleyDickson.AR6aNormTransferStatus	AR6aNormTransferStatus	proof-bridge	93	CNNA.PillarA.Arithmetic.Convergence.CDArithmeticCompatibility; CNNA.PillarA.Arithmetic.Convergence.QuaternionRamanujanInterface; CNNA.PillarA.Arithmetic.Notation							
