owner_node	paper_section	question_type	label	status	explicit_question_or_obligation	closure_condition	basis_state	basis_source_file_ids	evidence_state	evidence_refs	direct_predecessors
P002	1.1.6.1	PROOF_OBLIGATION	Canonical schedule strict-total-order closure	CLOSED_VERIFIED	Prove that the C018 breadth-first/lexicographic relation is a strict total order on provenance addresses and induces a strict total order on open-slot selected children modulo extensional equality of the selected child address.	Six public P002 declarations compile under Lean 4.31.0, all six have empty #print axioms profiles, and the full package-boundary audit passes.	C018_STATIC_ORDER_THEOREMS_KERNEL_CERTIFIED	C003;C018	KERNEL_VERIFIED_AXIOM_FREE_6_OF_6_FULL_BOUNDARY_PASS	derivation/code/lean/audit/evidence/USER_LOCAL_P002_FULL_BUILD_20260808.json;derivation/code/lean/audit/evidence/USER_LOCAL_P002_FULL_BUILD_20260808.txt	C003
C013	1.2.4	CLOSED_CONSTRUCTION_OR_THEOREM	First non-root provenance birth v₁	CLOSED_VERIFIED	Bootstrap birth using s₁ and C★=1. No pre-existing nontrivial network response is available before this relation exists.	Bootstrap birth using s₁ and C★=1. No pre-existing nontrivial network response is available before this relation exists.	CURRENT_IMPLEMENTATION		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/C013.json	A001;C004A;N001
T001	1.2.5	CLOSED_CONSTRUCTION_OR_THEOREM	Seed-neutrality theorem for first birth	CLOSED_VERIFIED	For all admissible bootstrap seeds η,η′ the generated first weighted provenance state is identical/canonically identical, with C(r,v₁)=1. The seed leaves no state variable behind.	For all admissible bootstrap seeds η,η′ the generated first weighted provenance state is identical/canonically identical, with C(r,v₁)=1. The seed leaves no state variable behind.	CURRENT_IMPLEMENTATION		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/T001.json	C013
M005	1.2.6	CLOSED_CONSTRUCTION_OR_THEOREM	Conductance-unit normalization independence	CLOSED_VERIFIED	Show C★ fixes units rather than adding a third physical input, e.g. by formulating later steering in normalized response variables and proving positive common rescaling changes only units.	Show C★ fixes units rather than adding a third physical input, e.g. by formulating later steering in normalized response variables and proving positive common rescaling changes only units.	CURRENT_IMPLEMENTATION		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/M005.json	N001
C014	1.2.7	CLOSED_DERIVED_NODE	Bootstrap state X₁={r,v₁; C(r,v₁)=1}	CLOSED_VERIFIED	First response-capable state: root plus first non-root node and one symmetric unit-conductance relation. This is the final exceptional initialization state.	First response-capable state: root plus first non-root node and one symmetric unit-conductance relation. This is the final exceptional initialization state.	CURRENT_IMPLEMENTATION		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/C014.json	C013;M005;T001
C005	1.3.1	BLOCKED_DERIVED_NODE	Response-capable state schema Xₙ (n≥1)	CLOSED_VERIFIED	Domain of the deterministic recurrent growth step. X₁ supplies the base case.	Domain of the deterministic recurrent growth step. X₁ supplies the base case.	CURRENT_IMPLEMENTATION		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/C005.json	C014
M001	1.3.4	MISSING_CONSTRUCTION_OR_THEOREM	Canonical birth-local measurement cut Cₙ(sₙ₊₁)	CLOSED_VERIFIED	Unique provenance-defined cut of Xₙ associated with the next open slot; no sampling caps, no unborn node, no downstream geometry.	Unique provenance-defined cut of Xₙ associated with the next open slot; no sampling caps, no unborn node, no downstream geometry.	CURRENT_IMPLEMENTATION		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/M001.json	C004;C005
P003	1.3.4.1	PROOF_OBLIGATION	Birth-cut canonicity and partition well-formedness	CLOSED_VERIFIED	Prove that the M001 boundary/interior lists are born-only, disjoint, exhaustive, order-preserving, exclude the unborn child, and are uniquely determined by the frozen provenance selector.	Prove that the M001 boundary/interior lists are born-only, disjoint, exhaustive, order-preserving, exclude the unborn child, and are uniquely determined by the frozen provenance selector.	CURRENT_IMPLEMENTATION_INTERNAL_OWNER_THEOREMS		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/P003.json	C004;C005;C018;P002
M002	1.3.5	MISSING_CONSTRUCTION_OR_THEOREM	Birth-cut interior-domain theorem	CLOSED_VERIFIED	Prove invertibility/admissibility of the birth-local interior block for every allowed pre-birth state, or state the exact domain.	Prove invertibility/admissibility of the birth-local interior block for every allowed pre-birth state, or state the exact domain.	CURRENT_IMPLEMENTATION		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/M002.json	M001
C007	1.3.6	BLOCKED_DERIVED_NODE	Inter-birth directed response Rₙ(sₙ₊₁)	CLOSED_VERIFIED	Measured on Xₙ after birth n and before birth n+1; for n≥1 it physically controls the next birth.	Measured on Xₙ after birth n and before birth n+1; for n≥1 it physically controls the next birth.	CURRENT_IMPLEMENTATION		CURRENT_VERIFIED_EVIDENCE	derivation/registry/nodes/C007.json	C005;C006;M001;M002
