node_number	id	paper_section	derivation_rank	derivation_order	display_status	color	rationale
001	I001	1.1.1	0	1	FINISHED	#70C779	Frozen and verified in the current implementation registry.
002	I002	1.1.2	0	2	FINISHED	#70C779	Frozen and verified in the current implementation registry.
003	C001	1.1.3	0	3	FINISHED	#70C779	Frozen and verified in the current implementation registry.
004	C002	1.1.4	1	4	FINISHED	#70C779	Frozen and verified in the current implementation registry.
005	C003	1.1.5	2	5	FINISHED	#70C779	Frozen and verified in the current implementation registry.
006	C018	1.1.6	3	6	FINISHED	#70C779	C018 implementation is verified and its dedicated P002 static strict-total-order proof gate is kernel-verified.
007	P002	1.1.6.1	3	7	FINISHED	#70C779	All six public P002 declarations kernel-build under Lean 4.31.0 with empty axiom profiles; full package boundary audit passes.
008	C004A	1.2.1	4	8	FINISHED	#70C779	Frozen and verified in the current implementation registry.
009	A001	1.2.2	5	9	FINISHED	#70C779	Frozen and verified in the current implementation registry.
010	N001	1.2.3	6	10	FINISHED	#70C779	Frozen and verified in the current implementation registry.
011	C013	1.2.4	7	11	FINISHED	#70C779	Frozen and verified in the current implementation registry.
012	T001	1.2.5	8	12	FINISHED	#70C779	Frozen and verified in the current implementation registry.
013	M005	1.2.6	8	13	FINISHED	#70C779	Frozen and verified in the current implementation registry.
014	C014	1.2.7	9	14	FINISHED	#70C779	Frozen and verified in the current implementation registry.
015	C005	1.3.1	10	15	FINISHED	#70C779	Frozen and verified in the current implementation registry.
016	C004	1.3.2	11	16	FINISHED	#70C779	Frozen and verified in the current implementation registry.
017	C006	1.3.3	11	17	FINISHED	#70C779	Frozen and verified in the current implementation registry.
018	M001	1.3.4	12	18	FINISHED	#70C779	Verified current implementation and complete documentation; P003 is certified by internal M001 owner theorems.
019	P003	1.3.4.1	12	19	FINISHED	#70C779	Verified current implementation and complete documentation; P003 is certified by internal M001 owner theorems.
020	M002	1.3.5	13	20	FINISHED	#70C779	Frozen and verified in the current implementation registry.
021	C007	1.3.6	14	21	FINISHED	#70C779	Frozen and verified in the current implementation registry.
022	O001	1.3.7	14	22	FINISHED	#70C779	Eight-channel implementation obstruction is documented, tested, and included in the successful prefix-free Core build.
023	C015	1.3.8	14	23	FINISHED	#70C779	Identity steering convention remains frozen and verified.
024	M003	1.3.9	15	24	FINISHED	#70C779	Canonical M003 closure is kernel-compiled and axiom-audited with exact current-source evidence.
025	P001	1.3.9.1	15	25	FINISHED	#9BCB8D	Reusable directed Schur/DtN/Kron closure is kernel-verified on the canonical cut and an independent bidirected-chain cut family.
026	M004	1.3.10	16	26	FINISHED	#70C779	Canonical M004 closure and representative-independent C008 handoff are kernel-compiled and axiom-audited.
027	C008	1.4.1	17	27	FINISHED	#70C779	C008 record/live update and M004 handoff kernel-verified; exact source evidence retained from the 2026-08-08 Lean 4.31.0 build.
028	C016	1.4.2	18	28	FINISHED	#70C779	C016 immutable-record projection is kernel-verified with exact-source evidence; local left-prefix immutability and SameValue closure pass.
029	C017	1.4.3	18	29	FINISHED	#70C779	C017 current-live projection is kernel-verified with exact-source evidence; full M004-delta append and SameValue closure pass.
030	C009	1.4.4	19	30	FINISHED	#70C779	C009 raw codomain assembly is kernel-verified with exact-source evidence (8/8 declarations; full boundary PASS).
031	T002	1.4.5	20	31	FINISHED	#70C779	Kernel-verified recurrent C005 re-entry with post-step C005↔C017 live coherence; exact-source evidence retained.
032	T003	1.4.6	20	32	ACTIVE	#F4A340	Next theorem in canonical derivation order: prove provenance-label equivariance and absence of an independent hard-coded sibling-rank bias.
033	C010	1.5.1	20	33	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
034	N002	1.5.2	20	34	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
035	C011	1.5.3	20	35	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
036	C012	1.5.4	21	36	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
037	C019	1.5.5	22	37	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
038	P004	1.5.5.1	22	38	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
039	P005	1.5.5.2	23	39	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
040	P006	1.5.5.3	24	40	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
041	O002	1.6.1	24	41	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
042	CTRL001	1.6.2	25	42	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
043	CTRL002	1.6.3	26	43	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
044	CTRL003	1.6.4	26	44	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
045	CTRL004	1.6.5	26	45	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
046	C020	2.1.1	26	46	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
047	P007	2.1.1.1	26	47	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
048	C021	2.1.2	27	48	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
049	P008	2.1.2.1	27	49	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
050	P009	2.1.2.2	28	50	UNFINISHED	#E66B6B	Not frozen/verified in the current implementation registry.
