node_number	id	section_path	derivation_order	main_directory	main_artifact	main_state	supplement_directory	supplement_artifact	supplement_state	result
001	I001	1.1.1	1	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b/DOCUMENTATION.md	DOCUMENTED	PASS
002	I002	1.1.2	2	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l/DOCUMENTATION.md	DOCUMENTED	PASS
003	C001	1.1.3	3	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier/DOCUMENTATION.md	DOCUMENTED	PASS
004	C002	1.1.4	4	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r/DOCUMENTATION.md	DOCUMENTED	PASS
005	C003	1.1.5	5	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar/DOCUMENTATION.md	DOCUMENTED	PASS
006	C018	1.1.6	6	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/DOCUMENTATION.md	DOCUMENTED	PASS
007	P002	1.1.6.1	7	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/DOCUMENTATION.md	DOCUMENTED	PASS
008	C004A	1.2.1	8	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s/DOCUMENTATION.md	DOCUMENTED	PASS
009	A001	1.2.2	9	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed/DOCUMENTATION.md	DOCUMENTED	PASS
010	N001	1.2.3	10	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1/DOCUMENTATION.md	DOCUMENTED	PASS
011	C013	1.2.4	11	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/011_C013__first_non_root_provenance_birth_v	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/011_C013__first_non_root_provenance_birth_v/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/011_C013__first_non_root_provenance_birth_v	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/011_C013__first_non_root_provenance_birth_v/DOCUMENTATION.md	DOCUMENTED	PASS
012	T001	1.2.5	12	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/012_T001__seed_neutrality_theorem_for_first_birth	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/012_T001__seed_neutrality_theorem_for_first_birth/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/012_T001__seed_neutrality_theorem_for_first_birth	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/012_T001__seed_neutrality_theorem_for_first_birth/DOCUMENTATION.md	DOCUMENTED	PASS
013	M005	1.2.6	13	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/013_M005__conductance_unit_normalization_independence/DOCUMENTATION.md	DOCUMENTED	PASS
014	C014	1.2.7	14	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/014_C014__bootstrap_state_x_r_v_c_r_v_1	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/014_C014__bootstrap_state_x_r_v_c_r_v_1/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/014_C014__bootstrap_state_x_r_v_c_r_v_1	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/014_C014__bootstrap_state_x_r_v_c_r_v_1/DOCUMENTATION.md	DOCUMENTED	PASS
015	C005	1.3.1	15	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/015_C005__response_capable_state_schema_x_n_1	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/015_C005__response_capable_state_schema_x_n_1/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/015_C005__response_capable_state_schema_x_n_1	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/015_C005__response_capable_state_schema_x_n_1/DOCUMENTATION.md	DOCUMENTED	PASS
016	C004	1.3.2	16	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/016_C004__next_open_provenance_slot_s_n_1	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/016_C004__next_open_provenance_slot_s_n_1/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/016_C004__next_open_provenance_slot_s_n_1	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/016_C004__next_open_provenance_slot_s_n_1/DOCUMENTATION.md	DOCUMENTED	PASS
017	C006	1.3.3	17	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/017_C006__birth_local_schur_dtn_primitive/DOCUMENTATION.md	DOCUMENTED	PASS
018	M001	1.3.4	18	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/DOCUMENTATION.md	DOCUMENTED	PASS
019	P003	1.3.4.1	19	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/019_P003__birth_cut_canonicity_and_partition_well_formedness	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/019_P003__birth_cut_canonicity_and_partition_well_formedness/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/019_P003__birth_cut_canonicity_and_partition_well_formedness	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/018_M001__canonical_birth_local_measurement_cut_c_s/019_P003__birth_cut_canonicity_and_partition_well_formedness/DOCUMENTATION.md	DOCUMENTED	PASS
020	M002	1.3.5	20	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/020_M002__birth_cut_interior_domain_theorem	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/020_M002__birth_cut_interior_domain_theorem/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/020_M002__birth_cut_interior_domain_theorem	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/020_M002__birth_cut_interior_domain_theorem/DOCUMENTATION.md	DOCUMENTED	PASS
021	C007	1.3.6	21	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/021_C007__inter_birth_directed_response_r_s/DOCUMENTATION.md	DOCUMENTED	PASS
022	O001	1.3.7	22	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction/SECTION.tex	DOCUMENTED	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/022_O001__ist_response_independent_directed_bias_obstruction/DOCUMENTATION.md	DOCUMENTED	PASS
