node_number	id	documentation_tier	anchor_number	layer	role	path	symbol	declaration_kind	start_line	end_line	source_sha256	resolution
001	I001	D0	1	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s01_i001__branching_parameter_b.py	BranchingParameter	CLASS	20	46	504e678397db5f6f969a5c69a6da9a2a36f34308201b0629b558331b453c1f69	RESOLVED
001	I001	D0	2	python_test	TEST	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s01_i001__branching_parameter_b.py	TestBranchingParameter	CLASS	12	33	189ec3b317faa474ece1d2105eaeb347fee053f210fe0bd24c5e8d10106c7d9c	RESOLVED
001	I001	D0	3	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S01_I001_BranchingParameterB.lean	BranchingParameter	STRUCTURE	17	23	b826f2eca8aa535447d1c5c0090989d838ea30fac381e4c3c925b98c2bd96c96	RESOLVED
001	I001	D0	4	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S01_I001_BranchingParameterB.lean	lowerBound	THEOREM	24	27	b826f2eca8aa535447d1c5c0090989d838ea30fac381e4c3c925b98c2bd96c96	RESOLVED
001	I001	D0	5	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S01_I001_BranchingParameterB.lean	mk_value	THEOREM	28	34	b826f2eca8aa535447d1c5c0090989d838ea30fac381e4c3c925b98c2bd96c96	RESOLVED
002	I002	D0	1	python	SOURCE	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s02_i002__finite_approximant_depth_l.py	FiniteApproximantDepth	CLASS	20	46	f0f5fefe55d90835e8deead733579848d547b6b6df7e40b6491a1f578b64b326	RESOLVED
002	I002	D0	2	python_test	TEST	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s02_i002__finite_approximant_depth_l.py	TestFiniteApproximantDepth	CLASS	12	33	8836bb6a9740dc29d66c65ea121d3e3dc2445764b6f28f61e8928b5b6f70772b	RESOLVED
002	I002	D0	3	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S02_I002_FiniteApproximantDepthL.lean	FiniteApproximantDepth	STRUCTURE	18	23	ae23109e12622fc6494aad18bc056bf59206d18199288c101520d9c58f5b99e8	RESOLVED
002	I002	D0	4	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S02_I002_FiniteApproximantDepthL.lean	mk_value	THEOREM	24	28	ae23109e12622fc6494aad18bc056bf59206d18199288c101520d9c58f5b99e8	RESOLVED
002	I002	D0	5	lean_core	SOURCE	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S02_I002_FiniteApproximantDepthL.lean	zeroAdmissible	THEOREM	29	34	ae23109e12622fc6494aad18bc056bf59206d18199288c101520d9c58f5b99e8	RESOLVED
