context_score	matched_terms	ID	Object	Layer	Canonical CNNA definition	Natural provenance	Computed from	ExecComplex/computable path	Object status	Code status	Current code modules / derivation site	Neutral target location / canonical API	Pillar-A access	Handoff rights	May be consumed by	Priority	Phase	Proof documentation status	Proof dossier
37	module consolidation; merge; no-merge; refactor; facade; leg36; reuse; duplication; import graph; declaration consumption; handoff; proof-stage; public api	LEG36	Semantic module consolidation ledger	Planning/API hygiene and refactor governance	A pre-substantive audit ledger that classifies semantically related Lean modules into safe-merge candidates, facade-preserve candidates, split/keep candidates, and no-merge proof-stage chains. It records natural-layer placement and regression obligations before any code consolidation.	Generated module inventory, import graph, declaration consumption map, reuse/duplication ledger, and direct spot-checks of candidate code families.	LEG10, LEG11, LEG5, repo_inventory/raw_export/modules.json, import_edges.json, symbol_reference_summary.json, and manual code inspection of high-similarity module clusters.	not applicable; planning/refactor governance layer only. If later Lean refactor changes executable modules, the regression package must preserve concrete computable witnesses.	Y	active audit target; no Lean source move yet	masters/cnna_roadmap_master.yaml; repo_snapshot/CNNA/**/*.lean; repo_inventory/raw_export/*.json; generated_exports/*.tsv; SEMANTIC_MODULE_CONSOLIDATION_AUDIT_REPORT.md	planning master and future generated consolidation ledger; possible later neutral Lean facades only after local build-proved migration	A-internal refactor/documentation governance only; not a mathematical generator	none	1.1.1.2, 1.1.1.3, public API/firewall phases, pruning/refactor phases, future Lean implementation prompts	critical-before-new-substantive-code	1.1.1.1.5	active-prepared-in-V1.12	proof:LEG36
10	refactor; module manifest; import graph; handoff; notation; consumer	LEG21	Refactor regression and incremental migration protocol	Architecture governance	RefactorRegressionProtocol	Notation split and legacy-quarantine risk audit	module manifest, consumer list, import graph delta, local build evidence	Infrastructure-only; no operational witness, but requires build-regression evidence for refactor code packages	G	planning decision; no Lean code yet	masters/cnna_roadmap_master.yaml; workflow_policy refactor regression	CNNA/PillarA/Arithmetic/Legacy/RefactorRegressionPolicy.lean (future optional audit record)	A-internal governance for refactor phases	No direct handoff	Phase 1.1.2 and all module-split/quarantine phases	high	1.1.1.1.0.3	yes	proof:LEG21
9	refactor; reuse; module manifest; handoff; smoke	O07	General finite computation test matrix profile	Operational / test / computation readiness	Reusable proof-carrying finite test matrix over code-defined generated instances, branch modes, L_max rows, operational output witnesses, and optional comparison sentinel columns. v34 adds O08 as the regime-typed extension; O07 remains the generic/non-specialized base.	canonical smoke-test generator; concrete computable instance traversal; operational arithmetic path; generalization of L09/L10 special lattice tests.	code-defined generator/branching API, finite L_max, static/dynamic branch-mode tags, finite carriers/matrices/profiles, executable output witness records.	Core fields are operational finite/rational/integer; mirror comparison columns are explicitly non-operational.	Y	planned; no Lean implementation yet	Future module selected by Phase 1.1.1.1.1; must reuse existing Smoke/Generator modules.	CNNA/PillarA/Arithmetic/Smoke or Generator test-matrix API, exact path pending module manifest.	A-internal reusable testing object; not a generative axiom.	none until proof-carrying rows are derived; comparison columns cannot be handed off as operational data.	Phase 4 wrappers, Phase 8 lattice sentinel tests, refactor regression checks, documentation/proof dossiers., O08 regime-typed extension	early before specialized computation claims	4.0.1	planned dossier; must be filled before implementation	proof:O07
8	compatibility; handoff; cayleydickson; consumer	CD0	Cayley-Dickson source	Structural algebra	CayleyDicksonSourceProfile.	Structural/CayleyDickson + Handoff adapter.	carrier/regularization/schur from closed A data.	Not inherently Exec; arithmetic compatibility path must state mirror.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/Source.lean; CNNA/PillarA/Handoff/CayleyDicksonAdapter.lean	CNNA/PillarA/Structural/CayleyDickson/Source.lean	A-internal; reintegrate as structural consumer of A data, not separate generator. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CayleyDickson output only; A must not consume own output. Uncorrected blue form is not handoff-exportable.	CD structural proofs.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	1.4.1	no	proof:CD0
8	compatibility; handoff; notation; public api	LEG3	Legacy phase aliases compatibility surface	Legacy quarantine	Historical phase-semantic aliases and old names are retained behind a legacy module, not exposed as new public API.	Existing SM*/S6*/R*/Audit naming surface.	Notation split inventory and frozen historical modules.	n/a: compatibility surface.	Y	target module missing	CNNA/PillarA/Arithmetic/Notation.lean; historical SM*/S6* modules	CNNA/PillarA/Arithmetic/Legacy/PhaseAliases.lean; CNNA/PillarA/Arithmetic/NeutralWrappers.lean	Legacy-only except explicitly neutral wrappers.	no handoff	old modules; neutral wrapper seam only	near	1.1.4	no	proof:LEG3
7	compatibility; handoff; cayleydickson	CD3	CD normSq	Cayley-Dickson	CDNormSqProfile.	star + product.	CD algebra.	Exec bridge only after arithmetic compatibility.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Structural/CayleyDickson/S6CanonicalNormSqDefined.lean; CNNA/PillarA/Structural/CayleyDickson/S6CanonicalNormSqReduction.lean; CNNA/PillarA/Structural/CayleyDickson/S6CanonicalNormSqBlockSystem.lean	CNNA/PillarA/Structural/CayleyDickson/NormSq.lean	A-internal structural. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->CD only. Uncorrected blue form is not handoff-exportable.	Hurwitz/division.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	medium	1.4.4	no	proof:CD3
7	compatibility; handoff; cayleydickson	CD8	Arithmetic-CD compatibility as Schur-duality corollary	Bridge	CDArithmeticCompatibilityProfile as a corollary of BR08, not as an independently injected norm analogy.	Order/norm + CD Profile + horizontal/vertical Schur-duality bridge.	BR08, BR09, CD3/CD6/CD7, O05, and later number-theory norm objects when available.	Requires explicit coordinate bridge and concrete finite witness; no compatibility is accepted before the Schur bridge proof.	K	present as source/seed only; final theorem deferred to BR08/Phase 10.4.2	CNNA/PillarA/Arithmetic/CayleyDickson/ArithmeticCDBridge.lean; CNNA/PillarA/Arithmetic/Convergence/CDArithmeticCompatibility.lean; CNNA/PillarA/Arithmetic/Convergence/QuaternionRamanujanInterface.lean	CNNA/PillarA/Bridge/ArithmeticCayleyDicksonCompatibility.lean	A-internal bridge after both algebraic and arithmetic Schur routes, not a Phase-6 public output.	A->E only after theorem.	Unification only after BR08 theorem; not by earlier CD/arithmetic source phases.	medium	10.4.2	no - dependency-order corrected in v31	proof:CD8
7	refactor; handoff; notation	LEG0	Consumption and split inventory umbrella	Refactor governance	SplitInventoryProfile with declaration-consumption map, not a code object.	repo inventory + Arithmetic/Notation.lean audit + object register.	static module/declaration/reference summaries.	n/a: planning/refactor artifact, not mathematical computation.	Y	planning/audit object; split across 1.1.1.1-1.1.1.5	Arithmetic/Notation.lean; repo_inventory/raw_export	planning master only; no Lean API until child gates close	A-internal refactor governance only.	none	1.1.1 child gates only	active	1.1.1	no	proof:LEG0
7	compatibility; handoff; notation	LEG1	Legacy single-constructor status gates	Legacy quarantine	Historical single-constructor status enums retained for compatibility but quarantined outside the neutral public surface.	Existing historical declarations in Arithmetic/Notation.lean.	frozen SM9h legacy status declarations; no new semantics.	n/a: legacy gate/status declarations.	Y	present in legacy monolith; target quarantine missing	CNNA/PillarA/Arithmetic/Notation.lean	CNNA/PillarA/Arithmetic/Legacy/StatusGates.lean	Legacy-only; forbidden to Phase 3+ neutral imports.	no handoff	Legacy compatibility modules only	near	1.1.2	no	proof:LEG1
7	merge; handoff; consumer	LEG18	Open-system emergence-path forensics	Secondary long-term meta-analysis	A diagnostic map locating formal proof/module paths from regime/complement/boundary data toward effective open-system dynamics consumers.	Checked A regime/complement, DtN/Schur, A->C, and C/OQS derivation paths plus graph analysis.	future checked object dossiers and source-sink/dominator path analysis over relevant modules.	Non-operational path forensics. It may point to executable witnesses but does not generate OQS behavior.	K	future secondary target; blocked until A/C derivations are present	future A/C modules plus repo_inventory/raw_export path analysis	generated emergence-path forensic report; optional future MetaAnalysis/OpenSystemPathForensics.*	Diagnostic only; emergence claims must be proved from CNNA objects, not graph metadata.	No handoff rights.	Later A/C review and secondary architecture reports.	secondary-long-term	19.3	no	proof:LEG18
