System	Code	Color	Meaning
Object status	W	white	complete: canonically derived-only, semantically correct, access/rights settled, consumable according to the register. Context class determines whether the row is Lean, tool, DB, generated, governance, documentation or reference material; status alone never grants Lean-object semantics.
Object status	B	blue	derived-only/proof-carrying exists, but semantics or API is not final; it must not count as complete. Context class determines whether the row is Lean, tool, DB, generated, governance, documentation or reference material; status alone never grants Lean-object semantics.
Object status	G	green	needed and directly/locally derivable or closable by a small neutral wrapper. Context class determines whether the row is Lean, tool, DB, generated, governance, documentation or reference material; status alone never grants Lean-object semantics.
Object status	Y	yellow	needed; derivation route known, but multiple prerequisite objects, bridges, or subphases are needed. Context class determines whether the row is Lean, tool, DB, generated, governance, documentation or reference material; status alone never grants Lean-object semantics.
Object status	R	red	needed; derivation or generation layer incomplete/unclear. Context class determines whether the row is Lean, tool, DB, generated, governance, documentation or reference material; status alone never grants Lean-object semantics.
Object status	K	black	registered, but not needed for the near phase frontier. Context class determines whether the row is Lean, tool, DB, generated, governance, documentation or reference material; status alone never grants Lean-object semantics.
Phase status	G	green	closed/derived-only: phase has been implemented/verified or governance-closed; for umbrella phases the child DAG and active cursor are fixed while implementation closure may be delegated.
Phase status	O	orange	orange/implementable after dependency closure: not active now, but a pre-implementation check has shown it becomes implementable after the listed predecessor phases/objects close.
Phase status	Y	yellow	yellow/active implementable Lean or tooling phase: the unique current cursor; prerequisites are satisfied and release evidence is recorded for the active work.
Phase status	R	red	red/locked Lean-derivation phase: direct Lean-code derivability has not yet been proven from referenced derived-only Lean objects. The phase may not be implemented until an upstream release proof/check turns it yellow or orange.
Phase status	W	white	white/non-direct-Lean release state: refactoring, tool/infrastructure, documentation, comparison, generated-secondary or DB work that does not itself require a Lean-code derivability release. Read together with Context class.
Workflow	prep	n/a	Scratch-pad preparation data exists for a phase, but the phase is not implemented or closed by preparation alone.
Review/audit status	review-required	n/a	Semantic/domain review is required. This status is global: Lean formalization and generated views are not treated as infallible.
Review/audit status	blue-audit-needed	blue	Possible established-theory/reference material still needs explicit blue comparison/reference marking; unmarked material is audit debt.
Review/audit status	lean-primary	n/a	The checked Lean code is the primary truth system; YAML/PDF/TSV/DOT views are secondary and interpretive.
Review/audit status	generated-secondary	n/a	Generated tables, PDFs, graphs, and exports support review and navigation but do not themselves certify semantic truth.
Object lifecycle state	current	n/a	Object lifecycle state: the row is the current canonical register entry for its stable object ID unless later supersession says otherwise.
Object lifecycle state	superseded	n/a	Object lifecycle state: the row is historically retained but no longer the current object; it must point to a successor/current replacement and must not be silently overwritten.
Object lifecycle state	renamed-alias	n/a	Object lifecycle state: the row is a historical alias after a rename; provenance remains visible and consumers should follow the successor/current object pointer.
Object lifecycle state	deleted-retired	n/a	Object lifecycle state: the underlying Lean/planning object was removed or retired; the historical register row and dossier remain for provenance and migration audit.
