node_number	id	paper_section	derivation_rank	derivation_order	section	branch	label	status	publication	definition	basis_state	basis_source_file_ids	basis_source_paths	basis_node_refs	evidence_state	evidence_refs	legacy_basis_raw	obligation_class	node_role	proof_owner	proof_granularity	documentation_tier	documentation_tier_rule	main_paper_depth	supplement_depth	required_documentation_sections	python_anchor_status	lean_anchor_status	countercheck_requirement	countercheck_status	documentation_v2_state	open_provenance_role	open_provenance_status	specialization_path	section_path	section_root_title	section_group_title	introduction_reason	canonical_node_label	stable_node_directory_name	main_section_directory	supplement_section_directory	main_section_artifact	supplement_section_artifact	main_documentation_state	supplement_documentation_state
001	I001	1.1.1	0	1	SEC-01	input	Branching parameter b	IMPLEMENTED_VERIFIED	MAIN_FULL	Free structural input b ∈ ℕ with b ≥ 2; no default value is derived.	CURRENT_IMPLEMENTATION				CURRENT_VERIFIED_EVIDENCE			NONE	INPUT		NONE	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	position_in_derivation|definition_or_statement|introduction_reason|construction_or_encoding|boundary_case_or_countercheck|result|downstream_handoff|code_anchors	RESOLVED	RESOLVED	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PASS	COMPLETE_V2				1.1.1	Primitive provenance and response-coupled growth	Primitive inputs, provenance grammar and event order	Free branching input; visible at the origin.	001 · I001	001_I001__branching_parameter_b	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
002	I002	1.1.2	0	2	SEC-01	input	Finite approximant depth L	IMPLEMENTED_VERIFIED	MAIN_FULL	Free finite cutoff L ∈ ℕ₀; L = 0 is admissible and no infinity sentinel is introduced.	CURRENT_IMPLEMENTATION				CURRENT_VERIFIED_EVIDENCE			NONE	INPUT		NONE	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	position_in_derivation|definition_or_statement|introduction_reason|construction_or_encoding|boundary_case_or_countercheck|result|downstream_handoff|code_anchors	RESOLVED	RESOLVED	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PASS	COMPLETE_V2				1.1.2	Primitive provenance and response-coupled growth	Primitive inputs, provenance grammar and event order	Free finite-depth input; visible at the origin.	002 · I002	002_I002__finite_approximant_depth_l	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
003	C001	1.1.3	0	3	SEC-01	genesis	Empty carrier ∅	IMPLEMENTED_VERIFIED	MAIN_FULL	Canonical empty carrier exists and contains no nodes and no relations.	CURRENT_IMPLEMENTATION				CURRENT_VERIFIED_EVIDENCE			NONE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	position_in_derivation|definition_or_statement|introduction_reason|construction_or_encoding|boundary_case_or_countercheck|result|downstream_handoff|code_anchors	RESOLVED	RESOLVED	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PASS	COMPLETE_V2				1.1.3	Primitive provenance and response-coupled growth	Primitive inputs, provenance grammar and event order	Primitive empty carrier; visible at the origin.	003 · C001	003_C001__empty_carrier	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
004	C002	1.1.4	1	4	SEC-01	genesis	Root genesis r	IMPLEMENTED_VERIFIED	MAIN_FULL	Genesis maps the empty carrier to one canonical root carrier with no relation; the root has no parent or geometry here.	CURRENT_IMPLEMENTATION			C001	CURRENT_VERIFIED_EVIDENCE			NONE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	position_in_derivation|mathematical_contract|introduction_reason|explicit_construction|invariants|canonicity_or_uniqueness|boundary_cases|python_lean_cross_layer|countercheck|result|downstream_handoff|code_anchors	RESOLVED	RESOLVED	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	PASS	COMPLETE_V2				1.1.4	Primitive provenance and response-coupled growth	Primitive inputs, provenance grammar and event order	Introduced after C001; registered hard handoff(s): root_genesis.	004 · C002	004_C002__root_genesis_r	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
005	C003	1.1.5	2	5	SEC-01	provenance	Finite b-ary provenance grammar	IMPLEMENTED_VERIFIED	MAIN_FULL	Finite b-ary provenance grammar: slot alphabet {0,…,b−1}, root ε, child by right-extension, unique parent/final rank, and admitted addresses of depth ≤ L.	CURRENT_IMPLEMENTATION			C002;I001;I002	CURRENT_VERIFIED_EVIDENCE			NONE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	position_in_derivation|mathematical_contract|introduction_reason|explicit_construction|invariants|canonicity_or_uniqueness|boundary_cases|python_lean_cross_layer|countercheck|result|downstream_handoff|code_anchors	RESOLVED	RESOLVED	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	PASS	COMPLETE_V2	Provenance-complete event state	CURRENT_FINITE_SPECIALIZATION	GENERALIZED_OPEN_PROVENANCE_SYSTEMS -> CNNA_FINITE	1.1.5	Primitive provenance and response-coupled growth	Primitive inputs, provenance grammar and event order	Introduced after I001, I002, C002; registered hard handoff(s): parameterizes_branching, bounds_finite_approximant, anchors_provenance_grammar.	005 · C003	005_C003__finite_b_ary_provenance_grammar	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
006	C018	1.1.6	3	6	SEC-01	provenance	Canonical BFS/lexicographic provenance birth schedule	IMPLEMENTED_VERIFIED	MAIN_FULL	Fixed CNNA convention: non-root births are ordered breadth-first by depth and lexicographically within a layer; the selected relation is a strict total order.	CURRENT_IMPLEMENTATION_STATIC_ORDER_KERNEL_CERTIFIED			C003;P002	CURRENT_VERIFIED_OWNER_AND_P002_KERNEL_EVIDENCE	derivation/registry/nodes/C018.json;derivation/code/lean/audit/evidence/USER_LOCAL_P002_FULL_BUILD_20260808.json		NONE	PROOF_OWNER		AGGREGATES_EXPLICIT_PROOF_GATES	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	RESOLVED	RESOLVED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PASS	COMPLETE_V2	Provenance-complete event state	CURRENT_FINITE_SPECIALIZATION	GENERALIZED_OPEN_PROVENANCE_SYSTEMS -> CNNA_FINITE	1.1.6	Primitive provenance and response-coupled growth	Primitive inputs, provenance grammar and event order	Introduced after C003; registered hard handoff(s): defines_canonical_birth_schedule.	006 · C018	006_C018__canonical_bfs_lexicographic_provenance_birth_schedule	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
007	P002	1.1.6.1	3	7	SEC-01	provenance	Canonical schedule strict-total-order closure	CLOSED_VERIFIED_PROOF	MAIN_FULL	Prove that the C018 breadth-first/lexicographic relation is a strict total order on provenance addresses and induces a strict total order on open-slot selected children modulo extensional equality of the selected child address.	C018_STATIC_ORDER_THEOREM_CHAIN_KERNEL_CERTIFIED	C018;derivation/code/lean/proofs/src/CNNAProofs/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S06_C018_CanonicalBfsLexicographicProvenanceBirthSchedule/Proofs/S01_P002_CanonicalScheduleStrictTotalOrderClosure.lean	derivation/code/lean/proofs/src/CNNAProofs/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S06_C018_CanonicalBfsLexicographicProvenanceBirthSchedule/Proofs/S01_P002_CanonicalScheduleStrictTotalOrderClosure.lean	C003;C018	KERNEL_VERIFIED_AXIOM_FREE_6_OF_6_FULL_BOUNDARY_PASS	derivation/registry/nodes/P002.json;derivation/code/lean/audit/evidence/USER_LOCAL_P002_FULL_BUILD_20260808.json;derivation/code/lean/audit/evidence/USER_LOCAL_P002_FULL_BUILD_20260808.txt		PROOF_OBLIGATION	PROOF	C018	ONE_REUSABLE_FALSIFIABLE_GATE	D2	PROOF_THEOREM_OWNER_OBSTRUCTION_OR_QUARANTINE_ROLE	THEOREM_AND_PROOF_OVERVIEW	FULL_PROOF_DOSSIER	position_in_derivation|formal_statement|hypotheses|introduction_reason|proof_strategy|lemma_chain|formal_realization|counterexamples_or_necessity_checks|axiom_profile|result|remaining_limits|downstream_handoff|code_line_register	NOT_REQUIRED_STATIC_PROOF	RESOLVED_6_KERNEL_AXIOM_FREE_VERIFIED	NEGATIVE_CONTROL_COUNTEREXAMPLE_OR_HYPOTHESIS_NECESSITY	PASS	COMPLETE_V2				1.1.6.1	Primitive provenance and response-coupled growth	Primitive inputs, provenance grammar and event order	Introduced as the static proof-certification closure owned by C018; state-dependent least-open selection remains owned by C004.	007 · P002	007_P002__canonical_schedule_strict_total_order_closure	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
008	C004A	1.2.1	4	8	SEC-01	bootstrap	First provenance slot s₁	IMPLEMENTED_VERIFIED	MAIN_FULL	First provenance slot s₁ is the root child of internal rank 0, address (0), and the minimum non-root address under C018; for L=0 the label exists but is outside the cutoff.	CURRENT_IMPLEMENTATION			C003;C018	CURRENT_VERIFIED_EVIDENCE			NONE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D1	STRUCTURAL_CONSTRUCTION_ROLE	STRUCTURAL_EXPLANATION	DETAILED_CONSTRUCTION_DOSSIER	position_in_derivation|mathematical_contract|introduction_reason|explicit_construction|invariants|canonicity_or_uniqueness|boundary_cases|python_lean_cross_layer|countercheck|result|downstream_handoff|code_anchors	RESOLVED	RESOLVED	INVARIANT_EDGE_CASE_AND_CROSS_LAYER_CHECK	PASS	COMPLETE_V2				1.2.1	Primitive provenance and response-coupled growth	Bootstrap of the first provenance relation	Introduced after C003, C018; registered hard handoff(s): defines_first_provenance_slot, selects_first_slot.	008 · C004A	008_C004A__first_provenance_slot_s	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/008_C004A__first_provenance_slot_s/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
009	A001	1.2.2	5	9	SEC-01	bootstrap	Genesis seed ★	IMPLEMENTED_VERIFIED	MAIN_MENTION	Genesis seed ★ is a singleton technical bootstrap token with no payload and no free information.	CURRENT_IMPLEMENTATION				CURRENT_VERIFIED_EVIDENCE			NONE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	position_in_derivation|definition_or_statement|introduction_reason|construction_or_encoding|boundary_case_or_countercheck|result|downstream_handoff|code_anchors	RESOLVED	RESOLVED	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PASS	COMPLETE_V2				1.2.2	Primitive provenance and response-coupled growth	Bootstrap of the first provenance relation	Payload-free singleton token introduced only at bootstrap section 1.2.2.	009 · A001	009_A001__genesis_seed	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/009_A001__genesis_seed/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
010	N001	1.2.3	6	10	SEC-01	bootstrap	Initial conductance normalization C★=1	IMPLEMENTED_VERIFIED	MAIN_FULL	Fixed bootstrap conductance normalization C★=1; directed storage begins as (1,1).	CURRENT_IMPLEMENTATION				CURRENT_VERIFIED_EVIDENCE			NONE	CONSTRUCTION		LOCAL_LEMMAS_INTERNAL	D0	EXPLICIT_ATOMIC_OR_DEFINITIONAL_OVERRIDE	COMPACT_DEFINITION	TRACEABLE_DEFINITION	position_in_derivation|definition_or_statement|introduction_reason|construction_or_encoding|boundary_case_or_countercheck|result|downstream_handoff|code_anchors	RESOLVED	RESOLVED	ONE_DEFINITIONAL_BOUNDARY_OR_TYPE_REJECTION	PASS	COMPLETE_V2				1.2.3	Primitive provenance and response-coupled growth	Bootstrap of the first provenance relation	Fixed conductance normalization introduced only after the first slot exists.	010 · N001	010_N001__initial_conductance_normalization_c_1	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1/SECTION.tex	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation/010_N001__initial_conductance_normalization_c_1/DOCUMENTATION.md	DOCUMENTED	DOCUMENTED
