usage_id	reference_id	id	paper_section	scope	target_file	anchor_id	bibtex_key	citation_locator	claim_role	load_bearing	context_short	claim_paraphrase	hypothesis_mapping	formalization_status	placement_status
EXT-USE-P001-DKP-MAIN	EXT-REF-DKP-001	P001	1.3.9.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/SECTION.tex	P001-DIRECTED-KRON-THEOREM	SugiyamaSato2023DirectedKron	Definition~3.2; Lemmas~3.3--3.4; Theorem~3.9	LOAD_BEARING_THEOREM	true	Directed Kron well-posedness, Laplacian closure, path-edge equivalence, and strong-connectivity preservation.	A reachable proper boundary with at least two ports gives a well-defined directed Kron reduction; the loopless directed-Laplacian class is preserved; reduced edges correspond to paths through eliminated vertices, hence strong connectivity is preserved.	C005 bidirectional positive backbone -> full strong connectivity and intrinsic child-to-parent grounding; M001 root-containing boundary -> reachability; DKP-2 -> boundary cardinality at least two; C007 -> unmodified loopless source/out-degree Laplacian.	REFERENCE_CONTEXT_INTERNAL_KERNEL_VERIFIED	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-DKP-SUPP	EXT-REF-DKP-001	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-DIRECTED-KRON-SUPPLEMENT	SugiyamaSato2023DirectedKron	Definition 3.2; Lemmas 3.3--3.4; Theorem 3.9; arXiv v2 PDF pp. 4, 5, 7	LOAD_BEARING_THEOREM_CONTEXT	true	Exact source provenance and theorem-to-CNNA assumption map for the analytical positivity closure.	Records exact published metadata, arXiv version, theorem locations, and the fact that the result is not introduced into Lean as an axiom.	Same as EXT-USE-M003-DKP-MAIN, with explicit empty-interior separation, intrinsic birth-measurement grounding, and the no-external-regularizer lock on the unmodified C007 rawKII block.	REFERENCE_CONTEXT_INTERNAL_KERNEL_VERIFIED	CURRENT_DIRECT_PLACEMENT
EXT-USE-P001-MATHLIB-SUPP	EXT-REF-MATHLIB-001	P001	1.3.9.1	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/024_M003__canonical_response_steering_functional_b_r_s/025_P001__reusable_directed_schur_dtn_kron_channel_closure/DOCUMENTATION.md	P001-MATHLIB-SCHUR-API	MathlibSchurComplementFabf563a	module header and main results; pinned source commit `fabf563a7c95a166b8d7b6efca11c8b4dc9d911f`	API_COVERAGE_AUDIT	false	Records the exact mathlib Schur-complement API boundary used by the declared contract.	The module supplies algebraic block identities under invertibility assumptions but not the intrinsic directed CNNA invertibility and positivity proof.	No mathematical hypothesis imported; this is a negative API-availability check.	API_CONTEXT_ONLY_NO_IMPORTED_HYPOTHESIS	CURRENT_DIRECT_PLACEMENT
EXT-USE-M004-LEAN-INDUCTIVE	EXT-REF-LEAN-001	M004	1.3.10	SUPPLEMENT_MD	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/026_M004__response_coupled_birth_law_b/DOCUMENTATION.md	M004-LEAN-INDUCTIVE-PROVENANCE	LeanReference431InductiveTypes	Section 4.4, constructors and generated recursors	FORMALIZATION_GUIDANCE	false	Documents the official source consulted when replacing unavailable List.Forall₂ with a module-local inductive relation.	The custom relation is a Core inductive family with nil/cons constructors and generated recursors; the reference is implementation guidance, not a mathematical premise.	None. The relation semantics are proved internally and compiler-verified.	GUIDANCE_ONLY_NO_MATHLIB_DEPENDENCY	CURRENT_DIRECT_PLACEMENT
EXT-USE-TOOLCHAIN-LEAN431	EXT-REF-LEAN-003	PROJECT		REGISTRY_ONLY	derivation/code/lean/README.md	TOOLCHAIN-LEAN-431	Lean431ReleaseNotes	Lean 4.31.0 release notes, released 2026-06-13	TOOLCHAIN_VERSION_PROVENANCE	false	Binds consulted official Lean documentation to the exact project toolchain generation.	The project build evidence is for Lean 4.31.0; current online documentation is never treated as a substitute for the local compiler result.	None.	REGISTRY_METADATA_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-C003-VONNEUMANN-INFOBOX	EXT-REF-FOUND-001	C003	1.1.5	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar/SECTION.tex	C003-VONNEUMANN-UNARY-INFOBOX	vonNeumann1923TransfiniteNumbers	Introduction and displayed finite ordinals, pp.~199--200	STRUCTURAL_COMPARISON_SOURCE	false	Primary-source basis for comparing the finite von-Neumann successor chain with the externally adjoined unary address grammar.	Von Neumann represents each ordinal as the set of preceding ordinals and displays the finite initial segment beginning with the empty set.	Externally extend C003 to the comparison case S_1={0}; retain only immediate-successor edges and map the finite ordinal n to the unique unary word 0^n.	DERIVED_GRAPH_ISOMORPHISM_CONTEXT_ONLY_NOT_A_CNNA_IDENTITY	CURRENT_DIRECT_PLACEMENT
EXT-USE-C003-WORDS-DIRECT	EXT-REF-WORDS-001	C003	1.1.5	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar/SECTION.tex	C003-STANDARD-WORD-GRAMMAR-WORDS	Lothaire1997CombinatoricsWords	Ch.~1 and free-monoid background	ESTABLISHED_METHOD_CONTEXT	false	Finite provenance addresses are words over a finite alphabet.	Finite words form a free monoid under concatenation; prefixes and last letters encode ancestry and local rank.	C003 uses a bounded subset of the free monoid and adds no theorem from the source.	CONTEXT_ONLY_INTERNAL_DEFINITIONS_REMAIN_AUTHORITATIVE	CURRENT_DIRECT_PLACEMENT
EXT-USE-C003-TREE-DIRECT	EXT-REF-GRAPH-001	C003	1.1.5	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar/SECTION.tex	C003-STANDARD-WORD-GRAMMAR-TREE	Diestel2025GraphTheory	Ch.~1, The Basics	ESTABLISHED_METHOD_CONTEXT	false	The bounded word grammar is a finite rooted ordered tree.	The prefix graph of bounded words is a finite rooted tree with unique parent for every nonroot vertex.	The order on child slots is extra data beyond an unlabelled tree and is owned internally by C003.	CONTEXT_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-C018-SHORTLEX-DIRECT	EXT-REF-WORDS-001	C018	1.1.6	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/SECTION.tex	C018-SHORTLEX-CONTEXT	Lothaire1997CombinatoricsWords	Ch.~1, finite words and lexicographic order	ESTABLISHED_METHOD_CONTEXT	false	C018 is length-first lexicographic order on finite words.	BFS-by-depth followed by lexicographic order is the shortlex ordering of the address words.	The choice of shortlex as active schedule remains a CNNA convention, not a theorem of word combinatorics.	CONTEXT_ONLY	CURRENT_DIRECT_PLACEMENT
EXT-USE-C005-DIGRAPH-DIRECT	EXT-REF-DIGRAPH-001	C005	1.3.1	MAIN_TEX	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/03_canonical_cut_complement_elimination_and_birth_steering/015_C005__response_capable_state_schema_x_n_1/SECTION.tex	C005-WEIGHTED-DIGRAPH-CONTEXT	BangJensenGutin2009Digraphs	Ch.~1, pp.~1--30	ESTABLISHED_METHOD_CONTEXT	false	C005 is a finite positively weighted digraph with a distinguished provenance backbone.	Directed edges, paths, branchings, and connectivity use standard digraph terminology.	The canonical birth-prefix invariant and provenance ownership are CNNA-specific.	CONTEXT_ONLY	CURRENT_DIRECT_PLACEMENT
