Class	Meaning	Evidence rule	Public/API disposition	Blocked promotion rule
core-computational	Internal derived computational definitions that are neither policy, wrapper, phase alias, nor proof-only bridge.	Pillar-A internal module/declaration without governance, wrapper, smoke-phase, obstruction, or proof-bridge markers; module reference counts are evidence only, not public API rights.	May be used internally by later derived phases after import/consumer discipline is checked.	Cannot become public-final merely because it is imported; public API contract and object proof dossier are still required.
proof-bridge	Certificates, equality bridges, correctness/witness declarations, and other proof-carrying connectors.	Names/modules carrying proof, certificate, correctness, identity, witness, equality, or bridge roles.	May discharge local proof obligations but is not automatically a public object.	Cannot hide a missing natural source structure; if a consumer needs new structure, backjump to the source layer.
public-wrapper	BuildAll, umbrella, or import-facing wrapper modules whose purpose is exposure/routing rather than semantic generation.	Inventory flags build modules, top-level pillar wrappers, or module names ending in BuildAll.	Exposure surface only; it may route imports after public API rules are closed.	Wrapper reachability is not semantic consumption evidence and cannot make a blue object final.
legacy-status	Legacy/status-gate declarations or modules that encode old one-constructor states or deprecated status control.	Name/path contains legacy or status-gate/status markers.	Quarantine/refactor candidate, normally hidden behind legacy/status policy.	Cannot be consumed by implementation phases except through the explicit quarantine/correction path.
legacy-policy	Policy, ledger, decision, format, audit, inventory, report, and governance/control-surface material.	Name/path/layer contains policy, ledger, decision, format, audit, inventory, contract, report, planning, governance, or legacy control markers.	May govern work; does not supply ontic or mathematical CNNA input.	Cannot be cited as derived mathematical structure; must stay prose/planning/audit unless mirrored by checked source.
phase-alias	Phase- or smoke-test-specific names carrying implementation-history aliases such as SM-numbered records.	Name/module contains SM-numbered aliases or lives in Smoke namespace.	Internal migration/scaffold evidence only; later public names must be neutral.	Cannot become stable public API without wrapper/correction and consumer whitelist.
audit-only	Read-only diagnostic or inventory material not part of the CNNA generator chain.	Non-Pillar-A, unclassified, or diagnostic inventory material without derived generator role.	Documentation/diagnostic evidence only.	Cannot be used as ontic input or proof of mathematical closure.
blue-semantic-correction	Proof-carrying but semantically/API-incomplete objects that must be corrected before final/public consumption.	Object status B in the object register; declarations/modules may later be linked by the blue-correction ledger.	Blocked from public-final consumption; only temporary internal correction consumers are allowed.	Must not be classified as final-output or public-wrapper before correction phase, proof dossier, and API contract close.
dead-candidate	Rejected, blocked, negative, impossible, obstruction, or black/quarantined candidates.	Names/path contain NoGo/obstruction/blocked/dead/impossible/negative or object status R/K.	No direct public/API consumption; may be cited as obstruction evidence only.	Cannot be deleted or repurposed before the pruning/dead-candidate ledger closes.
final-output	Intentional output candidates or green documented objects after proof/audit closure.	Architectural sink taxonomy intentional output, or green documented non-governance object in the object register.	Candidate final output, still subject to explicit public API contract and consumer whitelist.	A blue/quarantined object can never enter this class directly; documented proof alone is insufficient.
