node_number	id	section_path	derivation_order	main_state	supplement_state	result
001	I001	1.1.1	1	DOCUMENTED	DOCUMENTED	PASS
002	I002	1.1.2	2	DOCUMENTED	DOCUMENTED	PASS
003	C001	1.1.3	3	DOCUMENTED	DOCUMENTED	PASS
004	C002	1.1.4	4	DOCUMENTED	DOCUMENTED	PASS
005	C003	1.1.5	5	DOCUMENTED	DOCUMENTED	PASS
006	C018	1.1.6	6	DOCUMENTED	DOCUMENTED	PASS
007	P002	1.1.6.1	7	DOCUMENTED	DOCUMENTED	PASS
008	C004A	1.2.1	8	DOCUMENTED	DOCUMENTED	PASS
009	A001	1.2.2	9	DOCUMENTED	DOCUMENTED	PASS
010	N001	1.2.3	10	DOCUMENTED	DOCUMENTED	PASS
011	C013	1.2.4	11	DOCUMENTED	DOCUMENTED	PASS
012	T001	1.2.5	12	DOCUMENTED	DOCUMENTED	PASS
013	M005	1.2.6	13	DOCUMENTED	DOCUMENTED	PASS
014	C014	1.2.7	14	DOCUMENTED	DOCUMENTED	PASS
015	C005	1.3.1	15	DOCUMENTED	DOCUMENTED	PASS
016	C004	1.3.2	16	DOCUMENTED	DOCUMENTED	PASS
017	C006	1.3.3	17	DOCUMENTED	DOCUMENTED	PASS
018	M001	1.3.4	18	DOCUMENTED	DOCUMENTED	PASS
019	P003	1.3.4.1	19	DOCUMENTED	DOCUMENTED	PASS
020	M002	1.3.5	20	DOCUMENTED	DOCUMENTED	PASS
021	C007	1.3.6	21	DOCUMENTED	DOCUMENTED	PASS
022	O001	1.3.7	22	DOCUMENTED	DOCUMENTED	PASS
023	C015	1.3.8	23	DOCUMENTED	DOCUMENTED	PASS
024	M003	1.3.9	24	DOCUMENTED	DOCUMENTED	PASS
025	P001	1.3.9.1	25	DOCUMENTED	DOCUMENTED	PASS
026	M004	1.3.10	26	DOCUMENTED	DOCUMENTED	PASS
027	C008	1.4.1	27	DOCUMENTED	DOCUMENTED	PASS
028	C016	1.4.2	28	DOCUMENTED	DOCUMENTED	PASS
029	C017	1.4.3	29	DOCUMENTED	DOCUMENTED	PASS
030	C009	1.4.4	30	DOCUMENTED	DOCUMENTED	PASS
031	T002	1.4.5	31	DOCUMENTED	DOCUMENTED	PASS
032	T003	1.4.6	32	PLANNED	PLANNED	PASS
033	C010	1.5.1	33	PLANNED	PLANNED	PASS
034	N002	1.5.2	34	PLANNED	PLANNED	PASS
035	C011	1.5.3	35	PLANNED	PLANNED	PASS
036	C012	1.5.4	36	PLANNED	PLANNED	PASS
037	C019	1.5.5	37	PLANNED	PLANNED	PASS
038	P004	1.5.5.1	38	PLANNED	PLANNED	PASS
039	P005	1.5.5.2	39	PLANNED	PLANNED	PASS
040	P006	1.5.5.3	40	PLANNED	PLANNED	PASS
041	O002	1.6.1	41	PLANNED	PLANNED	PASS
042	CTRL001	1.6.2	42	PLANNED	PLANNED	PASS
043	CTRL002	1.6.3	43	PLANNED	PLANNED	PASS
044	CTRL003	1.6.4	44	PLANNED	PLANNED	PASS
045	CTRL004	1.6.5	45	PLANNED	PLANNED	PASS
046	C020	2.1.1	46	PLANNED	PLANNED	PASS
047	P007	2.1.1.1	47	PLANNED	PLANNED	PASS
048	C021	2.1.2	48	PLANNED	PLANNED	PASS
049	P008	2.1.2.1	49	PLANNED	PLANNED	PASS
050	P009	2.1.2.2	50	PLANNED	PLANNED	PASS
051	P010	2.1.2.3	51	PLANNED	PLANNED	PASS
052	C022	2.1.3	52	PLANNED	PLANNED	PASS
053	C023	2.2.1	53	PLANNED	PLANNED	PASS
054	C024	2.2.2	54	PLANNED	PLANNED	PASS
055	C025	2.3.1	55	PLANNED	PLANNED	PASS
056	P011	2.3.1.1	56	PLANNED	PLANNED	PASS
057	M030	3.1.1	57	PLANNED	PLANNED	PASS
058	P012	3.1.1.1	58	PLANNED	PLANNED	PASS
059	P013	3.1.1.2	59	PLANNED	PLANNED	PASS
060	C032	3.2.1	60	PLANNED	PLANNED	PASS
061	P014	3.2.1.1	61	PLANNED	PLANNED	PASS
062	C033	3.3.1	62	PLANNED	PLANNED	PASS
