owner_node	paper_section	owner_label	proof_nodes	proof_gate_count	aggregation_rule
C018	1.1.6	Canonical BFS/lexicographic provenance birth schedule	P002	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M001	1.3.4	Canonical birth-local measurement cut Cₙ(sₙ₊₁)	P003	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M003	1.3.9	Canonical response-steering functional Σ_b[Rₙ,s]	P001	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C019	1.5.5	Completed finite response-grown carrier X^(b,L)	P004;P005;P006	3	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C020	2.1.1	General admissible boundary/interior cut family	P007	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C021	2.1.2	General directed Schur/DtN response	P008;P009;P010	3	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C025	2.3.1	Canonical regional response carrier	P011	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M030	3.1.1	Canonical effective F1/F2 role functor	P012;P013	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C032	3.2.1	Canonical local operator-support carrier	P014	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C033	3.3.1	Response-generated finite algebraic closure	P015	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M031	3.4.1	Intrinsic directed response algebra	P016	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C040	4.1.1	Inverse-depth Cauchy/Hilbert ancestor carrier H	P017;P018	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C044	4.3.1	Canonical finite prefix/projective carrier maps	P019	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C045	4.3.2	Nested common-ambient multiscale transport	P020	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C047	4.3.3	Nested channel refinement	P021	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C046	4.3.4	Forward channel structure	P022	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C043	4.4.1	Refinement/cocycle/live reconstruction	P023;P024;P025	3	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C050	5.1.1	Finite-support raw presymplectic carrier (V_fin,σ_raw)	P026	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C051	5.1.2	Algebraic Weyl direct system	P027	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M050	5.2.1	Derived provenance Hilbert metric G	P028;P029	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C052	5.2.2	Hilbert-Schmidt normalized skew operator K	P030;P031	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C054	5.2.3	Algebraic radical triviality and infinite rank	P032;P033	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C053	5.3.1	Regular quasifree provenance state ω_prov	P034	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C055	5.4.1	Local descendant-cone Hilbert completion	P035	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C056	5.4.2	Completed local injectivity Ker K_p={0}	P036;P037	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C057	6.1.1	GNS / Araki-Woods spectral handoff	P038;P039	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C058	6.1.2	Local hyperfinite type-III₁ factor	P040;P041;P042	3	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C059	6.2.1	Finite active interface taxonomy for descendant cones	P043	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C060	6.2.2	Exact complement split chain	P044;P045	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
C061	6.2.3	Dual complement envelope isotony	P046	1	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M070	7.1.2	Canonical emergent interface/geometry selector	P047;P048	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M080	8.1.1	Local standardness of (M(O),Ω)	P049;P050	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M082	8.1.2	Derived local modular flow	P051;P052	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M086	8.1.5	Native provenance realization of the local modular action	P053;P054	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M083	8.2.1	Covariance group and spectrum condition	P055;P056;P057	3	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
M085	8.3.2	Canonical purification / pure global state branch	P058;P059	2	Owner exposes the public construction/theorem; listed proof nodes certify independent closure gates.
