context_score	matched_terms	ID	Object	Layer	Canonical CNNA definition	Natural provenance	Computed from	ExecComplex/computable path	Object status	Code status	Current code modules / derivation site	Neutral target location / canonical API	Pillar-A access	Handoff rights	May be consumed by	Priority	Phase	Proof documentation status	Proof dossier
20	dtn; dirichletlaplacian; schur; boundary; laplacian; matrix; operator; handoff	S00	Dirichlet-Laplacian	Schur/DtN	DirichletLaplacianProfile.	Generated Dirichlet data.	Partition + weights + adjacency.	Matrix carrier carrier ExecComplex or bridge from Real to ExecComplex.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Finite/DirichletLaplacian.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedDirichletEntry.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedDirichletExecEntrySourceSM3bq.lean	CNNA/PillarA/Schur/DirichletLaplacian.lean	A-internal; consumers may use only Profile.	A->B only after boundary reduction/effective operator.	Schur, DtN, spectrum.	high	3.1	no	proof:S00
20	dtn; schur; generalizeddtn; boundary; matrix; operator; bright; handoff	S06	GeneralizedDtN / MultiSchur	Schur/DtN	GeneralizedBoundaryOperatorProfile.	Generated generalized DtN/MultiSchur chain.	Boundary operator + additional ports.	ExecComplex matrix profile.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedGeneralizedTopBoundaryDtNSM3hR.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedMultiSchurSM4.lean; CNNA/PillarA/Coupling/GeneralizedDtN.lean; CNNA/PillarA/Coupling/MultiSchur.lean	CNNA/PillarA/Schur/GeneralizedBoundaryOperator.lean	A-internal; legacy plan-semantic. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->B only if bright handoff specified; A->D dynamics optional. Uncorrected blue form is not handoff-exportable.	arithmetic matrices, Handoff.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.7	no	proof:S06
19	dtn; schur; boundary; laplacian; matrix; operator; bright; complement; handoff; interior; elimination	S05	DtN boundary operator	Schur/DtN	BoundaryOperatorProfile.	Interior elimination / Schur complement.	Laplacian blocks + inverse certificate. Route must be checked against BR06 before public-final promotion.	Matrix boundary boundary ExecComplex; Pflicht for Part 2.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedTopBoundaryDtNSM3gR.lean; CNNA/PillarA/DtN/DtN.lean	CNNA/PillarA/Schur/BoundaryOperator.lean	A-internal; central output. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->B as L/Operator erlaubt; A->C geometry optional; A may Output not konsumieren. Uncorrected blue form is not handoff-exportable.	arithmetic, B bright AQFT.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption; BR08 horizontal/vertical Schur-duality bridge	high	3.6	no	proof:S05
18	dtn; schur; boundary; interface; matrix; bright; dark; complement; handoff; interior	G05	Boundary / interface / interior partition	Schur geometry	PartitionProfile.	GeneratedBoundaryInteriorPartition / sources near SM3a/SM3b.	Carrier + cut/BoundarySpec.	indicator values operational as Bool/Finset; matrix entries Exec.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Smoke/GeneratedBoundaryInteriorPartition.lean; CNNA/PillarA/Finite/CutSpec.lean; CNNA/PillarA/Finite/BoundaryPorts.lean	CNNA/PillarA/Schur/PartitionProfile.lean	A-internal; basis for Schur/DtN.	A->B only boundary/interface abstracted; dark complement not directly to B.	Schur, DtN, AQFT bright consumer.	high	1.3.1	no	proof:G05
16	dtn; schur; boundary; laplacian; matrix; operator; handoff; elimination	BR08	Horizontal/vertical Schur-duality bridge	Bridge	SchurHorizontalVerticalDualityProfile: horizontal sector Schur elimination and vertical level-recursion Schur elimination are compatible factorizations/aspects of one multiscale Schur decomposition of the derived Dirichlet-Laplacian, with explicit commutation/naturality conditions.	Derived DtN boundary operator, sector decomposition, IdealThread/CutSpec route split, transfermatrix recursion, and CD/Hurwitz profile.	S05, BR06, BR07, S07, S08, TM0, TM1, TM2, CD7, O05.	Bridge theorem may use finite operational witnesses; no algebraic irrationality is admitted except through EXEC-2 allowed mirror/invariant boundaries.	K	registered future bridge target; no canonical code yet	No canonical module yet; source audit must inspect Schur/DtN, Arithmetic/Smoke, Structural/CayleyDickson, and Transfer modules.	CNNA/PillarA/Bridge/SchurHorizontalVerticalDuality.lean	A-internal far bridge; cannot be consumed by earlier source phases.	No A->B/C/D/E handoff until theorem is proved and access policy is reviewed.	CD8; secondary derivation-geometry diagnostics; possibly later Pillar-A unification reports.	medium	10.4.1	no	proof:BR08
15	dtn; schur; boundary; matrix; operator; complement; handoff	LEG35	Ontic subsystem-minimality contract	LEG / global ontology and planning infrastructure	Global postulate: the only primitive ontic emergence trigger is subsystem-being, i.e. selecting a finite/local subsystem, cut or approximant inside the formal IDEAL_infty provenance whole. All further structures are derived consequences or comparison-only readings.	User-requested ontic-minimality sharpening after regime-typed test-matrix, Schur-duality, and open-system emergence discussions: avoid importing dynamics, physics, environment, stochasticity, arithmetic or geometry as primitive assumptions.	IDEAL_infty formal provenance whole; subsystem/cut/approximant selection; boundary; inside/outside split; complement families; noOuter/HasOuter regime; Schur/DtN effective operator chain	not a numerical object; constrains all computable paths by requiring concrete finite subsystem traversal before derived spectra/arithmetic/physics claims	G	planning/global-postulate infrastructure closed in v39; no Lean code	masters/cnna_roadmap_master.yaml; scripts/generate_tables.py; tables/global_postulates.tex; global no-go table; proof dossiers	global_postulates.POST1; LEG35 object dossier; GNG22; ontic subsystem-minimality workflow	global Pillar-A ontic constraint; no mathematical input beyond subsystem-being	may constrain all handoffs; exports no physics, arithmetic, geometry or dynamics as primitives	all phases and object dossiers; regime split; complement-family phases; Schur/DtN phases; spectral/physical consumers; documentation workflow	active-infrastructure	1.1.1.1.0.16	documented-in-v39	proof:LEG35
15	dtn; schur; boundary; matrix; operator; bright; handoff	O01	Boundary matrix over ExecComplex	Operational operator	ExecMatrixProfile.	DtN/MultiSchur -> Exec mirror.	Boundary operator + Exec bridge.	Matrix carrier carrier ExecComplex.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedMultiSchurExecBoundaryOperatorSM4q.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedMultiSchurExecBoundaryOperatorFromSM3fqPlusSM4q.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelHistoryExecMatrixFromSM6bRecheckSM8.lean	CNNA/PillarA/Operational/BoundaryMatrix.lean	A-internal; neutral wrapper missing. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	A->B as bright operator; A->C as spectral/geometric source. Uncorrected blue form is not handoff-exportable.	Charpoly, algebra, B.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	4.1	no	proof:O01
15	dtn; schur; laplacian; matrix; handoff; interior; elimination	S01	Interior block	Schur/DtN	InteriorBlockProfile.	Dirichlet-Laplacian + partition.	Interior indices + matrix.	ExecComplex-matrix or proven bridge.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorBlock.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCarrier.lean	CNNA/PillarA/Schur/InteriorBlock.lean	Present in SM3 chain, but plan-semantically named. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Do not export directly; results only. Uncorrected blue form is not handoff-exportable.	Interior inverse, Schur.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.2	no	proof:S01
15	dtn; schur; boundary; operator; handoff; interior; elimination	S04	InteriorEliminationData	Schur/DtN	InteriorEliminationProfile.	TwoSidedInv + partition + blocks.	Interior block, inverse, couplings.	ExecComplex Schur-formula downstream.	B	derived-only/proof-carrying present, but BLUE semantic/API correction remains open; not public final API until LEG7 and the object natural correction phase close	CNNA/PillarA/Arithmetic/Smoke/GeneratedInteriorEliminationCertificateSM3fR.lean; CNNA/PillarA/DtN/DtN.lean	CNNA/PillarA/Schur/InteriorElimination.lean	A-internal; may be consumed by DtN. BLUE quarantine: derived-only evidence may be audited, but semantic/API use must go through the planned neutral correction phase.	Not raw an B; only boundary operator. Uncorrected blue form is not handoff-exportable.	DtN, generalized DtN.; blue-correction chain only until neutral API closes; no direct Phase 3+/handoff public consumption	high	3.5	no	proof:S04
15	dtn; schur; boundary; matrix; operator; complement; handoff	S08	CutSpec.full maximal-carrier profile	Finite approximant / cut profile	Neutral profile of CutSpec.full T where carrier(L) = T.carrier L; represents the maximal finite cut/full-region route.	Finite.CutSpec.full and full_carrier theorem.	TruncatedFamily carrier and CutSpec carrier_subset proof.	Pure finite-set/cut profile; later matrix/operator computations consume the resulting full boundary/region data, not IdealThread singleton data.	G	source theorem present; neutral public API not yet extracted	CNNA/PillarA/Finite/CutSpec.lean; CNNA/PillarA/Arithmetic/Core/FullBoundaryAudit.lean	CNNA/PillarA/Finite/FullCutProfile.lean	A-internal structural profile.	No direct handoff; downstream boundary operator may be exported only after Schur/DtN closure.	Full-boundary Schur/DtN route, boundary-route audit, sector/complement geometry.; BR08 horizontal/vertical Schur-duality bridge	high	1.2.8	no	proof:S08
