Module	Path	Group	Consumption class	Classification evidence	Imported-by count	Reference consumer count	Reference consumer sample	Public promotion gate
CNNA.Basic	CNNA/Basic.lean	Basic	audit-only	non-Pillar-A or unclassified module; keep as read-only audit surface	0	0		not public-final unless an object proof dossier and public API contract later permit it
CNNA.BuildAll	CNNA/BuildAll.lean	BuildAll	public-wrapper	build/umbrella module wrapper; wrapper is not semantic final proof evidence	0	0		not public-final unless an object proof dossier and public API contract later permit it
CNNA.Notation	CNNA/Notation.lean	Notation	legacy-policy	notation/control module; public syntax surface, not a mathematical generator	1	0		not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA	CNNA/PillarA.lean	PillarA	public-wrapper	build/umbrella module wrapper; wrapper is not semantic final proof evidence	0	0		not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Actions.ActionFormatDecision	CNNA/PillarA/Arithmetic/Actions/ActionFormatDecision.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	3	23	CNNA.PillarA.Arithmetic.Notation; CNNA.PillarA.Arithmetic.Schur.MobiusTransfer	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Actions.ActionPackage	CNNA/PillarA/Arithmetic/Actions/ActionPackage.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	3	CNNA.PillarA.Arithmetic.Actions.GeneratorActionInventory; CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.Actions.GeneratorActionInventory	CNNA/PillarA/Arithmetic/Actions/GeneratorActionInventory.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	3	15	CNNA.PillarA.Arithmetic.Actions.ActionFormatDecision; CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceConvergence	CNNA/PillarA/Arithmetic/BoundarySource/BoundarySourceConvergence.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	80	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceDecisionLedger	CNNA/PillarA/Arithmetic/BoundarySource/BoundarySourceDecisionLedger.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	2	2	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceInterface	CNNA/PillarA/Arithmetic/BoundarySource/BoundarySourceInterface.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	3	3	CNNA.PillarA.Arithmetic.BoundarySource.RecursiveLevelHistoryRoute	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceTypeDecision	CNNA/PillarA/Arithmetic/BoundarySource/BoundarySourceTypeDecision.lean	PillarA/Arithmetic	legacy-policy	policy/ledger/audit module; governance evidence, not ontic CNNA input	2	2	CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceInterface	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.BoundaryStateSubstrate	CNNA/PillarA/Arithmetic/BoundarySource/BoundaryStateSubstrate.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	1	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.BranchAddressSubstrate	CNNA/PillarA/Arithmetic/BoundarySource/BranchAddressSubstrate.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	1	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.ExistingIdealThreadNoGo	CNNA/PillarA/Arithmetic/BoundarySource/ExistingIdealThreadNoGo.lean	PillarA/Arithmetic	dead-candidate	name/path marks a rejected, blocked, negative, or obstruction route	2	3	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.GeneratedSubstrateRoute	CNNA/PillarA/Arithmetic/BoundarySource/GeneratedSubstrateRoute.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	7	14	CNNA.PillarA.Arithmetic.BoundarySource.BoundarySourceDecisionLedger; CNNA.PillarA.Arithmetic.BoundarySource.BoundaryStateSubstrate; CNNA.PillarA.Arithmetic.BoundarySource.BranchAddressSubstrate; CNNA.PillarA.Arithmetic.BoundarySource.HistoryExpandedSubstrate; CNNA.PillarA.Arithmetic.BoundarySource.InterfaceExposureSubstrate	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.HistoryExpandedSubstrate	CNNA/PillarA/Arithmetic/BoundarySource/HistoryExpandedSubstrate.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	1	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.InterfaceExposureSubstrate	CNNA/PillarA/Arithmetic/BoundarySource/InterfaceExposureSubstrate.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	1	CNNA.PillarA.Arithmetic.Notation	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.LevelHistoryIndex	CNNA/PillarA/Arithmetic/BoundarySource/LevelHistoryIndex.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	5	CNNA.PillarA.Arithmetic.BoundarySource.LevelStepWitness	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.LevelHistoryMatrix	CNNA/PillarA/Arithmetic/BoundarySource/LevelHistoryMatrix.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	2	CNNA.PillarA.Arithmetic.BoundarySource.MultiSchurToLevelHistoryAdapter	not public-final unless an object proof dossier and public API contract later permit it
CNNA.PillarA.Arithmetic.BoundarySource.LevelStepWitness	CNNA/PillarA/Arithmetic/BoundarySource/LevelStepWitness.lean	PillarA/Arithmetic	core-computational	Pillar-A internal module without policy/wrapper/phase/dead markers	2	2	CNNA.PillarA.Arithmetic.BoundarySource.RecursiveLevelHistoryCarrier	not public-final unless an object proof dossier and public API contract later permit it
