ID	Priority	Issue status	Addressing phase	Finding	Static observation	Risk	Refactoring consequence	Change version	Change timestamp
SCF01	R	open-addressed-by-phase	1.1.3	Arithmetic/Notation.lean	5095 lines, 903 declarations, 0 notation/syntax/macro declarations by static grep.	The notation module is an alias/plan-semantics monolith; Part 2 must not import it as an API.	Split into true Notation/CoreSymbols, Legacy/PhaseAliases, and NeutralWrappers.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF02	Y	open-addressed-by-phase	1.1.4; 1.1.5	Plan-semantic Smoke names	Many active derivation sites carry SM/R/Recheck/Plus/Full/Audit in file names, e.g. SM9h, SM9e, R3c1.	Without Plan Part 1, the code surface is not readable by domain role.	New public modules must be object/role based only; old modules remain legacy sources.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF03	Y	open-addressed-by-phase	1.1.4; 4.1-4.5	Operational SM9h core	SM9h leaves an ExecComplex discriminant derived from a quadratic window, but under historical names.	Mathematics is usable, but not Part-2-neutral.	First wrap Operational/QuadraticWindow and Operational/QuadraticDiscriminant.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF04	Y	open-addressed-by-phase	5.1-5.5; 6.1-6.4	Orders / number theory	Discriminant, quadratic order, norm forms and Galois/Eisenstein special objects exist in bridge form.	Still no general D_op -> D_fund/conductor/order pipeline.	Build NumberTheory/* only after the operational profile is neutralized.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF05	Y	open-addressed-by-phase	6.5; 10.4.2; 10.4.3	Cayley-Dickson	The Structural/CayleyDickson path includes star, normSq, multiplication, alternative-law and norm-multiplicativity material.	Do not delete; no free identification with sectors.	Register it as a structural consumer/bridge and keep it out of the arithmetic source chain until a bridge is proved.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF06	R	open-addressed-by-phase	2.3; 11.1-11.5; 17.1-17.5	Handoff	A_to_B exports carrier, Schur, regionNet, split, DtN, selectedLevel, and regime data. Inputs B/C/D/E_to_A exist as empty/small structures.	Pillar A could accidentally treat its own outputs as sources.	The access matrix enforces: A consumes only inputs; outputs are forbidden-to-A.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF07	Y	open-addressed-by-phase	10.2; 13.1-13.6; 14.1-14.5	Finite/AQFT seeds	StateSpace, MatrixExponential, GibbsStateSeed, UnitaryEvolution, and ChannelSeed exist as A-internal seeds.	They can behave like parallel physics generators if not attached to an A-operator profile.	Mark them as consumers of BoundaryOperator/ExecMatrix; no independent operator source.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF08	G	closed-in-workflow	1.1.1.1.0.1; workflow_policy	Implementation preparation must be proof-rehearsed	Previous SM phases often exposed missing sources only during implementation.	The assistant may patch consumers, obstruct too early, or forget ExecComplex/import/no-go constraints.	Every phase record has preparation fields: dependency audit, source-derived theory objects, proof rehearsal, tactic plan, natural fallback source, and explicit no-go checklist.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF09	G	closed-generated-view	1.1.1.1.4; 19.1	Integrated Lean module inventory	The SM9h snapshot contains 287 Lean modules, 724 internal import edges, zero missing internal imports, and an acyclic import graph according to build_export_script_v1.8.py.	If module names and dependency structure are not visible in the planning tool, object/phase planning can drift away from the repository surface.	The planning package now carries a generated module catalog, dependency summaries, source-path links, and graph figures derived from the repository snapshot. These are generated views, not manual planning sources.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF10	Y	open-comparison-guardrail	8.1-8.8; 9.1-9.5; 12.1-12.8	TomS thread cross-check / external-reference intake	Thread pages 1-5 introduce prime-generation heuristics, imaginary-quadratic lattices, SL2Z/j, L-functions via modular forms, finite simple groups, Monster/Moonshine, Leech lattice and VOA/string-theory context.	These topics are established-reference material. They must not become CNNA generators, hidden axioms, imported physical ontology, or proof shortcuts; several statements require precision corrections before formal use.	Register the material as source-audit and comparison-only objects unless a later phase derives the required CNNA object from A provenance. Add Leech/finite-simple-group/VOA/Moonshine comparison profiles after j/q-expansion, not before.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF11	G	closed-routing-lock	1.1.1.1.0; 1.1.1.1.1-1.1.1.1.4	Phase 1.1 split refinement / Legacy.StatusGates quarantine	The next frontier combines three different work kinds: declaration classification, legacy enum quarantine, true notation extraction, and import firewall verification.	Keeping this as one implementation phase would recreate the previous monolith problem and make missing imports look like proof failures.	Split 1.1 into 1.1.1-1.1.5. Activate only 1.1.1 first; move the 749 single-constructor status enums in 1.1.2, not during inventory.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF12	G	closed-generated-view	1.1.1.1.4	Declaration-level consumption gap	Module graph reachability is strong, but declaration-level semantic consumption is not equivalent to BuildAll/Umbrella import reachability. Current snapshot: 287 Lean modules, 724 internal import edges, 8860 declarations, 394 static reference edges, 1686 referenced symbols.	A declaration can look consumed because an umbrella imports its module, while it is only a status/audit marker or phase alias. Blind pruning or blind retention would both corrupt the derived-only path.	Insert Phase 1.1.1.1 and LEG5 before code movement: classify declarations as core-computational, proof-bridge, public-wrapper, legacy-status, legacy-policy, phase-alias, audit-only, blue-semantic-correction, dead-candidate, or final-output.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF13	R	open-addressed-by-phase	1.1.2	Single-constructor inductives are broader than status enums	A rough direct static scan finds about 872 single-constructor inductives in 99 modules; the earlier 749 figure should be treated as a narrower status-enum subset, not the full population.	Moving every single-constructor inductive into Legacy.StatusGates would swallow policy/proof-bridge declarations and hide real provenance.	Phase 1.1.2 must consume the classification from 1.1.1.1/1.1.1.3. Constructor count alone is not a quarantine criterion.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF14	R	active-next	1.1.1.2	Blue objects are proof-carrying but not public-final	Object status B rows occur in Cayley-Dickson, Schur/DtN, and operational arithmetic families. These are already derived-only/proof-carrying in current code, but still semantically/API unfinished.	Treating blue objects as final because proofs exist would export old SM/AR semantics or wrong API boundaries into Phase 3+ and handoffs.	Add Phase 1.1.1.2 and LEG7. Every blue object must get a correction ledger entry: semantic defect, natural correction phase, allowed temporary consumers, forbidden public consumers, and exit-to-white condition.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF15	Y	open-addressed-by-phase	1.1.1.4	Pruning must follow API contracts, not precede them	Syntactic sinks and weakly referenced declarations include diagnostic leaves, audit leaves, intentional outputs, and proof-obligation terminals.	Deleting before a public API contract can remove audit/provenance evidence or proof bridges that are not mainline outputs but still necessary.	Add Phase 1.1.1.4 and LEG8. Deletion is postponed to a later optional pruning phase and requires classification plus local green build evidence.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF16	G	closed-generated-view	1.1.1.1.1	Module budget missing before implementation	The v23 plan classifies module/declaration consumption but did not yet require every implementation phase to name the exact modules to add/modify before Lean code is written.	Kleinteilige phases can degenerate into kleinteilige code: one new file per subphase, accidental wrappers, and parallel helper modules that are syntactically green but semantically fragmented.	Insert 1.1.1.1.1 and LEG10. Every implementation phase must carry a module manifest with exact module names/count, semantic placement rationale, reuse decision, and import role before code starts.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF17	G	closed-generated-view	1.1.1.1.2	Duplicate generator risk	The Smoke-Test Generator is intended to become the canonical generator seam for the whole theory, but later phases could accidentally reimplement request/output, extraction, ledger, or smoke-test logic under new names.	Duplicate generator paths would break derived-only provenance by creating competing sources of truth and would make future proof reuse fragile.	Insert 1.1.1.1.2 and LEG11. Generator-like code must reuse or extend the canonical generator at its natural layer; parallel generators are blocked unless a genuine semantic split is recorded.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
SCF18	Y	deferred-secondary-roadmap	19.1-19.4	Secondary derivation-graph analysis assets exist	repo_inventory/raw_export already contains import graph data and related forensics sufficient for future documentation coverage and derivation-geometry diagnostics.	If activated too early, graph metrics could be mistaken for CNNA-generative evidence or distract from closing operational derived objects.	Keep as secondary long-term phases 19.1-19.4; use for documentation/audit only until core derived objects and public API are stable.	baseline-before-V1.0	2026-05-10T05:51:42+02:00
