id	paper_section	planned_audit_tier	reason_code	publication	baseline_status
I001	1.1.1	A	INPUT_NORMALIZATION_OR_SINGLETON	MAIN_FULL	FREE_INPUT
I002	1.1.2	A	INPUT_NORMALIZATION_OR_SINGLETON	MAIN_FULL	FREE_INPUT
C001	1.1.3	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_DEFINED
C002	1.1.4	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_DEFINED
C003	1.1.5	B	NONTRIVIAL_STRUCTURAL_PROOF	MAIN_FULL	CORE_DEFINED
C018	1.1.6	B	NONTRIVIAL_STRUCTURAL_PROOF	MAIN_FULL	FIXED_ACTIVE_RULE
C004A	1.2.1	B	NONTRIVIAL_STRUCTURAL_PROOF	MAIN_FULL	CORE_DEFINED
A001	1.2.2	A	INPUT_NORMALIZATION_OR_SINGLETON	MAIN_MENTION	AUXILIARY_SINGLETON
N001	1.2.3	A	INPUT_NORMALIZATION_OR_SINGLETON	MAIN_FULL	FIXED_NORMALIZATION
C013	1.2.4	A	DIRECT_BOOTSTRAP_CONSTRUCTION	MAIN_FULL	CORE_REQUIRED_MISSING
T001	1.2.5	A	DEFINITIONAL_SEED_ERASURE_THEOREM	MAIN_THEOREM	CORE_REQUIRED_MISSING
M005	1.2.6	A	ELEMENTARY_UNIT_SCALING_IDENTITY	MAIN_THEOREM	CORE_REQUIRED_MISSING
C014	1.2.7	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_BLOCKED
C005	1.3.1	A	STRUCTURAL_OR_ALGEBRAIC_DEFINITION	MAIN_FULL	CORE_BLOCKED
C004	1.3.2	B	NONTRIVIAL_STRUCTURAL_PROOF	MAIN_FULL	CORE_DEFINED
C006	1.3.3	B	NONTRIVIAL_STRUCTURAL_PROOF	MAIN_FULL	CORE_DEFINED
M001	1.3.4	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_REQUIRED_MISSING
M002	1.3.5	B	TARGETED_MAIN_THEOREM	MAIN_THEOREM	CORE_REQUIRED_MISSING
C007	1.3.6	B	NONTRIVIAL_CONSTRUCTION_OR_LOCAL_PROOF	MAIN_FULL	CORE_BLOCKED
