node_number	id	paper_section	documentation_tier	main_v1_state	supplement_v1_state	documentation_v2_state	python_anchor_status	lean_anchor_status	countercheck_status
001	I001	1.1.1	D0	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
002	I002	1.1.2	D0	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
003	C001	1.1.3	D0	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
004	C002	1.1.4	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
005	C003	1.1.5	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
006	C018	1.1.6	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
007	P002	1.1.6.1	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	NOT_REQUIRED_STATIC_PROOF	RESOLVED_6_KERNEL_AXIOM_FREE_VERIFIED	PASS
008	C004A	1.2.1	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
009	A001	1.2.2	D0	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
010	N001	1.2.3	D0	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
011	C013	1.2.4	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
012	T001	1.2.5	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
013	M005	1.2.6	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
014	C014	1.2.7	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
015	C005	1.3.1	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
016	C004	1.3.2	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
017	C006	1.3.3	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
018	M001	1.3.4	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
019	P003	1.3.4.1	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED_SUPPORTING_EVIDENCE	RESOLVED_SUPPORTING_EVIDENCE	PASS
020	M002	1.3.5	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
021	C007	1.3.6	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
022	O001	1.3.7	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
023	C015	1.3.8	D0	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED	PASS
024	M003	1.3.9	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED_KERNEL_VERIFIED	PASS
025	P001	1.3.9.1	D2	DOCUMENTED	DOCUMENTED	COMPLETE_V2	NOT_REQUIRED_PROOF_NODE	RESOLVED_142_VERIFIED	PASS
026	M004	1.3.10	D1	DOCUMENTED	DOCUMENTED	COMPLETE_V2	RESOLVED	RESOLVED_KERNEL_VERIFIED	PASS
