id	source	target	relation	edge_class	hard_dependency	layout_constraint	status	section	requirement	note
E001	I001	C003	parameterizes_branching	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E002	I002	C003	bounds_finite_approximant	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E003	C001	C002	root_genesis	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		Only node birth before any relation exists.
E004	C002	C003	anchors_provenance_grammar	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E005	C003	C004A	defines_first_provenance_slot	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E006	A001	C013	supplies_information_free_bootstrap_token	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01	Implement seed as singleton token only.	
E007	C004A	C013	supplies_first_provenance_slot	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01	First slot is provenance only; no spatial coordinate.	
E008	N001	C013	sets_first_relation_conductance	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01	Create root–v₁ relation with symmetric C★=1.	
E009	C013	T001	requires_seed_neutrality	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01	Prove generated first weighted state is seed-independent.	
E010	N001	M005	requires_unit_independence	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01	Prove C★ is a normalization/unit rather than a third free physical parameter.	
E011	C013	C014	produces_bootstrap_state	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E012	T001	C014	certifies_seed_neutrality	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E013	M005	C014	certifies_no_third_input	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E014	C014	C005	provides_recurrent_base_case	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E015	C005	C004	exposes_next_open_slot	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E016	C005	M001	supplies_existing_network_to_birth_cut	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01	Define unique birth-local cut from Xₙ and sₙ₊₁.	
E017	C004	M001	localizes_cut_by_provenance_slot	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E018	M001	M002	requires_birth_cut_domain	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E019	C006	C007	computes_interbirth_response	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E020	M001	C007	supplies_birth_cut	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E021	M002	C007	certifies_response_domain	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E022	C005	C007	response_of_existing_network	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E023	C015	M003	fixes_linear_active_transform	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		C015 identity transform is directly imported and used by M003.
E024	C007	M003	feeds_response_steering	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		C007 exact response is directly consumed by M003.
E025	M003	M004	determines_birth_data	DERIVATION	true	true	ACTIVE_CURRENT	SEC-01	All physical directed distinguishability/backreaction must be response-derived.	M004 consumes the closed CanonicalM003Closure interface: response existence, universal steering positivity, and the exact positive-domain witness are supplied internally; no external parent index or positivity premise remains in the public proof contract.
E026	C004	M004	supplies_provenance_slot_only	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01	Slot/order may label provenance but may not inject independent geometry or rank-force asymmetry.	M004 support is determined by the canonical C004 slot.
E027	M004	C008	applies_response_coupled_update	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01	C008_MUST_CONSUME_CANONICAL_HANDOFF_AND_RESPECT_BIRTH_INSTRUCTION_SAME_VALUE	M004 supplies an existing immutable IsCanonicalBirthInstructionHandoff and proves any two such handoffs BirthInstructionSameValue. C008 remains the separate owner of record/live mutation and must respect this semantic equivalence.
E028	C008	C016	creates_record_channel	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E029	C008	C017	updates_live_channel	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E030	C016	C009	part_of_next_state	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E031	C017	C009	part_of_next_state	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E032	M004	C011	produces_response_lapse	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E033	C011	C012	accumulates_response_time	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E034	C009	C010	records_event_index	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E035	C007	CTRL001	nulls_steering_during_growth	CONTROL	true	true	PLANNED_BLOCKED	SUPP		
E036	CTRL001	CTRL002	checks_null_indistinguishability	CONTROL	true	true	PLANNED_BLOCKED	SUPP		
E037	C007	CTRL003	log_robustness_transform	CONTROL	true	true	READY_FUTURE	SUPP		
E038	C007	CTRL004	saturating_robustness_transform	CONTROL	true	true	READY_FUTURE	SUPP		
E039	O001	M004	must_be_removed_before_core_birth_law	OBSTRUCTION_GATE	true	true	ACTIVE_VERIFIED	SEC-01		M004 candidate inputs explicitly use the all-false O001 presence record and pass the gate.
E040	O002	CTRL001	must_be_replaced_by_growth_level_nulling	OBSTRUCTION_GATE	true	true	PLANNED_BLOCKED	SEC-01		
E386	M001	C020	generalizes_birth_cut	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02	General cut family must contain the birth-local cut as its primitive special case.	
E387	C006	C021	generalizes_schur_response	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02	State the exact domain and directed response theorem.	
E388	C020	C021	defines_response_domain	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02		
E389	C021	C022	schur_naturality	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02	Prove nested elimination/common-ambient compatibility.	
E390	C021	C023	decomposes_response	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02		
E391	C023	C024	record_live_difference	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02	Use the same cut and basis for live and record.	
E392	C021	M030	selects_effective_role_plane	DERIVATION	true	true	PLANNED_BLOCKED	SEC-03	Derive one canonical F1/F2 role functor; legacy alternatives are not admitted.	
E393	C023	M031	generates_intrinsic_response_algebra	DERIVATION	true	true	PLANNED_BLOCKED	SEC-03	Define algebra intrinsically from admitted response objects.	
E394	M030	M031	provides_role_generators	DERIVATION	true	true	PLANNED_BLOCKED	SEC-03		
E395	C008	C040	induces_ancestor_kernel	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04	Exact Cauchy carrier must be rechecked after response-coupled growth refactor.	
E396	C040	C041	cauchy_factorization	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E397	C021	C041	post_schur_factorization	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E398	C041	C042	rank_closure	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E399	C042	C043	refinement_reconstruction	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E400	C008	C050	stabilizes_raw_skew	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05	Revalidate future-invariant old-old blocks after the primitive growth law is corrected.	
E401	C050	C051	weyl_direct_system	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E402	C003	M050	selects_provenance_metric	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05	Derive the metric-selection principles from primitive provenance, not as extra state postulates.	
E403	C050	C052	normalizes_raw_skew	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05	Global HS edge taxonomy/tail proof.	
E041	M050	C052	defines_hilbert_normalization	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E042	C052	C053	quasifree_positivity	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05	Mathematically direct once G and bounded K are admitted.	
E043	C050	C054	algebraic_nondegeneracy	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E044	C053	C055	restricts_to_local_cones	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E045	C055	C056	completed_injectivity	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E046	C054	C057	spectral_handoff	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E047	C056	C058	closes_local_factor_nondegeneracy	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E048	C057	C058	type_classification	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E049	C008	C059	finite_cone_interface_taxonomy	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06	Recheck exact formula under response-coupled growth.	
E050	C053	C060	state_factorization	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E051	C058	C060	type_split_chain	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E052	C059	C060	separator_split	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E053	C060	C061	dual_envelope_isotony	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E054	C021	M070	selects_emergent_geometry	DERIVATION	true	true	PLANNED_BLOCKED	SEC-07	Canonical response/provenance interface selector.	
E055	M070	B071	unblocks_geometry_hodge_hk	DERIVATION	true	true	PLANNED_BLOCKED	SEC-07		
E056	C058	M080	requires_local_standardness	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08	Factor type does not imply that the selected Ω is cyclic/separating.	
E057	C057	O081	modular_shadow_audit	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08		
E058	M080	M082	tomita_takesaki_flow	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08	Local standard pair required first.	
E060	M082	M083	covariance_spectrum	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08	Modular flow is not automatically physical covariance; derive an automorphism group and positive generator.	
E061	C053	O084	mixed_state_result	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08		
E062	O084	M085	requires_new_pure_branch	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08	Only if global purity remains a target; current ω_prov cannot satisfy it.	
E063	C003	C018	defines_canonical_birth_schedule	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E064	C018	C004A	selects_first_slot	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E065	C018	C004	orders_next_open_slot	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E066	C018	C010	assigns_event_index	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E067	N002	C012	fixes_additive_time_origin	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E068	M005	M003	enforces_unit_normalized_steering	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01	Steering must use normalized response variables so C★ fixes units only.	M003 uses the fixed N001/M005 unit representative C_star=1.
E069	C005	C009	constrains_codomain_state_schema	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E070	C005	T002	supplies_state_schema	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E071	C009	T002	supplies_step_codomain	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E072	M004	T002	supplies_recurrent_map	DERIVATION	true	true	ACTIVE_VERIFIED	SEC-01		
E073	C018	T003	supplies_label_order_contract	DERIVATION	true	true	ACTIVE_CURRENT	SEC-01		
E074	M003	T003	supplies_response_only_steering	DERIVATION	true	true	ACTIVE_CURRENT	SEC-01		
E075	M004	T003	supplies_no_hardcoded_rank_bias_birth_law	DERIVATION	true	true	ACTIVE_CURRENT	SEC-01		
E076	C008	T003	supplies_update_equivariance	DERIVATION	true	true	ACTIVE_CURRENT	SEC-01		
E077	C014	C019	supplies_finite_iteration_base_case	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E078	T002	C019	certifies_iterability	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E079	T003	C019	certifies_no_hardcoded_label_bias	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E080	C018	C019	orders_finite_iteration	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E081	I002	C019	sets_completion_depth	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E082	C010	C019	labels_completed_event_history	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E083	C012	C019	labels_completed_response_time_history	DERIVATION	true	true	PLANNED_BLOCKED	SEC-01		
E084	C019	C020	supplies_completed_finite_carrier	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02		
E085	C022	C024	supplies_common_ambient_basis	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02		
E086	C016	C024	supplies_record_channel	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02		
E087	C017	C024	supplies_live_channel	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02		
E088	C019	C040	supplies_finite_ancestor_domain	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E089	C018	C042	fixes_active_schedule_scope	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E090	C023	C050	supplies_raw_skew_response	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E091	C019	C050	supplies_common_finite_support_carrier	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E092	M050	C053	supplies_quasifree_covariance_metric	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E093	M050	C055	supplies_local_hilbert_metric	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E094	C019	C055	supplies_descendant_cone_domain	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E095	C052	C056	supplies_normalized_skew_operator	DERIVATION	true	true	PLANNED_BLOCKED	SEC-05		
E096	C053	C057	supplies_selected_quasifree_state	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E097	C051	C057	supplies_weyl_algebraic_system	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E098	C019	C059	supplies_finite_cone_carrier	DERIVATION	true	true	PLANNED_BLOCKED	SEC-06		
E099	C019	M070	supplies_provenance_multilevel_domain	DERIVATION	true	true	PLANNED_BLOCKED	SEC-07		
E100	C059	M070	supplies_finite_interface_taxonomy	DERIVATION	true	true	PLANNED_BLOCKED	SEC-07		
E101	C057	M080	supplies_selected_gns_vector	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08		
E102	M082	M086	supplies_abstract_local_modular_action	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08		
E103	O081	M086	exposes_native_lift_obstruction	OBSTRUCTION_GATE	true	true	PLANNED_BLOCKED	SEC-08		
E104	M086	M083	supplies_native_net_action	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08		
E105	C061	M083	supplies_local_net_for_covariance	DERIVATION	true	true	PLANNED_BLOCKED	SEC-08		
E106	C018	CTRL005	defines_schedule_control_reference	CONTROL	true	true	PLANNED_BLOCKED	SUPP		
E107	C021	C025	supplies_directed_effective_response	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02		
E108	C022	C025	supplies_common_ambient_regional_typing	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02		
E109	C023	C025	supplies_symmetric_skew_regional_split	DERIVATION	true	true	PLANNED_BLOCKED	SEC-02		
E110	C025	C032	supplies_regional_operator_support	DERIVATION	true	true	PLANNED_BLOCKED	SEC-03		
E111	M030	C032	supplies_canonical_role_functor	DERIVATION	true	true	PLANNED_BLOCKED	SEC-03		
E112	C032	C033	supplies_operator_generators_and_support	DERIVATION	true	true	PLANNED_BLOCKED	SEC-03		
E113	C025	C033	supplies_response_generators	DERIVATION	true	true	PLANNED_BLOCKED	SEC-03		
E114	C033	M031	supplies_exact_algebraic_closure	DERIVATION	true	true	PLANNED_BLOCKED	SEC-03		
E115	C032	O048	supplies_finite_algebra_dimension_domain	DERIVATION	true	true	PLANNED_BLOCKED	SEC-03		
E116	C019	C044	supplies_finite_carrier_for_prefix_maps	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E117	C021	C045	supplies_response_objects_for_multiscale_transport	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E118	C044	C045	supplies_projective_carrier_maps	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E119	C040	C047	supplies_ancestor_carrier	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
E120	C041	C047	supplies_exact_factorization	DERIVATION	true	true	PLANNED_BLOCKED	SEC-04		
