Axis	Code	Name	Meaning	Assignment rule	Closure rule
declaration_kind	def	Definition	Lean definition or constant-producing definition.	Read from parsed Lean declaration/inventory, not inferred only from filename.	Must be paired with semantic_role, triviality_tier, lifecycle_state, owner bucket and documentation policy.
declaration_kind	theorem	Theorem	Named theorem declaration.	Read from source/inventory declaration kind.	May be trivial syntactically yet high-significance semantically; require override channel.
declaration_kind	lemma	Lemma	Named lemma declaration.	Read from source/inventory declaration kind.	Same classification burden as theorem; local helper status must be explicit.
declaration_kind	structure	Structure	Lean structure/class-like record declaration when parsed as structure.	Read from source/inventory declaration kind.	Must distinguish fundamental object carrier from ledger/scaffold/overhead record.
declaration_kind	class	Typeclass	Lean class/typeclass declaration.	Read from source/inventory declaration kind.	Must state whether operational, mirror-only, legacy, external assumption, or refactor target.
declaration_kind	inductive	Inductive	Inductive type declaration.	Read from source/inventory declaration kind.	Constructors and generated recursors may be bucketed separately or inherited with explicit rule.
declaration_kind	abbrev	Abbreviation	Lean abbreviation/alias.	Read from source/inventory declaration kind.	Must distinguish harmless alias, legacy facade, renamed alias or public API surface.
declaration_kind	instance	Instance	Typeclass instance declaration.	Read from source/inventory declaration kind.	Must state whether it affects operational path, mirror path, classical/noncomputable exposure or only tooling.
declaration_kind	notation-syntax-macro	Notation/syntax/macro	Notation, syntax, macro or parser-level declaration.	Read from source/inventory and notation module scan.	Must be classified as API, legacy/phase alias, notation core, or quarantine candidate.
declaration_kind	namespace-only	Namespace-only surface	Namespace/opening organization without direct mathematical object payload.	Detected from source structure; not counted as derived mathematical object.	May be mention-only but still needs owner bucket and lifecycle state.
declaration_kind	attribute-config	Attribute/configuration	Attribute, option, lint/config or generated declaration-control surface.	Detected from source or tool inventory.	Must be checked against operational no-go rules such as no operational @[simp].
declaration_kind	example-test-eval	Example/test/eval	Example, smoke-test evaluator, #eval-facing declaration or test-only artifact.	Detected from source/inventory and module path, with manual override where path is misleading.	Must not be promoted to core object without explicit producer/consumer and proof-dossier upgrade.
declaration_kind	unknown-manual-review	Unknown/manual review	Temporary classification for declarations the scanner cannot type safely.	Only allowed as open audit residue, never as closed source-intake evidence.	Blocks LEG37/CEX0 closure until resolved or explicitly bucketed with a justified non-object status.
semantic_role	core-computational	Core computational declaration	Participates in computable/operational construction path.	Evidence must come from actual dependency/consumer path, not only module name.	Requires documentation policy at least standard unless triviality/significance override justifies compact record.
semantic_role	proof-bridge	Proof bridge	Connects definitions/theorems or transports evidence across layers.	Identify by use in proof targets and consumers.	May be T2/T3 but must preserve source/target theorem semantics.
semantic_role	structural-constructor	Structural constructor	Builds an entry/ledger/object/certificate structure.	Identify constructor/projection role explicitly.	Must distinguish natural-origin structure from consumer-side patch.
semantic_role	projection-wrapper	Projection/wrapper	Definitional wrapper, projection, accessor or compatibility facade.	Detected by body/projection/facade pattern and consumer checks.	Usually T2/T3, but can be high-significance when it is a boundary/handoff contract.
semantic_role	public-api	Public API surface	Declaration intentionally exposed to downstream consumers.	Requires public-surface whitelist or object/phase evidence.	Must have consumer rights and documentation policy; blue/legacy rows cannot be public-final.
semantic_role	legacy-status	Legacy status enum/marker	Legacy single-constructor/status gate or historical phase marker.	Detected by status-gate quarantine and source scan.	Quarantined or compact-record unless still consumed by current public API.
semantic_role	legacy-policy	Legacy policy/facade	Old policy/facade retained for compatibility.	Detected by lifecycle/renaming/refactor map.	Must point to successor/current object or explicit retirement.
semantic_role	phase-alias	Phase alias/name residue	Declaration or module name that carries phase semantics rather than neutral object semantics.	Detected by naming scan and manual review.	Must be neutralized, quarantined or documented as historical facade before new substantive code.
semantic_role	audit-only	Audit-only declaration	Exists for inventory, check, report or governance only.	Evidence from module path plus usage; manual override required if used mathematically.	Not a Lean mathematical object for CNNA truth; mention-only/compact documentation.
semantic_role	generated-artifact	Generated artifact	Output generated from YAML/inventory/tooling, not manually maintained Lean truth.	Trace to generator snapshot and source hash.	Must never be cited as primary Lean truth.
semantic_role	external-reference-marker	External reference marker	Established-theory/reference/comparison marker.	Blue/reference source provenance required.	May guide target gates but cannot be imported as CNNA generator.
semantic_role	dead-candidate	Dead candidate	Unused, obsolete or negative-path candidate kept for history.	Requires no-current-consumer or supersession evidence.	Must have lifecycle state deprecated/superseded/deleted-retired or explicit legacy facade.
semantic_role	unknown-manual-review	Unknown/manual review	Temporary unresolved semantic role.	Only from scanner inability or conflicting evidence.	Blocks total-classification closure until resolved.
triviality_tier	T0	Fundamental/nontrivial	Defines or proves a fundamental CNNA object, boundary contract, generator, handoff or nontrivial theorem.	Manual/curated evidence may override syntactic simplicity.	Full dossier/extended proof documentation required; may not be hidden by rfl/body heuristics.
triviality_tier	T1	Structural local	Nontrivial but local structural construction, lemma family or certificate.	Needs local proof/consumer evidence.	Standard or extended dossier depending on significance.
triviality_tier	T2	Proof bridge/API wrapper	Bridge, wrapper or API connector with meaningful consumer effect.	Auto-candidate by wrapper/proof-bridge role; manual override allowed.	Compact or standard record; public API requires explicit consumer rights.
triviality_tier	T3	Definitional/rfl/projection	Mostly definitional equality, projection, alias or rfl-level support.	Heuristic candidate from proof body/body shape; not final without override check.	Mention-only/compact unless it carries boundary/handoff/fundamental semantics.
triviality_tier	T4	Status/policy/audit marker	Governance marker, status enum, policy row or audit-only declaration.	Evidence from source role and no mathematical consumer.	Compact/mention-only; quarantine if phase-semantic or legacy.
triviality_tier	T5	Legacy/dead/generated/no semantic payload	Dead, legacy, generated-secondary or no-current-semantic-payload declaration.	Requires lifecycle/consumer evidence.	Exclude from public docs unless referenced; retain history non-destructively.
triviality_tier	T?	Unresolved triviality	Temporary unresolved triviality classification.	Allowed only while source-intake audit is open.	Blocks LEG37/CEX0 closure.
documentation_requirement	full-dossier	Full dossier	Complete source/provenance/proof/verification/consumer-rights documentation.	Default for T0/F0 or public-final fundamental objects.	Required before promotion or downstream consumption.
documentation_requirement	extended-dossier	Extended dossier	Detailed proof route, risks and consumers.	Default for F1 and structural/explorer/governance gates.	Required before activating dependent schema/frontend/import phases.
documentation_requirement	standard-dossier	Standard dossier	Normal object/proof summary with source and consumer links.	Default for T1/T2 non-public-core declarations.	Enough to avoid re-reading chat history.
documentation_requirement	compact-record	Compact record	Short record for helpers, policy rows, wrappers, status markers.	Allowed for T3/T4/F3 if not public-final core.	Must still include owner bucket and lifecycle state.
documentation_requirement	mention-only	Mention only	Visible in generated inventory but no proofbook expansion.	Allowed for T4/T5 with no public mathematical consumer.	Still must be queryable and lifecycle-tagged.
documentation_requirement	exclude-public-unless-referenced	Exclude unless referenced	Hidden from public/high-level docs unless a selected object/phase references it.	Allowed for T5/generated/dead residues.	Explorer may reveal it through history/provenance filters only.
documentation_requirement	manual-review-required	Manual review required	Documentation policy cannot be fixed automatically.	Used for conflicting classifier evidence.	Blocks total-classification closure until resolved.
lifecycle_state	current	Current declaration	Current declaration in the active Lean snapshot.	Present in current source and not superseded/retired.	Must have owner bucket, documentation policy and public-surface status.
lifecycle_state	superseded	Superseded declaration	Replaced by a newer declaration/object but retained historically.	Requires successor pointer and version/timestamp evidence.	Old row remains; consumers must point to current successor unless explicitly historical.
lifecycle_state	renamed-alias	Renamed alias	Old name retained as alias/facade after rename.	Requires rename map, predecessor/successor and facade policy.	May not be treated as independent current object.
lifecycle_state	deprecated	Deprecated declaration	Still present but discouraged or scheduled for quarantine/removal.	Requires deprecation reason and consumer audit.	Public-final use blocked unless explicitly grandfathered.
lifecycle_state	deleted-retired	Deleted/retired declaration	No longer present in current Lean snapshot but retained in history.	Detected by snapshot diff and retirement record.	Must terminate lifecycle chain without dangling consumers.
lifecycle_state	legacy-facade	Legacy facade	Compatibility surface retained to avoid breaking old imports.	Requires neutral target and facade decommission/review policy.	Must point to current canonical declaration/object.
lifecycle_state	unknown-manual-review	Unknown/manual review	Lifecycle cannot be decided from current inventory.	Only temporary during diff/source-intake audit.	Blocks closure until resolved.
public_surface_status	public-final	Public final	Allowed public/current API declaration.	Requires derived/current status, consumer rights and documentation policy.	Forbidden for blue, unknown, deprecated, superseded or hypothesis-only declarations.
public_surface_status	internal-only	Internal only	Usable only inside the allowed internal source layer.	Default for helpers and operational internals unless promoted.	Explorer may display but must not advertise as public API.
public_surface_status	facade-only	Facade only	Compatibility alias/wrapper, not canonical current object.	Requires successor/current target.	Consumer docs must point to canonical target.
public_surface_status	audit-only	Audit only	Inventory/governance/testing declaration with no API role.	Requires no mathematical consumer or explicit audit purpose.	Not public-final and not CNNA truth.
public_surface_status	quarantined	Quarantined	Legacy/phase-semantic/unsafe or unresolved declaration kept away from public consumers.	Requires reason and release condition.	Cannot be consumed by new substantive Lean phases.
public_surface_status	manual-review-required	Manual review required	Public-surface status unresolved.	Temporary only.	Blocks LEG37/CEX0 closure.
