ID	Rule	Scope	Enforcement	Change version	Change timestamp	Change class	Change note
GNG01	no @[simp] attributes in the operational path	Global operational Lean code path	Rejected in implementation manifest, code review, and closeout unless the code is explicitly non-operational and the exception is recorded.				
GNG02	no noncomputable in the operational path	Global operational Lean code path	Operational definitions must remain computable; mirror/non-operational layers must be marked and isolated.				
GNG03	no classical helper unless isolated in allowed mirror/non-operational layer	Global operational/mirror boundary	Any classical use must be outside the operational path and documented as mirror/non-operational.				
GNG04	no Matrix.inv or external inverse oracle in operational derivations	Global inverse/elimination derivations	Use explicit proof-carrying inverse candidates and two-sided inverse proofs; external inverse APIs are forbidden as operational sources.				
GNG05	no free formula without proof-carrying entry structure	Global formula/code-object introduction	Every formula exposed to consumers must be backed by a source object, entry structure, definition, proof target, and verification/dossier record.				
GNG06	no consumer-side patch when the missing structure belongs earlier	Global dependency/backjump discipline	Missing structure must be introduced at its natural source layer; consumer/gate patches are blocked.				
GNG07	no premature obstruction before a serious positive construction attempt	Global positive-path discipline	Obstructions require a recorded positive attempt and a localized mathematical failure reason.				
GNG08	no phase-semantic public API names	Global public API and module-surface naming	SM/AR/phase-semantic names may remain legacy/internal but cannot be public-final neutral API.				
GNG09	no fragile rewrite chain when a structural constructor/projection proof is available	Global proof-tactic strategy	Prefer constructors, projections, and explicit structural lemmas; fragile rewrite chains must be justified as local and harmless.				
GNG10	do not delete legacy status enums during quarantine	Global legacy quarantine workflow	Legacy status enums may be moved/quarantined/wrapped, not deleted during the quarantine phase.				
GNG11	do not let Phase 3+ import Legacy.StatusGates	Global import firewall for post-neutral phases	Phase 3+ visibility checks must reject Legacy.StatusGates imports.				
GNG12	do not treat old TeX/PDF files as maintained roadmap sources	Global planning/source-of-truth policy	YAML master is authoritative; old TeX/PDF files are historical/generated views only.				
GNG13	no string-like or physical analogy as CNNA-generative input	All interpretive, arithmetic, Schur/DtN, and handoff phases.	Analogies may be comparison/diagnostic notes only; any formula, object, spectrum, or handoff must have a derived code/proof route.				
