hierarchy_level	from_section	to_section	from_last_node	to_first_node	transition_kind	supporting_edge_ids	transition_statement	result
2	1.1.1	1.1.2	I001	I002	EXPLICIT_INTRODUCTION_POINT		Free finite-depth input; visible at the origin.	PASS
2	1.1.2	1.1.3	I002	C001	EXPLICIT_INTRODUCTION_POINT		Primitive empty carrier; visible at the origin.	PASS
2	1.1.3	1.1.4	C001	C002	DIRECT_HARD_HANDOFF	E003	C001 hands its result directly to C002 through root_genesis.	PASS
2	1.1.4	1.1.5	C002	C003	DIRECT_HARD_HANDOFF	E004	C002 hands its result directly to C003 through anchors_provenance_grammar.	PASS
2	1.1.5	1.1.6	C003	C018	DIRECT_HARD_HANDOFF	E063	C003 hands its result directly to C018 through defines_canonical_birth_schedule.	PASS
2	1.3.1	1.3.2	C005	C004	DIRECT_HARD_HANDOFF	E015	C005 hands its result directly to C004 through exposes_next_open_slot.	PASS
2	1.3.2	1.3.3	C004	C006	EXPLICIT_INTRODUCTION_POINT		Generic Schur/DtN operator introduced at its first use in section 1.3.3.	PASS
2	1.3.3	1.3.4	C006	M001	EXPLICIT_INTRODUCTION_POINT		Introduced after C005, C004; registered hard handoff(s): supplies_existing_network_to_birth_cut, localizes_cut_by_provenance_slot.	PASS
2	1.3.4	1.3.5	P003	M002	CROSS_SECTION_HARD_HANDOFF	E018	The next section receives hard mathematical inputs through 1 registered DAG edge(s).	PASS
2	1.3.5	1.3.6	M002	C007	DIRECT_HARD_HANDOFF	E021	M002 hands its result directly to C007 through certifies_response_domain.	PASS
2	1.3.6	1.3.7	C007	O001	EXPLICIT_INTRODUCTION_POINT		Legacy-bias obstruction introduced at the affected birth-law gate.	PASS
2	1.3.7	1.3.8	O001	C015	EXPLICIT_INTRODUCTION_POINT		Identity steering convention introduced after response construction in section 1.3.8.	PASS
2	1.3.8	1.3.9	C015	M003	DIRECT_HARD_HANDOFF	E023	C015 hands its result directly to M003 through fixes_linear_active_transform.	PASS
2	1.3.9	1.3.10	P001	M004	CROSS_SECTION_HARD_HANDOFF	E025	The next section receives hard mathematical inputs through 1 registered DAG edge(s).	PASS
2	1.6.1	1.6.2	O002	CTRL001	DIRECT_HARD_HANDOFF	E040	O002 hands its result directly to CTRL001 through must_be_replaced_by_growth_level_nulling.	PASS
2	1.6.2	1.6.3	CTRL001	CTRL002	DIRECT_HARD_HANDOFF	E036	CTRL001 hands its result directly to CTRL002 through checks_null_indistinguishability.	PASS
2	1.6.3	1.6.4	CTRL002	CTRL003	EXPLICIT_INTRODUCTION_POINT		Introduced after C007; registered hard handoff(s): log_robustness_transform.	PASS
2	1.6.4	1.6.5	CTRL003	CTRL004	EXPLICIT_INTRODUCTION_POINT		Introduced after C007; registered hard handoff(s): saturating_robustness_transform.	PASS
3	5.2.1.1	5.2.1.2	P028	P029	DIRECT_HARD_HANDOFF	E264	P028 hands its result directly to P029 through supports_p029.	PASS
3	6.1.2.1	6.1.2.2	P040	P041	DIRECT_HARD_HANDOFF	E315	P040 hands its result directly to P041 through supports_p041.	PASS
3	6.1.2.2	6.1.2.3	P041	P042	DIRECT_HARD_HANDOFF	E320	P041 hands its result directly to P042 through supports_p042.	PASS
3	6.2.2.1	6.2.2.2	P044	P045	DIRECT_HARD_HANDOFF	E333	P044 hands its result directly to P045 through supports_p045.	PASS
3	8.1.2.1	8.1.2.2	P051	P052	DIRECT_HARD_HANDOFF	E359	P051 hands its result directly to P052 through supports_p052.	PASS
2	4.1.1	4.1.2	P018	C041	CROSS_SECTION_HARD_HANDOFF	E396	The next section receives hard mathematical inputs through 1 registered DAG edge(s).	PASS
2	6.2.1	6.2.2	P043	C060	CROSS_SECTION_HARD_HANDOFF	E052,E328,E330	The next section receives hard mathematical inputs through 3 registered DAG edge(s).	PASS
2	6.2.2	6.2.3	P045	C061	CROSS_SECTION_HARD_HANDOFF	E053,E335,E336	The next section receives hard mathematical inputs through 3 registered DAG edge(s).	PASS
3	8.1.1.1	8.1.1.2	P049	P050	DIRECT_HARD_HANDOFF	E353	P049 hands its result directly to P050 through supports_p050.	PASS
2	4.2.1	4.2.2	C042	CTRL005	DIRECT_HARD_HANDOFF	E133	C042 hands its result directly to CTRL005 through supplies_canonical_schedule_reference_for_control.	PASS
1	2.1	2.2	C022	C023	CROSS_SECTION_HARD_HANDOFF	E390,E085	The next section receives hard mathematical inputs through 2 registered DAG edge(s).	PASS
1	2.2	2.3	C024	C025	CROSS_SECTION_HARD_HANDOFF	E109,E184	The next section receives hard mathematical inputs through 2 registered DAG edge(s).	PASS
1	4.1	4.2	C041	C042	DIRECT_HARD_HANDOFF	E398	C041 hands its result directly to C042 through rank_closure.	PASS
1	4.2	4.3	CTRL005	C044	CROSS_SECTION_HARD_HANDOFF	E122,E230	The next section receives hard mathematical inputs through 2 registered DAG edge(s).	PASS
1	4.3	4.4	P022	C043	CROSS_SECTION_HARD_HANDOFF	E124,E125,E235,E236,E237,E238,E240,E241,E246,E247	The next section receives hard mathematical inputs through 10 registered DAG edge(s).	PASS
1	4.4	4.5	P025	O049	CROSS_SECTION_HARD_HANDOFF	E126	The next section receives hard mathematical inputs through 1 registered DAG edge(s).	PASS
2	1.2.1	1.2.2	C004A	A001	EXPLICIT_INTRODUCTION_POINT		Payload-free singleton token introduced only at bootstrap section 1.2.2.	PASS
2	1.2.2	1.2.3	A001	N001	EXPLICIT_INTRODUCTION_POINT		Fixed conductance normalization introduced only after the first slot exists.	PASS
2	1.2.3	1.2.4	N001	C013	DIRECT_HARD_HANDOFF	E008	N001 hands its result directly to C013 through sets_first_relation_conductance.	PASS
2	1.2.4	1.2.5	C013	T001	DIRECT_HARD_HANDOFF	E009	C013 hands its result directly to T001 through requires_seed_neutrality.	PASS
2	1.2.5	1.2.6	T001	M005	EXPLICIT_INTRODUCTION_POINT		Introduced after N001; registered hard handoff(s): requires_unit_independence.	PASS
2	1.2.6	1.2.7	M005	C014	DIRECT_HARD_HANDOFF	E013	M005 hands its result directly to C014 through certifies_no_third_input.	PASS
0	1	2	CTRL004	C020	CROSS_SECTION_HARD_HANDOFF	E386,E387,E084,E086,E087,E139,E163,E164,E165,E166,E168,E170,E173,E178	The next section receives hard mathematical inputs through 14 registered DAG edge(s).	PASS
0	2	3	P011	M030	CROSS_SECTION_HARD_HANDOFF	E392,E393,E110,E113,E187,E188,E190,E191,E194,E196,E199,E203	The next section receives hard mathematical inputs through 12 registered DAG edge(s).	PASS
0	3	4	O048	C040	EXPLICIT_INTRODUCTION_POINT		Introduced after C008, C019; registered hard handoff(s): induces_ancestor_kernel, supplies_finite_ancestor_domain.	PASS
0	4	5	O049	C050	CROSS_SECTION_HARD_HANDOFF	E254,E255,E261,E262	The next section receives hard mathematical inputs through 4 registered DAG edge(s).	PASS
