reference_id	bibtex_key	reference_type	title	authors	year	venue	volume	issue	pages	publisher	doi	doi_status	doi_url	arxiv_id	arxiv_version	arxiv_doi	canonical_url	alternate_url	source_version	source_commit	accessed_date	verification_status	metadata_verified_against	peer_reviewed	primary_source	local_snapshot_sha256	license_or_access	notes	editors	edition	series	isbn
EXT-REF-DKP-001	SugiyamaSato2023DirectedKron	journal_article	Kron Reduction and Effective Resistance of Directed Graphs	Tomohiro Sugiyama; Kazuhiro Sato	2023	SIAM Journal on Matrix Analysis and Applications	44	1	270--292	Society for Industrial and Applied Mathematics	10.1137/22M1480823	ASSIGNED_VERIFIED	https://doi.org/10.1137/22M1480823	2202.12560	v2	10.48550/arXiv.2202.12560	https://doi.org/10.1137/22M1480823	https://arxiv.org/abs/2202.12560v2	published article; arXiv v2 revised 2022-10-28		2026-07-31	VERIFIED_PRIMARY_PUBLISHER_AND_ARXIV	SIAM publisher record; arXiv v2 record; arXiv v2 PDF pages 4, 5, 7	true	true	e05901199cba236bdd615a7cbee677ca0ef8ab0309511e0a8d65d6c0a0aa0264	Publisher record; open arXiv manuscript	Load-bearing directed Kron source. Journal publication date 2023-03-10. Exact CNNA locators: Definition 3.2, Lemmas 3.3 and 3.4, Theorem 3.9.				
EXT-REF-LEAN-001	LeanReference431InductiveTypes	official_manual	The Lean Language Reference: Inductive Types	The Lean 4 Development Team	2026	The Lean Language Reference			Section 4.4	Lean FRO, LLC		NOT_ASSIGNED_OFFICIAL_DOCUMENTATION					https://lean-lang.org/doc/reference/latest/The-Type-System/Inductive-Types/	https://lean-lang.org/doc/reference/latest/releases/v4.31.0/	Lean 4.31.0 project toolchain context		2026-07-31	VERIFIED_OFFICIAL_DOCUMENTATION	Official Lean Language Reference; official Lean 4.31.0 release notes	false	true		Public official documentation	Formalization guidance only: custom inductive relations, constructors, and generated recursors. Not a mathematical premise.				
EXT-REF-LEAN-003	Lean431ReleaseNotes	software_release_documentation	Lean 4.31.0 Release Notes	The Lean 4 Development Team	2026	The Lean Language Reference				Lean FRO, LLC		NOT_ASSIGNED_SOFTWARE_RELEASE					https://lean-lang.org/doc/reference/latest/releases/v4.31.0/	https://github.com/leanprover/lean4	Lean 4.31.0, released 2026-06-13		2026-07-31	VERIFIED_OFFICIAL_RELEASE_DOCUMENTATION	Official Lean 4.31.0 release notes	false	true		Public official documentation	Binds external Lean documentation context to the project toolchain. Not a mathematical premise.				
EXT-REF-MATHLIB-001	MathlibSchurComplementFabf563a	software_source	Mathlib module: Matrix.SchurComplement	Alexander Bentkamp; Eric Wieser; Jeremy Avigad; Johan Commelin	2026	mathlib4 source tree			409 source lines	Leanprover Community		NOT_ASSIGNED_SOFTWARE_SOURCE					https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Matrix/SchurComplement.html	https://github.com/leanprover-community/mathlib4/blob/fabf563a7c95a166b8d7b6efca11c8b4dc9d911f/Mathlib/LinearAlgebra/Matrix/SchurComplement.lean	mathlib v4.31.0	fabf563a7c95a166b8d7b6efca11c8b4dc9d911f	2026-08-03	VERIFIED_OFFICIAL_SOURCE_COMMIT	Pinned GitHub source commit; generated mathlib documentation	false	true		Apache-2.0 source file	Pinned primary-source audit of the algebraic Schur-complement API. Its principal block identities use invertibility assumptions and do not prove the CNNA directed reachability, response-sign, or strict distinguished-port claims.				
EXT-REF-FOUND-001	vonNeumann1923TransfiniteNumbers	journal_article	Zur Einführung der transfiniten Zahlen	John von Neumann	1923	Acta Litterarum ac Scientiarum Regiae Universitatis Hungaricae Francisco-Josephinae, Sectio Scientiarum Mathematicarum	1		199--208	Regia Universitas Hungarica Francisco-Josephina; official scan hosted by the University of Szeged		NOT_ASSIGNED_HISTORICAL_ARTICLE					https://acta.bibl.u-szeged.hu/13294/	https://acta.bibl.u-szeged.hu/13294/1/math_001_199-208.pdf	Original German article; official University of Szeged repository scan		2026-07-31	VERIFIED_PRIMARY_REPOSITORY_AND_SOURCE_PDF	Official University of Szeged repository record; primary-source PDF printed pp. 199--200	NOT_ASSERTED_HISTORICAL	true	e2b9b4fbfdaa1ba7eef1c9c5cca13aff7f1ae8a195122691b501dc1f2a50e6c5	Open university-repository scan; copyright status not inferred	Primary source for the finite von-Neumann ordinal representation. The official repository metadata provides no DOI; no DOI was located by exact-title searches as of 2026-07-31. Repository ISSN: 0324-5462. CNNA uses the source only for a structural comparison, never as an identification.				
EXT-REF-GRAPH-001	Diestel2025GraphTheory	book	Graph Theory	Reinhard Diestel	2025	Graduate Texts in Mathematics	173		1--455	Springer Berlin, Heidelberg	10.1007/978-3-662-70107-2	ASSIGNED_VERIFIED	https://doi.org/10.1007/978-3-662-70107-2				https://doi.org/10.1007/978-3-662-70107-2	https://diestel-graph-theory.com/basic.html	sixth edition		2026-07-31	VERIFIED_OFFICIAL_PUBLISHER_AND_AUTHOR_SITE	Springer Nature book record; author-hosted sixth-edition preview	false	true		Publisher record and free author preview	Standard graph-theory reference for finite rooted trees, paths, connectivity, and finite truncations.		6	Graduate Texts in Mathematics 173	978-3-662-70107-2
EXT-REF-CAT-001	MacLane1998Categories	book	Categories for the Working Mathematician	Saunders Mac Lane	1998	Graduate Texts in Mathematics	5		1--317	Springer New York	10.1007/978-1-4757-4721-8	ASSIGNED_VERIFIED	https://doi.org/10.1007/978-1-4757-4721-8				https://doi.org/10.1007/978-1-4757-4721-8		second edition		2026-07-31	VERIFIED_OFFICIAL_PUBLISHER	Springer Nature book record and table of contents	false	true		Publisher record	Standard source for initial and terminal objects and universal constructions.		2	Graduate Texts in Mathematics 5	
EXT-REF-WORDS-001	Lothaire1997CombinatoricsWords	book	Combinatorics on Words	M. Lothaire	1997	Cambridge Mathematical Library			1--260	Cambridge University Press	10.1017/CBO9780511566097	ASSIGNED_VERIFIED	https://doi.org/10.1017/CBO9780511566097				https://doi.org/10.1017/CBO9780511566097	https://www.cambridge.org/core/books/combinatorics-on-words/6FEBB4FCCB43895CCEFA8D69A0983374	second edition; print 1997, online 2009		2026-07-31	VERIFIED_OFFICIAL_PUBLISHER	Cambridge Core book record	false	true		Publisher record	Standard source for finite words, alphabets, free monoids, prefixes, and lexicographic word order.		2	Cambridge Mathematical Library	9780521599245
EXT-REF-DIGRAPH-001	BangJensenGutin2009Digraphs	book	Digraphs: Theory, Algorithms and Applications	Jørgen Bang-Jensen; Gregory Z. Gutin	2009	Springer Monographs in Mathematics			1--795	Springer London	10.1007/978-1-84800-998-1	ASSIGNED_VERIFIED	https://doi.org/10.1007/978-1-84800-998-1				https://doi.org/10.1007/978-1-84800-998-1	https://www.cs.rhul.ac.uk/books/dbook/	second edition		2026-07-31	VERIFIED_OFFICIAL_PUBLISHER_AND_AUTHOR_SITE	Springer Nature book record; author-hosted book page	false	true		Publisher record; author-hosted first edition	Standard source for directed graphs, paths, branchings, and connectivity.		2	Springer Monographs in Mathematics	
EXT-REF-SCHUR-001	Zhang2005SchurComplement	edited_book	The Schur Complement and Its Applications		2005	Numerical Methods and Algorithms	4		1--258	Springer New York	10.1007/b105056	ASSIGNED_VERIFIED	https://doi.org/10.1007/b105056				https://doi.org/10.1007/b105056		first edition		2026-07-31	VERIFIED_OFFICIAL_PUBLISHER	Springer Nature book record and chapter table of contents	false	true		Publisher record	Standard reference for Schur-complement definitions, block techniques, closure properties, and numerical applications.	Fuzhen Zhang	1	Numerical Methods and Algorithms 4	978-0-387-24271-2
EXT-REF-EXACT-001	Bareiss1968ExactElimination	journal_article	Sylvester's Identity and Multistep Integer-Preserving Gaussian Elimination	Erwin H. Bareiss	1968	Mathematics of Computation	22	103	565--578	American Mathematical Society	10.1090/S0025-5718-1968-0226829-0	ASSIGNED_VERIFIED	https://doi.org/10.1090/S0025-5718-1968-0226829-0				https://doi.org/10.1090/S0025-5718-1968-0226829-0	https://www.ams.org/mcom/1968-22-103/S0025-5718-1968-0226829-0/	published article		2026-07-31	VERIFIED_OFFICIAL_PUBLISHER	American Mathematical Society article record	true	true		Publisher record	Historical primary source for exact integer-preserving elimination; used only as methodological context, not as the CNNA algorithm.				
EXT-REF-KRON-001	DoerflerBullo2013KronReduction	journal_article	Kron Reduction of Graphs with Applications to Electrical Networks	Florian Dörfler; Francesco Bullo	2013	IEEE Transactions on Circuits and Systems I: Regular Papers	60	1	150--163	IEEE	10.1109/TCSI.2012.2215780	ASSIGNED_VERIFIED	https://doi.org/10.1109/TCSI.2012.2215780	1102.2950	v1	10.48550/arXiv.1102.2950	https://doi.org/10.1109/TCSI.2012.2215780	https://arxiv.org/abs/1102.2950v1	published article; arXiv v1		2026-07-31	VERIFIED_IEEE_AND_ARXIV	IEEE Circuits and Systems Society record; arXiv record and manuscript	true	true		Publisher record; open author/arXiv manuscript	Primary source connecting graph Laplacian Schur complements with Kron reduction, electrical equivalence, DtN maps, Gaussian elimination, and Markov-chain reduction.				
