ID	Object	Phase	Documented	Source objects	Definitions	Proof target	Proof sketch	Verification / audit	Next documentation action	Significance tier	Documentation depth requirement	Lifecycle note	Change version	Change timestamp	Change class	Change note
G00	Generator provenance	1.2.2	no	substrate, branching, level, partition, Schur data.	Canonical A-internal generator/provenance record; no pillar consumer generates its own sources.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
H00	A input handoff B->A	2.3.1	no	B-derived theorem/data, if explicitly allowed.	BToAInputProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
H01	A input handoff C->A	2.3.1	no	C-derived data.	CToAInputProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
H02	A input handoff D->A	2.3.1	no	D-derived data.	DToAInputProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
H03	A input handoff E->A	2.3.1	no	E-derived data.	EToAInputProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
O00	ExecComplex	1.2.1	partial	Rational pair / operational complex implementation.	ExecComplex as the single operational scalar basis in Part 2.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
G01	substrate: regular branching	1.2.3	no	code-b, arity, level carrier.	RegularSubstrateProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
G02	substrate: variable branching	1.2.4	no	Branching policy beta, level history.	VariableSubstrateProfile.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
G03	Level / Cutoff	1.2.5	no	Request + admissibility proof.	LevelProfile with selectedLevel/cutoff/levelSpec.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
G04	Carrier / index type	1.2.6	no	GeneratedLevelHistoryIndex or neutral Carrier.	CarrierProfile: carrier, Fintype, DecidableEq, cardinality, equiv-to-Fin.	Not yet documented in v25 proofbook. Must be filled before public-final promotion or handoff exposure.	Pending. Use checked code derivation site as primary evidence; prose is secondary and must not introduce new assumptions.	Pending. For blue objects, semantic/API correction remains required even if proof-carrying code exists.	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty. Fill during the object's natural correction/implementation phase; do not duplicate in phase-local prose.	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	See object register lifecycle columns; no supersession recorded for this object at this planning snapshot.				
