Phase	Main goal	Source objects/dependencies	Definitions/objects	Current code modules	Target modules/objects	Proof goals	Phase status	Object link policy	Object link explanation	Child object scope	Context class	Phase documentation tier	Phase documentation depth requirement	Change version	Change timestamp	Change class	Change note
0	Freeze the SM9h baseline unchanged	green SM9h zip	frozen legacy baseline	CNNA/PillarA/Arithmetic/BuildAll.lean; Smoke/* through GeneratedOperationalQuadraticDiscriminantSourceFromSM9g1Window.lean	no new definitions	reference unchanged; no refactor in the original	G	no_direct_object	baseline/audit/closeout/infrastructure phase with no registered object ownership		BaselinePhase	F3	Compact record: what exists, why it exists, owning phase, source location, and whether it may affect Lean objects. Avoid proofbook bloat.				
1	Neutral code surface umbrella; decomposition and active branch fixed before object intake and new mathematics	0; static code audit; frozen SM9h baseline	Legacy/Neutral wrapper policy; notation split; phase-semantic-name quarantine; foundation/regime/CD wrapper gates	Arithmetic/Notation.lean; all SM*/S6* modules	neutral API according to object register; no new mathematics before import surface is clean	Decomposition-closed umbrella. This is not a claim that all descendant Lean refactors are implemented; it records that the child ordering and active cursor are fixed so no white predecessor stands before the next active phase. Implementation closure is delegated to descendants 1.1-1.4.	G	scope_only	umbrella/routing phase; child phases own the registered objects	LEG0, LEG13, LEG14, LEG15, LEG20, LEG21, LEG22, LEG23, LEG24, LEG25, LEG27, LEG28, LEG29, LEG30, LEG31, LEG32, LEG33, LEG34, LEG10, LEG11, LEG12, LEG5, LEG7, LEG6; ...	LeanRefactorPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.1	Notation split and legacy/API cleanup umbrella; child gates fixed in derivation order	1; Arithmetic/Notation.lean audit; YAML single-master rule	Declaration consumption ledger; blue-object semantic correction ledger; public API contract; pruning/dead-candidate ledger; Legacy.StatusGates quarantine; CoreSymbols; Legacy phase aliases; import firewall	Arithmetic/Notation.lean; Foundation/Notation.lean; Finite/Notation.lean; Handoff/Notation.lean; generated TeX/PDF views	CNNA/PillarA/Arithmetic/Notation/CoreSymbols.lean; CNNA/PillarA/Arithmetic/Legacy/StatusGates.lean; CNNA/PillarA/Arithmetic/Legacy/PhaseAliases.lean; generated v22 PDF/TSV views	Decomposition-closed umbrella. Do not implement here; execute the child gates in order. This row is green only as a routing/order lock, not as completed Lean code movement.	G	scope_only	umbrella/routing phase; child phases own the registered objects	LEG0, LEG13, LEG14, LEG15, LEG20, LEG21, LEG22, LEG23, LEG24, LEG25, LEG27, LEG28, LEG29, LEG30, LEG31, LEG32, LEG33, LEG34, LEG10, LEG11, LEG12, LEG5, LEG7, LEG6; ...	ToolInfrastructurePhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.1.1	Pre-code governance umbrella: module manifest, reuse, consumption classification, proofbook infrastructure, blue correction, API and pruning gates	1.1; static module graph; declaration/reference inventory; blue object register; Arithmetic/Notation.lean audit; YAML single-master rule	module implementation manifest; semantic placement contract; reuse/duplication ledger; canonical generator policy; declaration consumption classes; object proof documentation infrastructure; blue-object semantic correction ledger; public API contract; pruning/dead-candidate ledger; generated-view authority rule; semantic module consolidation audit and compatibility-preserving merge/no-merge ledger	Arithmetic/Notation.lean; README.md; masters/cnna_roadmap_master.yaml; generated tables/PDF	masters/cnna_roadmap_master.yaml; generated exports; CONSUMPTION_AND_BLUE_OBJECT_CORRECTION_REPORT.md; no Lean declaration move yet	Decomposition-closed umbrella. It fixes that module/reuse governance and proofbook infrastructure precede declaration classification, blue-object public correction, API exposure, and pruning. Remaining implementation closure is delegated to child gates. V1.12 inserts Phase 1.1.1.1.5 as a pre-substantive refactor/consolidation gate before the blue-object content phase resumes.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase	LEG13, LEG14, LEG15, LEG20, LEG21, LEG22, LEG23, LEG24, LEG25, LEG27, LEG28, LEG29, LEG30, LEG31, LEG32, LEG33, LEG34, LEG10, LEG11, LEG12, LEG5, LEG7, LEG6, LEG8; ..., LEG36	DocumentationPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.1.1.1	Module/declaration consumption classification umbrella with architecture-decision locks, pre-implementation module manifest, reuse governance, and proofbook ordering	1.1.1; repo_inventory/raw_export; Arithmetic/Notation.lean; symbol reference summary; prior static code audit; existing Smoke/Test generator chain	Global no-go contract; concrete instance traversal; EXEC-2 rational-boundary policy; refactor regression protocol; Lean/mathlib version policy; phase-type scratchpads; Phase 3->4 consumer contract; declaration consumption ledger; blue-object correction ledger; public API contract; pruning ledger.; semantic module consolidation audit and compatibility-preserving merge/no-merge ledger	repo_snapshot/**/*.lean; repo_inventory/raw_export/*.json; generated_exports/*.tsv	masters/cnna_roadmap_master.yaml; generated module-manifest/consumption records; MODULE_MANIFEST_AND_REUSE_GOVERNANCE_REPORT.md; no Lean declaration move yet	Decomposition-closed umbrella. Architecture decision locks 1.1.1.1.0-1.1.1.1.0.14 must be green before the active module-manifest gate. This is not Lean implementation closure. V1.12 inserts Phase 1.1.1.1.5 as a pre-substantive refactor/consolidation gate before the blue-object content phase resumes.	G	scope_only	umbrella/routing phase; child phases own the registered objects	LEG13, LEG14, LEG15, LEG20, LEG21, LEG22, LEG23, LEG24, LEG25, LEG27, LEG28, LEG29, LEG30, LEG31, LEG32, LEG33, LEG34, LEG10, LEG11, LEG12, LEG5, LEG36	DocumentationPhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.1.1.1.0	Global no-go guardrail contract and inheritance lock	1.1.1.1; operational-path constraints from prior Lean implementation history; legacy quarantine requirements; YAML single-master rule	GlobalNoGoGuardrailContract; global_no_go_guardrails top-level YAML section; scratchpad inheritance field; workflow rule that local no-go lists are addenda only	masters/cnna_roadmap_master.yaml; scripts/generate_tables.py; all implementation_scratchpad records	LEG13 Global no-go guardrail contract; generated global_no_go_guardrails table; scratchpad global_no_go_inheritance rows	Planning-infrastructure gate. Promote the operational no-go list from phase-local scratchpad content to a global invariant that applies to every phase and every future code-edit prompt. Close this before module-manifest implementation starts so no child phase can silently weaken the rules.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase	LEG14, LEG15, LEG20, LEG21, LEG22, LEG23, LEG24, LEG25, LEG27, LEG28, LEG29, LEG30, LEG31, LEG32, LEG33, LEG34	LeanGovernancePhase	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.				
1.1.1.1.0.1	Concrete computable instance traversal and mathlib-complication scratchpad contract	1.1.1.1.0; global operational-path no-go rules; prior SM/AR implementation history; mathlib computability complications observed around polynomial/matrix/noncomputable APIs	ConcreteComputableInstanceTraversal; ComputablePathNonSkeletonContract; MathlibComplicationLog; NoncomputableBoundaryAudit; per-phase scratchpad fields for concrete instance path, expected executability witness, mathlib complication status, and mitigation/refactor layer	masters/cnna_roadmap_master.yaml; scripts/generate_tables.py; implementation_scratchpad records; no Lean code moved	LEG14 Concrete computable instance traversal contract; LEG15 Mathlib complication and noncomputable-boundary log; generated scratchpad fields; workflow-policy entry	Planning-infrastructure gate. Close before any implementation starts: the operational computable path may not remain a formal skeleton. Each implementation phase must name at least one concrete instance or explain why the phase is infrastructure-only, record how that instance traverses the path, and log mathlib/noncomputable complications with their isolation or refactor layer.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F3	Compact record: what exists, why it exists, owning phase, source location, and whether it may affect Lean objects. Avoid proofbook bloat.				
1.1.1.1.0.2	ExecComplex rational-boundary and mirror-only algebraic irrationality contract (EXEC-2)	1.1.1.1.0.1; O00/O01/O06; L00/L02/L04; M05; SP0	EXEC-2 policy: operational ExecComplex remains rational Q x Q; algebraic irrationalities live in mirror/non-operational layers; only proved rational/integer invariants may return operationally	Planning master; future ExecComplex arithmetic and geometry/modular modules	LEG20; format decision EXEC-2; updated ExecComplex/computable-path notes for O06/L00/L02/L04/M05/SP0	Close the architecture decision before any Phase 7+ algebraic-geometry object is prepared. This does not prove CM geometry; it prevents implicit leakage of sqrt(D), tau, algebraic eigenvalues, or j-values into the operational Q x Q path.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.3	Refactor regression protocol and incremental migration policy	1.1.1.1.0.2; Notation.lean audit; global build rule	wrapper-first migration; no-red intermediate policy; declarations_migrated_count/import_graph_delta/consumer_breakage_audit metrics	Arithmetic/Notation.lean; future CoreSymbols/Legacy modules; BuildAll and import consumers	LEG21; scratchpad refactor fields; regression protocol workflow	Before the Notation split starts, choose a safe incremental mode: add neutral wrappers next to legacy, migrate consumers in bounded batches, and require local full-build evidence after each submitted code package.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
1.1.1.1.0.4	Lean/mathlib version baseline and upgrade-gate policy	1.1.1.1.0.3; Lean 4.28.0/mathlib4 baseline; future number-theory imports	version-freeze baseline; phase-boundary upgrade gates; mirror/non-operational isolation for noncomputable mathlib pressure	No code change; future imports in number theory, ring theory, spectral and modular phases	LEG22; scratchpad lean_mathlib_version_policy field; workflow policy for upgrades	Record that implementation uses the frozen baseline unless an explicit phase-boundary upgrade gate is opened. Any upgrade is a separate review/build event, not an implicit import adjustment inside a math phase.	G	direct	phase owns direct registered object(s) through object.Phase == phase.Phase		LeanGovernancePhase	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.				
