id	label	paper_section	supplement_section	status	publication	paper_tex	python_module	python_test	lean_file	lean_module	supplement_dir	registry_node	canonical_owner	node_role	proof_owner
I001	Branching parameter b	1.1.1	S1.1.1	FREE_INPUT	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/01_I001__branching_parameter_b.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s01_i001__branching_parameter_b.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s01_i001__branching_parameter_b.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S01_I001_BranchingParameterB.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S01_PrimitiveInputsGrammarAndEventOrder.S01_I001_BranchingParameterB	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/01_I001__branching_parameter_b/	derivation/registry/nodes/I001.json	I001	INPUT	
I002	Finite approximant depth L	1.1.2	S1.1.2	FREE_INPUT	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/02_I002__finite_approximant_depth_l.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s02_i002__finite_approximant_depth_l.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s02_i002__finite_approximant_depth_l.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S02_I002_FiniteApproximantDepthL.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S01_PrimitiveInputsGrammarAndEventOrder.S02_I002_FiniteApproximantDepthL	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/02_I002__finite_approximant_depth_l/	derivation/registry/nodes/I002.json	I002	INPUT	
C001	Empty carrier ∅	1.1.3	S1.1.3	CORE_DEFINED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/03_C001__empty_carrier_empty.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s03_c001__empty_carrier_empty.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s03_c001__empty_carrier_empty.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S03_C001_EmptyCarrierEmpty.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S01_PrimitiveInputsGrammarAndEventOrder.S03_C001_EmptyCarrierEmpty	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/03_C001__empty_carrier_empty/	derivation/registry/nodes/C001.json	C001	CONSTRUCTION	
C002	Root genesis r	1.1.4	S1.1.4	CORE_DEFINED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/04_C002__root_genesis_r.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s04_c002__root_genesis_r.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s04_c002__root_genesis_r.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S04_C002_RootGenesisR.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S01_PrimitiveInputsGrammarAndEventOrder.S04_C002_RootGenesisR	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/04_C002__root_genesis_r/	derivation/registry/nodes/C002.json	C002	CONSTRUCTION	
C003	Finite b-ary provenance grammar	1.1.5	S1.1.5	CORE_DEFINED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/05_C003__finite_b_ary_provenance_grammar.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s05_c003__finite_b_ary_provenance_grammar.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s05_c003__finite_b_ary_provenance_grammar.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S05_C003_FiniteBAryProvenanceGrammar.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S01_PrimitiveInputsGrammarAndEventOrder.S05_C003_FiniteBAryProvenanceGrammar	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/05_C003__finite_b_ary_provenance_grammar/	derivation/registry/nodes/C003.json	C003	CONSTRUCTION	
C018	Canonical BFS/lexicographic provenance birth schedule	1.1.6	S1.1.6	FIXED_ACTIVE_RULE	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/06_C018__canonical_bfs_lexicographic_provenance_birth_schedule.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/s06_c018__canonical_bfs_lexicographic_provenance_birth_schedule.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s01_primitive_inputs_grammar_and_event_order/test_s06_c018__canonical_bfs_lexicographic_provenance_birth_schedule.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S06_C018_CanonicalBfsLexicographicProvenanceBirthSchedule.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S01_PrimitiveInputsGrammarAndEventOrder.S06_C018_CanonicalBfsLexicographicProvenanceBirthSchedule	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/06_C018__canonical_bfs_lexicographic_provenance_birth_schedule/	derivation/registry/nodes/C018.json	C018	PROOF_OWNER	
P002	Canonical schedule strict-total-order closure	1.1.6.1	S1.1.6.1	KERNEL_VERIFIED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/SECTION.tex	NOT_APPLICABLE_STATIC_PROOF	NOT_APPLICABLE_STATIC_PROOF	derivation/code/lean/proofs/src/CNNAProofs/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S01_PrimitiveInputsGrammarAndEventOrder/S06_C018_CanonicalBfsLexicographicProvenanceBirthSchedule/Proofs/S01_P002_CanonicalScheduleStrictTotalOrderClosure.lean	CNNAProofs.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S01_PrimitiveInputsGrammarAndEventOrder.S06_C018_CanonicalBfsLexicographicProvenanceBirthSchedule.Proofs.S01_P002_CanonicalScheduleStrictTotalOrderClosure	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/01_primitive_inputs_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure/	derivation/registry/nodes/P002.json	C018	PROOF	C018
C004A	First provenance slot s₁	1.2.1	S1.2.1	CORE_DEFINED	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/01_C004A__first_provenance_slot_s1.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s01_c004a__first_provenance_slot_s1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s01_c004a__first_provenance_slot_s1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S01_C004A_FirstProvenanceSlotS1.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S02_BootstrapOfTheFirstRelation.S01_C004A_FirstProvenanceSlotS1	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/01_C004A__first_provenance_slot_s1/	derivation/registry/nodes/C004A.json	C004A	CONSTRUCTION	
A001	Genesis seed ★	1.2.2	S1.2.2	AUXILIARY_SINGLETON	MAIN_MENTION	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/02_A001__genesis_seed_star.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s02_a001__genesis_seed_star.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s02_a001__genesis_seed_star.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S02_A001_GenesisSeedStar.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S02_BootstrapOfTheFirstRelation.S02_A001_GenesisSeedStar	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/02_A001__genesis_seed_star/	derivation/registry/nodes/A001.json	A001	CONSTRUCTION	
N001	Initial conductance normalization C★=1	1.2.3	S1.2.3	FIXED_NORMALIZATION	MAIN_FULL	derivation/paper/main/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/03_N001__initial_conductance_normalization_c_star_1.tex	derivation/code/python/src/cnna/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/s03_n001__initial_conductance_normalization_c_star_1.py	derivation/code/python/tests/derivation/s01_primitive_response_coupled_finite_provenance/s02_bootstrap_of_the_first_relation/test_s03_n001__initial_conductance_normalization_c_star_1.py	derivation/code/lean/core/src/CNNA/Derivation/S01_PrimitiveResponseCoupledFiniteProvenance/S02_BootstrapOfTheFirstRelation/S03_N001_InitialConductanceNormalizationCStar1.lean	CNNA.Derivation.S01_PrimitiveResponseCoupledFiniteProvenance.S02_BootstrapOfTheFirstRelation.S03_N001_InitialConductanceNormalizationCStar1	derivation/supplement/sections/01_primitive_response_coupled_finite_provenance/02_bootstrap_of_the_first_relation/03_N001__initial_conductance_normalization_c_star_1/	derivation/registry/nodes/N001.json	N001	CONSTRUCTION	
