source_file	source_module	line	kind	surface	search_key	classification	disposition	consumer_hit_count	consumer_module_count	non_notation_consumer_hit_count	consumer_modules	non_notation_consumer_modules	line_text	review_phase	review_object	review_decision	leg44_action	review_safety_class	review_rationale
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	91	abbrev	ARSourceOf	ARSourceOf	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev ARSourceOf := ArithmeticSourceOf	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	92	abbrev	ARSourceKind	ARSourceKind	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev ARSourceKind := ArithmeticSourceKind	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	93	abbrev	ARStrandKind	ARStrandKind	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev ARStrandKind := ArithmeticStrandKind  namespace StrengtheningAR1 	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	97	abbrev	ARReferenceSourceOf	ARReferenceSourceOf	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev ARReferenceSourceOf := ReferenceArithmeticSourceOf	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	98	abbrev	ARVariationSourceOf	ARVariationSourceOf	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev ARVariationSourceOf := VariationArithmeticSourceOf  end StrengtheningAR1  namespace StrengtheningAR2a 	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	104	abbrev	AR2aFullCutSpecNegativeAuditOf	AR2aFullCutSpecNegativeAuditOf	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev AR2aFullCutSpecNegativeAuditOf {Cell : Nat → Type u} [SubstrateClass Cell] (T : TruncatedFamily Cell) := FullBoundaryAudit.FullCutSpecNegativeAudit (Cell := Cell) T 	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	109	abbrev	AR2aReferenceFullCutSpecNegativeAuditOf	AR2aReferenceFullCutSpecNegativeAuditOf	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev AR2aReferenceFullCutSpecNegativeAuditOf (b : Nat) (p : ConcretePolicyOf) := ReferenceFullCutSpecNegativeAudit b p 	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	113	abbrev	AR2aReferenceFullOneByOneAuditOf	AR2aReferenceFullOneByOneAuditOf	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev AR2aReferenceFullOneByOneAuditOf (b : Nat) (p : ConcretePolicyOf) := ReferenceFullOneByOneAudit b p  end StrengtheningAR2a  namespace StrengtheningAR2b0 	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	121	abbrev	AR2b0ReferenceCutSpecNoGoOf	AR2b0ReferenceCutSpecNoGoOf	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev AR2b0ReferenceCutSpecNoGoOf := ReferenceCutSpecNoGoOf	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	122	abbrev	AR2b0VariationCutSpecNoGoOf	AR2b0VariationCutSpecNoGoOf	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev AR2b0VariationCutSpecNoGoOf := VariationCutSpecNoGoOf	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
repo_snapshot/CNNA/PillarA/Arithmetic/Notation.lean	CNNA.PillarA.Arithmetic.Notation	123	abbrev	AR2b0ExistingIdealThreadSubstrateNoGoOf	AR2b0ExistingIdealThreadSubstrateNoGoOf	legacy_phase_alias_candidate	quarantine_under_legacy_status_or_remove_after_facade_plan	0	0	0			abbrev AR2b0ExistingIdealThreadSubstrateNoGoOf := ExistingIdealThreadSubstrateNoGoOf  end StrengtheningAR2b0  namespace StrengtheningAR2bD 	1.1.1.1.5.1.1	LEG43	APPROVE_LEG44_STANDALONE_REMOVAL_CANDIDATE	candidate_delete_or_retire_standalone_in_LEG44	no-consumer-evidence-internal-or-external	Arithmetic/Notation phase-domain or legacy surface has no direct consumer evidence anywhere in the source snapshot; real owner object remains in the imported source module.
