ID	Object	Layer	Canonical CNNA definition	Natural provenance	Computed from	ExecComplex/computable path	Object status	Code status	Current code modules / derivation site	Neutral target location / canonical API	Pillar-A access	Handoff rights	May be consumed by	Priority	Phase	Proof documentation status	Proof dossier	Context class	Significance tier	Documentation depth requirement	Object lifecycle state	Lifecycle predecessor object(s)	Lifecycle successor/current object	Lifecycle note	Current dossier pointer	Change version	Change timestamp	Change class	Change note
G00	Generator provenance	Foundation	Canonical A-internal generator/provenance record; no pillar consumer generates its own sources.	Generated substrate + proof-carrying Schur/Exec chain.	substrate, branching, level, partition, Schur data.	ExecComplex arises downstream; provenance itself is structural.	G	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Smoke/GeneratedSource.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedMainPath.lean; CNNA/PillarA/Arithmetic/BoundarySource/GeneratedSubstrateRoute.lean	CNNA/PillarA/Foundation/GeneratorProvenance.lean	A-internal readable only along import order; no self-handoff use.	Do not export directly; only derived Profile in A->*.	All A-internal Profile; B/C/D/E only through outputs.	high	1.2.2	no	proof:G00	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G00				
H00	A input handoff B->A	Handoff policy	BToAInputProfile.	Declared handoff input only.	B-derived theorem/data, if explicitly allowed.	May carry non-Exec analytic data; must be typed.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Inputs/B_to_A.lean	CNNA/PillarA/Handoff/AinputhandoffBA.lean	A may consume only this input, never A->B.	B->A input.	A post-emergence rules.	medium	2.3.1	no	proof:H00	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:H00				
H01	A input handoff C->A	Handoff policy	CToAInputProfile.	Declared handoff input only.	C-derived data.	Typed; Exec mirror if numeric.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Inputs/C_to_A.lean	CNNA/PillarA/Handoff/AinputhandoffCA.lean	A may consume only this input, never A->C.	C->A input.	A post-emergence geometry effects.	medium	2.3.1	no	proof:H01	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:H01				
H02	A input handoff D->A	Handoff policy	DToAInputProfile.	Declared handoff input only.	D-derived data.	Typed; may include time/dynamics.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Inputs/D_to_A.lean	CNNA/PillarA/Handoff/AinputhandoffDA.lean	A may consume only this input, never A->D.	D->A input.	A post-emergence dynamics effects.	medium	2.3.1	no	proof:H02	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:H02				
H03	A input handoff E->A	Handoff policy	EToAInputProfile.	Declared handoff input only.	E-derived data.	Typed; not default.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Handoff/Inputs/E_to_A.lean	CNNA/PillarA/Handoff/AinputhandoffEA.lean	A may consume only this input, never A->E.	E->A input.	A post-emergence high-level effects.	low	2.3.1	no	proof:H03	LeanHandoffContractObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:H03				
O00	ExecComplex	Operational scalar	ExecComplex as rational-pair operational scalar floor QxQ; not a complete Complex layer. It owns executable rational complex arithmetic only.	Already in code.	Rational pair / operational complex implementation.	Direct QxQ executable path. Algebraic irrational coordinates require O09 or mirror-only treatment; analytic Complex is reached only through ExecComplexBridge.	W	canonically derived-only; consumable as computable scalar path	CNNA/PillarA/Foundation/ExecComplex.lean; CNNA/PillarA/Foundation/ExecComplexBridge.lean; CNNA/PillarA/Foundation/ExecComplexLemmas.lean	CNNA/PillarA/Foundation/ExecComplex.lean	Allowed A-internally and in output Profile.	May appear in A->B/C/D/E as operational mirror when semantically released.	All operational Profile.	critical	1.2.1	partial	proof:O00	LeanSourceObject	F1	Extended dossier: definition, source chain, main lemmas/proof obligations, dependency risks, and downstream consumers. Enough detail for later implementation without re-reading chat history.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:O00				
G01	substrate: regular branching	Foundation	RegularSubstrateProfile.	GeneratedBranchFamily / RegularCell-path.	code-b, arity, level carrier.	No scalar; generates Exec-matrix indices.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Foundation/ConcreteSubstrate.lean; CNNA/PillarA/Arithmetic/BoundarySource/BranchAddressSubstrate.lean; CNNA/PillarA/Arithmetic/BoundarySource/BoundaryStatesubstrate.lean	CNNA/PillarA/Foundation/Substrate/Regular.lean	A-internal; may be parameterized request-side.	A->B only indirectly as carrier/operator; A->C later as geometry source.	arithmetic, geometry, handoff bridges.	high	1.2.3	no	proof:G01	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G01				
G02	substrate: variable branching	Foundation	VariableSubstrateProfile.	LevelVariableCell/Policy-path.	Branching policy beta, level history.	No scalar; Exec-Matrix downstream.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Foundation/LevelVariableSubstrate.lean; CNNA/PillarA/Foundation/WeightPolicy.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedDegreeFormulaAuditSM3db2eR0.lean	CNNA/PillarA/Foundation/Substrate/Variable.lean	A-internal; separated from regular but with common interface.	A->B indirectly if operator profile is derived.	arithmetic-Scan, regime tests.	medium	1.2.4	no	proof:G02	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G02				
G03	Level / Cutoff	Finite carrier	LevelProfile with selectedLevel/cutoff/levelSpec.	Generator request or existing Step1/Handoff core.	Request + admissibility proof.	Nat; optional ExecComplex-mirror for numeric reports.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/BoundarySource/LevelHistoryIndex.lean; CNNA/PillarA/Arithmetic/BoundarySource/LevelStepWitness.lean; CNNA/PillarA/Handoff/Core/Step1MathData.lean	CNNA/PillarA/Foundation/LevelProfile.lean	A-internal; must be fixed before carrier and matrix.	A->B as selected level only if the consumer needs it; A must not consume its own output.	Carrier, Matrix, Handoff.	high	1.2.5	no	proof:G03	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G03				
G04	Carrier / index type	Finite carrier	CarrierProfile: carrier, Fintype, DecidableEq, cardinality, equiv-to-Fin.	LevelProfile + generated level-history.	GeneratedLevelHistoryIndex or neutral Carrier.	Not Skalar; Matrix via Carrier in ExecComplex.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/BoundarySource/RecursiveLevelHistoryCarrier.lean; CNNA/PillarA/Arithmetic/BoundarySource/LevelHistoryIndex.lean; CNNA/PillarA/Arithmetic/Smoke/GeneratedLevelStepWitnessSM6.lean	CNNA/PillarA/Foundation/CarrierProfile.lean	A-internal; no free reindexing.	A->B as Omega/boundary carrier; A->C as finite-geometry carrier.	Matrix, operator algebra, Handoff.	high	1.2.6	no	proof:G04	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G04				
G05	Boundary / interface / interior partition	Schur geometry	PartitionProfile.	GeneratedBoundaryInteriorPartition / sources near SM3a/SM3b.	Carrier + cut/BoundarySpec.	indicator values operational as Bool/Finset; matrix entries Exec.	Y	present as source/seed; derivation still to be canonicalized	CNNA/PillarA/Arithmetic/Smoke/GeneratedBoundaryInteriorPartition.lean; CNNA/PillarA/Finite/CutSpec.lean; CNNA/PillarA/Finite/BoundaryPorts.lean	CNNA/PillarA/Schur/PartitionProfile.lean	A-internal; basis for Schur/DtN.	A->B only boundary/interface abstracted; dark complement not directly to B.	Schur, DtN, AQFT bright consumer.	high	1.3.1	no	proof:G05	LeanSourceObject	F0	Full dossier required before promotion or consumption: definition, natural provenance, exact source objects, proof target, proof sketch, verification/audit, consumer rights, and semantic uncertainty.	current	none	none	Current register row; no supersession, rename or retirement recorded at this planning snapshot.	proof:G05				
