concept_id	concept_title	node_id	paper_section	node_role	integration_status	specialization	non_claim
CNNA-00	ComplemeNt Net Architecture throughline	C001	1.1.3	Null baseline: no realized node or relation is hidden before complement-sensitive growth begins.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C002	1.1.4	First realization: root genesis creates the first born carrier; the continuation complement is introduced only by later grammar.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C003	1.1.5	Complement-address grammar: realized prefixes and admissible but unrealized continuations inhabit one bounded b-ary provenance carrier.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C018	1.1.6	Complement-resolution order: the schedule canonically orders which open continuation can become realized next.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C004A	1.2.1	First selected complement slot: the least unrealized child position is selected without yet creating a node or relation.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C013	1.2.4	First nontrivial complement net: the selected open slot becomes a newborn linked to the root by the first directed weighted relation.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C014	1.2.7	First response-capable complement net: the first weighted two-node provenance network is packaged as the recurrent base state.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C005	1.3.1	Current realized net: stores the born carrier and response-bearing state against the remaining unresolved continuation.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C004	1.3.2	Next complement resolution: selects the extensional least open provenance slot of the current born prefix.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	M001	1.3.4	Explicit cut architecture: one net is partitioned into retained boundary roles and a complementary interior.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C006	1.3.3	Complement elimination: the interior is eliminated by an exact unique solve while its effect remains in the boundary response.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	P001	1.3.9.1	Closure of complement elimination: proves well-posedness, response independence, directed structure and strict distinguished positivity.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C007	1.3.6	Effective complement response: exposes the directed boundary response produced after interior elimination.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	M003	1.3.9	Response evaluation: extracts the positive steering value through which the current complement context controls further growth.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	M004	1.3.10	Complement-coupled birth instruction: converts the present effective response into the next provenance relation.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C008	1.4.1	Architecture update: writes the birth record and updates the live net without erasing their distinction.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
CNNA-00	ComplemeNt Net Architecture throughline	C016	1.4.2	Immutable complement history: preserves birth-time records as the fixed provenance channel.	PROJECT_WIDE_ARCHITECTURAL_THROUGHLINK	CNNA_IDENTITY	Architectural interpretation only; no promotion beyond the node implementation or evidence status.
