Phase	Name	Primary purpose	Tool mode	Load-control rule	Theory semantics	Generated artifacts	Lean-data effect
1.1.1.5.1	Tool-mode split and lean-focus contract	Define audit-full, phase-check, and lean-focus modes so routine Lean work consumes compact implementation packets instead of full PDF/table scans.	lean-focus foundation	Full PDF regeneration is not part of ordinary Lean coding; use compact packets unless a governance or audit phase explicitly requests audit-full.	No theory classification yet; this phase only fixes the mode boundary.	workflow-policy row; scaling-plan TSV/TeX; no Lean code	none
1.1.1.5.2	Implementation Packet Generator	Generate the phase-local packet with goal, source objects, producer/consumer modules, red blockers, yellow risks, forbidden shortcuts, expected artifacts, and comparison-only warnings.	lean-focus	Packet should fit on a small number of pages/rows and link to full TSV/JSON exports rather than embedding full inventories.	Consumes module-theory/end-theory ledgers once available; before then marks theory context as unknown-not-input.	active-phase implementation packet TSV/JSON/TeX	none unless the user explicitly edits Lean code afterwards
1.1.1.5.3	Incremental Lean inventory and file-hash cache	Avoid rescanning/rendering everything by caching file hashes, module declarations, import edges, and symbol-reference candidates between Lean-data updates.	phase-check performance layer	Only changed Lean files and dependent generated summaries are refreshed; full inventory rebuild remains available as audit-full.	May infer rough local background categories from imports, but must mark them heuristic until semantically confirmed.	file-hash cache; declaration cache; inventory-delta TSV	changes only when Lean files or frozen inventory data change
1.1.1.5.4	Module theory context ledger	Track local established mathematical background per module as formal language, proof method, library/API context, implementation substrate, or comparison lemma context.	phase-check plus lean-focus lookup	Start with active/relevant modules only; do not manually annotate all modules at once. Python proposes rows from imports; semantic closure is explicit and phase-bound.	Local established theory is allowed formalization context, never ontic CNNA generator. Examples: Matrix, Finset, Polynomial, graph/linear algebra, Schur-style algebraic methods.	module-theory-context ledger TSV; active-module slice	none for ledger-only updates
1.1.1.5.5	End-theory comparison ledger	Track large established target theories as comparison-only horizons: AQFT/QFT, OQS, modular forms, CM, elliptic functions/curves, L-functions, Moonshine, renormalization, operator algebras, spectral geometry, etc.	phase-check comparison layer	Only record end theories that constrain current or near-future phases; do not build encyclopedia entries.	End theories are target structures, consistency checks, terminology alignment, or obstruction/comparison mirrors; forbidden as CNNA producers.	end-theory-comparison ledger TSV; comparison-boundary table	none for ledger-only updates
1.1.1.5.6	Active object graph slices	Render small producer-consumer/provenance neighborhoods around the active phase and active CNNA objects rather than dumping the full object/declaration graph into the PDF.	lean-focus visualization	Depth 1-2 graph slices only in PDF; full graph exported as DOT/JSON for optional audit.	Graph edges distinguish internal provenance, local formalization context, and external comparison-only references.	active-object-neighborhood DOT/SVG/PDF; graph-slice TSV/JSON	none unless generated from changed Lean inventory
1.1.1.5.7	Red-blocker addressing-phase generator	When the pre-implementation thought experiment marks a future phase red, propose an upstream addressing phase at the earliest natural source layer before the blocked phase becomes active.	phase-check governance layer	Generate concise phase proposals only for red blockers; yellow risks remain notes in the implementation packet.	If the blocker is an imported end-theory assumption, route to internal derivation/comparison-boundary phase rather than patching the consumer.	red-blocker phase-proposal TSV; accepted phase rows only after approval	none until an accepted phase later changes Lean code
1.1.1.5.8	Database-ready YAML schema and review-link normalization	Normalize IDs, phase/object/proof-dossier references, review statuses, and theory-reference markers so the YAML master can later be exported to relational or graph database tables without semantic loss.	phase-check plus documentation infrastructure	Do not manually annotate the whole repository at once. Start with active/near-active rows and generated consistency checks; keep full database realization as a later export task.	Database fields are review metadata. They may mark local background theory or end-theory comparison context, but they do not create CNNA generators.	database-readiness checklist TSV; normalized ID/reference audit; review-status export slice	none for schema/metadata-only changes
1.1.1.5.9	Database export, round-trip, and interactive documentation scaffold	Prepare future YAML-to-DB exports, database-to-generated-view round-trip checks, interactive object/phase exploration, online documentation, and discipline-separated expert-review views.	audit-full optional plus generated export layer	Keep export scripts reproducible and optional. Lean implementation packets must remain compact and must not depend on full database exploration.	Interactive views are secondary/generated. They expose review obligations and comparison horizons but never certify semantic truth.	future SQL/SQLite/graph export scripts; schema diagrams; interactive-view JSON; round-trip consistency report	none unless future scripts read changed Lean inventory data
1.1.1.5.10	Context documentation slices	Reduce documentation overhead by producing topic/phase-specific packets that preserve full section topology while filtering rows to the requested context.	Python context generator over YAML and generated TSV exports; optional pdflatex compilation.	Use for targeted requests and phase closeouts; reserve full PDF regeneration for tool releases, global audits, or explicit full-document requests.	Generated-secondary navigation/review view only. Absence from a slice is not proof of semantic irrelevance; expert review and blue/reference audit obligations remain.	context_docs/<slug>/context_filter_manifest.json; context_section_summary.tsv; <slug>_context_documentation.tex/pdf; compile log.	None; no Lean source mutation and no Lean build claim.
1.1.1.5.11	Stats front section and interface-metaphor documentation surface	Keep project-scale facts, repository inventory, graph views, license notices and the tool-interface Leitmetapher visible without creating another truth layer.	Python-generated documentation/front matter	Do not expand the opening section into prose-heavy explanation; keep it as compact facts, concise metaphor, licensing note and existing inventory/graph inclusion.	Generated-secondary review architecture only. The metaphor is operational, not ontic or theorematic; Lean-primary and expert-review rules remain dominant.	project_stats.generated.tsv; tables/project_stats_table.tex; tables/stats.tex; updated V1.09 full PDF.	none; no Lean source or Lean-data timestamp change.
1.1.1.5.12	Root artifact retention and disposable documentation outputs	Keep the project root clean and source-oriented while preserving on-demand generation of full PDFs/TeX and archival access to historical reports.	Python full-document generator plus root cleanup script.	Do not package regenerated full PDFs/TeX by default. Generate them only for review/export tasks, then keep them in generated_docs/full/ or delete them before release packaging.	Generated documentation outputs remain generated-secondary. Archival Markdown reports are trace records, not authoritative theory sources.	generated_docs/full/<version>.tex/pdf/log when explicitly generated; archive/reports/*.md for historical reports; generated_exports/root_artifact_cleanup.generated.json when cleanup runs.	none; no Lean source mutation and no Lean build claim.
1.1.1.5.13	Root license and PDF credit surface	Keep license, editor/assistant credits and minimum tested ChatGPT workflow requirements visible without creating duplicate documentation entry points.	Root README/LICENSE plus generator metadata rendering for full/context PDFs.	Do not duplicate README files in subdirectories; keep license and credit text compact and generated-secondary.	Licensing/credits are governance metadata only. They do not affect CNNA derivations, Lean truth status, or expert-review obligations.	Updated license_notice.generated.tsv; tables/license_notice.tex; generated full/context PDFs with author credits when explicitly compiled.	none; no Lean source mutation and no Lean build claim.
