paper_section	level	section_kind	title	first_node_number	first_node_id	last_node_number	last_node_id	node_count	derivation_order_start	derivation_order_end	main_directory	supplement_directory	generated_from
1	0	ROOT_SECTION	Primitive provenance and response-coupled growth	001	I001	045	CTRL004	45	1	45	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth	derivation/registry/dag/NODES.tsv
1.1	1	SECTION_GROUP	Primitive inputs, provenance grammar and event order	001	I001	007	P002	7	1	7	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order	derivation/registry/dag/NODES.tsv
1.1.1	2	NODE_SECTION	Branching parameter b	001	I001	001	I001	1	1	1	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/001_I001__branching_parameter_b	derivation/registry/dag/NODES.tsv
1.1.2	2	NODE_SECTION	Finite approximant depth L	002	I002	002	I002	1	2	2	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/002_I002__finite_approximant_depth_l	derivation/registry/dag/NODES.tsv
1.1.3	2	NODE_SECTION	Empty carrier ∅	003	C001	003	C001	1	3	3	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/003_C001__empty_carrier	derivation/registry/dag/NODES.tsv
1.1.4	2	NODE_SECTION	Root genesis r	004	C002	004	C002	1	4	4	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/004_C002__root_genesis_r	derivation/registry/dag/NODES.tsv
1.1.5	2	NODE_SECTION	Finite b-ary provenance grammar	005	C003	005	C003	1	5	5	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/005_C003__finite_b_ary_provenance_grammar	derivation/registry/dag/NODES.tsv
1.1.6	2	NODE_SECTION	Canonical BFS/lexicographic provenance birth schedule	006	C018	007	P002	2	6	7	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule	derivation/registry/dag/NODES.tsv
1.1.6.1	3	PROOF_NODE_SECTION	Canonical schedule strict-total-order closure	007	P002	007	P002	1	7	7	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/01_primitive_inputs_provenance_grammar_and_event_order/006_C018__canonical_bfs_lexicographic_provenance_birth_schedule/007_P002__canonical_schedule_strict_total_order_closure	derivation/registry/dag/NODES.tsv
1.2	1	SECTION_GROUP	Bootstrap of the first provenance relation	008	C004A	014	C014	7	8	14	derivation/paper/main/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation	derivation/supplement/sections/01_primitive_provenance_and_response_coupled_growth/02_bootstrap_of_the_first_provenance_relation	derivation/registry/dag/NODES.tsv
