id	node_semantics	documentation	freeze_state	lean_status	python_status
A001	CLOSED_AUXILIARY_SINGLETON	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_EXACT_LOCAL_BUILD	PASS_REPRODUCED
C001	CLOSED_CORE_DEFINED	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_REPRODUCED
C002	CLOSED_CORE_DEFINED	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_REPRODUCED
C003	CLOSED_CORE_DEFINED	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_REPRODUCED
C004	CLOSED_NEXT_OPEN_PROVENANCE_SLOT	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_REPRODUCED
C004A	CLOSED_CORE_DEFINED	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_REPRODUCED
C005	CLOSED_RESPONSE_CAPABLE_STATE_SCHEMA	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_EXACT_LOCAL_BUILD	PASS_REPRODUCED
C006	CLOSED_PATH_B_EXACT_FRACTION_VALUE_SCHUR_DTN_PRIMITIVE	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_INDEPENDENTLY_VERIFIED
C007	CLOSED_PATH_B_EXACT_STATE_DIRECTED_PREBIRTH_RESPONSE	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_INDEPENDENTLY_VERIFIED
C013	CLOSED_BOOTSTRAP_CONSTRUCTION	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_EXACT_LOCAL_BUILD	PASS_REPRODUCED
C014	CLOSED_BOOTSTRAP_STATE	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_EXACT_LOCAL_BUILD	PASS_REPRODUCED
C015	CLOSED_ACTIVE_PATH_IDENTITY_CONVENTION_NO_MODE_OBJECT	COMPLETE_V2	FROZEN_VERIFIED	PASS_USER_LOCAL_PREFIX_FREE_ROOT_BUILD	PASS_INDEPENDENTLY_VERIFIED
C018	CLOSED_FIXED_ACTIVE_RULE	COMPLETE_V2	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_REPRODUCED
I001	CLOSED_AS_DECLARED_FREE_INPUT	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_REPRODUCED
I002	CLOSED_AS_DECLARED_FREE_INPUT	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_REPRODUCED
M001	CLOSED_CANONICAL_BIRTH_LOCAL_MEASUREMENT_CUT	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_INDEPENDENTLY_VERIFIED
M002	CLOSED_PATH_B_EXACT_BIRTH_CUT_INTERIOR_DOMAIN	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_INDEPENDENTLY_VERIFIED	PASS_INDEPENDENTLY_VERIFIED
M003	CLOSED_CANONICAL_M003_CLOSURE	COMPLETE_V2	FROZEN_VERIFIED	4_DECLARATIONS_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	PASS_ASSISTANT_EXECUTED
M004	CLOSED_CANONICAL_M004_CLOSURE_AND_HANDOFF	COMPLETE_V2	FROZEN_VERIFIED	7_DECLARATIONS_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	PASS_ASSISTANT_EXECUTED
C008	CLOSED_RECORD_LIVE_RESPONSE_COUPLED_UPDATE	COMPLETE_V2	FROZEN_VERIFIED	7_DECLARATIONS_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	PASS_106_TESTS_1086_SUBTESTS
C016	CLOSED_IMMUTABLE_RECORD_CHANNEL	COMPLETE_V2	FROZEN_VERIFIED	12_DECLARATION_SHARED_C016_C017_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	PASS_114_TESTS_1086_SUBTESTS
C017	CLOSED_CURRENT_LIVE_CHANNEL	COMPLETE_V2	FROZEN_VERIFIED	12_DECLARATION_SHARED_C016_C017_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	PASS_114_TESTS_1086_SUBTESTS
C009	CLOSED_RAW_CODOMAIN_STATE_ASSEMBLY	COMPLETE_V2	FROZEN_VERIFIED	8_DECLARATIONS_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	PASS_117_TESTS_1086_SUBTESTS
M005	CLOSED_CONDUCTANCE_UNIT_NORMALIZATION_INDEPENDENCE	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_EXACT_LOCAL_BUILD	PASS_REPRODUCED
N001	CLOSED_FIXED_NORMALIZATION	V1_CONTENT_PRESENT_MIGRATION_REQUIRED	FROZEN_VERIFIED	PASS_EXACT_LOCAL_BUILD	PASS_REPRODUCED
O001	CLOSED_VERIFIED_EIGHT_CHANNEL_IMPLEMENTATION_OBSTRUCTION	COMPLETE_V2	FROZEN_VERIFIED_OBSTRUCTION	PASS_USER_LOCAL_PREFIX_FREE_ROOT_BUILD_EIGHT_CHANNEL_GATE	PASS_FULL_SUITE_CURRENT_SOURCE
P001	CLOSED_REUSABLE_DIRECTED_SCHUR_DTN_KRON_CHANNEL	COMPLETE_V2	FROZEN_VERIFIED	142_DECLARATIONS_KERNEL_AXIOM_VERIFIED_FULL_BOUNDARY_PASS	NOT_REQUIRED_FOR_PROOF_NODE
P002	CLOSED_STATIC_SCHEDULE_STRICT_TOTAL_ORDER	COMPLETE_V2	FROZEN_VERIFIED	KERNEL_VERIFIED	NOT_REQUIRED_STATIC_PROOF
P003	CLOSED_BIRTH_CUT_CANONICITY_PARTITION_INTERNAL_TO_M001	COMPLETE_V2	FROZEN_VERIFIED	PASS_OWNER_INTERNAL_CORE_BUILD	PASS_SUPPORTING_EVIDENCE
P004	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P005	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P006	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P007	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P008	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P009	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P010	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P011	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P012	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P013	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P014	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P015	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P016	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P017	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P018	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P019	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P020	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P021	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P022	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P023	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P024	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P025	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P026	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P027	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P028	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P029	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P030	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P031	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P032	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P033	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P034	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P035	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P036	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P037	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P038	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P039	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P040	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P041	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P042	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
P043	PLANNED_EXPLICIT_PROOF_GATE	NOT_STARTED	NOT_STARTED	NOT_STARTED	NOT_STARTED
