Workflow	Trigger	Required input	Required updates	Exit rule	Change version	Change timestamp	Change class	Change note
Global no-go guardrail inheritance	Every phase preparation, implementation prompt, code review, object documentation update, closeout, pruning decision, or generated-view refresh.	top-level global_no_go_guardrails; active phase scratchpad; proposed module/declaration/object changes; operational vs mirror/non-operational layer classification.	Record that the global guardrails are inherited. Phase-local no_go_guardrails may add stricter local constraints but may not replace, weaken, or scope away the global list. Any exception must be explicitly rejected unless it is already allowed by the global rule text and isolated outside the operational path.	No phase may be implemented or closed unless global_no_go_inheritance is present in its scratchpad record and no local field contradicts the top-level global guardrails.				
Three-layer versioning policy	Any Lean source change; any YAML planning/register change; or any generator, importer, frontend, PDF/table rendering, navigation, API, or tool-code change.	metadata.lean_data_version + metadata.lean_data_timestamp; metadata.planning_data_version + metadata.planning_data_timestamp; metadata.tool_infrastructure_version + metadata.tool_infrastructure_timestamp; change classification as Lean-code, planning/YAML state, or tool-infrastructure code; latest-change overview row; affected code-audit/guardrail/workflow rows.	Update exactly the affected version+timestamp pair(s), keep unaffected pairs unchanged, update compatibility aliases only as mirrors, and regenerate tables/TSV/PDF. Every row or export that records a semantic version must record the paired timestamp or be rejected as history-incomplete.	Latest-change overview shows all six semantic metadata fields; generators validate all six; SQL/Explorer snapshot contracts require all six; no artifact claims a version without the matching timestamp.				
Pre-start feasibility and static-finding triage	Before starting any active phase after a user-reported green build, and before changing Lean code or closing an infrastructure gate.	active phase_id; current phase dependencies; scratchpad preparation fields; Section 2 static findings with Priority/Issue status/Addressing phase; module manifest; reuse/duplication audit; object proof dossiers when relevant.	State whether the active phase is feasible as infrastructure-only, refactor, or Lean implementation. If a blocking issue is found, add or update a Static code finding row with R/Y/G priority, status, and addressing phase; set or keep the phase red/yellow accordingly and backjump to the natural source layer rather than patching a consumer.	Implementation may start only after the active phase has a positive feasibility result or a precisely localized missing bridge. New findings may not remain prose-only; they must be represented in Section 2 with a phase assignment and priority.				
Pre-Implementation Phase Check / semantic thought experiment	User asks to check the next semantically connected phases in advance, as a Gedankenexperiment, before implementation; also applicable before a risky multi-phase refactor or derived-only bridge sequence.	Current active cursor; phase table; scratchpad; object register and proof dossiers; module implementation manifest; reuse/duplication ledger; consumption map; static findings; last user-reported green build when available; requested semantic window or the next contiguous phase cluster inferred from dependencies.	For every inspected phase, create/update a pre-implementation check record and mark Y if the phase is implementable under current dependencies, or R if a dependency, object, proof route, module seam, source, or consumer-contract gap is missing. Add newly discovered problems to Static code findings. For every R record, generate one or more upstream addressing phases or a documented merge/backjump target before the blocked phase; do not set the blocked phase active until those addressing phases are closed.	The check closes only when every phase in the semantic window has a Y/R result, each R result has a concrete addressing phase or documented merge target, generated phases have object-link policy and scratchpad stubs, and all changed records carry the current tool version/timestamp. Lean-code data timestamp remains unchanged unless Lean files or Lean inventory are changed.				
Concrete computable instance traversal	Before any operational Lean implementation starts, whenever a computable path, ExecComplex bridge, generated matrix/operator, recurrence, determinant, inverse candidate, or smoke-test route is introduced or modified.	active phase_id; target operational declarations; at least one concrete finite instance or an explicit infrastructure-only justification; expected executable witness; current mathlib imports and known computability risks.	Fill concrete_instance_traversal, computable_path_not_skeleton_status, expected_executable_witness, mathlib_complication_log, noncomputable_boundary_audit, and mathlib_mitigation_or_refactor_layer in the scratchpad. Record whether the instance reaches the intended output object or where it stops.	Implementation may start only if the phase either has a concrete instance path through the computable code or is explicitly infrastructure-only. Any mathlib noncomputable leak must be isolated in an allowed mirror/non-operational layer or backjumped to the natural source layer; it cannot silently enter the operational path.				
Phase preparation from reliable sources	User asks to prepare phase x with sources y,z or supplies established/reliable sources before implementation.	phase_id; source titles/URLs/files; expected theory layer; optional target objects.	Record source materials; extract theory objects/formulas; map them to CNNA object IDs; update or add object rows; split the phase if dependency depth is too high; fill dependency audit, proof rehearsal, tactic plan, and natural fallback layer. Do not mark the phase green.	Phase remains Y/R/W according to dependency status. A prepared phase has a concrete positive proof path or a precisely localized missing bridge.				
Implementation from last green baseline	User asks to implement the active phase in Lean code.	last green package or last green CI snapshot; active phase_id; prepared scratch-pad record; object/phase dependencies; applicable source notes; explicit distinction between missing build evidence, verified red failure and verified green success.	Use positive construction first; preserve import/consumer discipline; add or modify only neutral code-surface modules; record files changed, definitions, proof skeleton, tactics, forbidden-pattern checks and package result. If no build evidence is available, record artifact-generated / build required rather than red or green.	If the build is locally confirmed green or CEX15 receives verified green CI evidence, set phase G only through closeout evidence. If a local or CI build is verified red, set the attempted phase R and add/activate the missing repair bridge at the natural source layer. Absence of build evidence alone must not mark the phase red, green, closed or cursor-advanced.	P1.40	2026-05-12T08:18:00+02:00	planning-delta	P1.40 workflow-coherence audit: clarified no-build vs red-build states, delta-PDF closeout, red-history API/deployment dependencies, and added anti-self-sabotage workflow guardrail.
Object and quantities proof documentation workflow	A registered object or quantity is introduced, corrected from blue to public-final, exported through a handoff, or used as a proof-relevant code object.	object_id; current derivation site; source objects; CNNA definition; intended proof target; phase_id; semantic/API status.	Create or update the object proof dossier with source objects, definitions, proof goal, proof sketch/proof term reference, verification/audit result, documented yes/no, and link from the object register. Blue objects must record why proof-carrying is not yet semantically final.	An object may be public-final only when the object row and proof dossier agree: documented=yes, semantic status complete, API/handoff rights settled, and verification evidence points to the checked code or explicitly states that Lean build evidence is still local-only.				
Gap localization and backjump	During preparation or implementation a required object/proof bridge is missing. Also triggered automatically by red Lean CI through CEX15.	failed target statement; currently available objects; deepest successful dependency; missing lemma/data shape.	Do not patch the consumer. Add or activate the earliest natural source phase where the structure should be generated; record why the old phase cannot close; preserve positive-path orientation.	The blocked phase is not closed. A smaller predecessor phase is created or activated with explicit source objects and proof goals.				
Post-green closeout	User reports the phase build is green or CEX15 receives a verified green CI build for the active phase.	compiler result; exact zip/package used; warnings or errors fixed; current phase record; for automated path: CI run ID, commit SHA, artifact manifest and scanner evidence; documentation-output mode delta/full with selector or release checkpoint.	Fill implementation result; update object statuses; update linked phase-object map; close scratch-pad record; move active cursor to the next phase whose dependencies are complete. Automated closeout must use CEX15 transition invariants and may not advance the cursor on build success alone if evidence fields are incomplete. Regenerate/validate tables and emit the applicable documentation artifact: timestamp-bounded delta PDF for bounded planning changes, full PDF only for explicit full-release/full-audit checkpoints.	Exactly one active cursor remains. All green phases have complete implementation records; generated tables and the requested documentation artifact validate/render. Automated green CI may not close a phase without CEX15 closeout evidence; no workflow may require default full-PDF churn for bounded deltas.	P1.40	2026-05-12T08:18:00+02:00	planning-delta	P1.40 workflow-coherence audit: clarified no-build vs red-build states, delta-PDF closeout, red-history API/deployment dependencies, and added anti-self-sabotage workflow guardrail.
