Class	Applies to	Parent class	Meaning	Truth role	Allowed consumers
PhaseBase	phase	root	Abstract superclass for all roadmap phases.	No truth role by itself; subclasses determine whether the phase may touch Lean, tooling, documentation, DB or reference material.	Only used by generated validators/tables.
LeanDerivationPhase	phase	PhaseBase/LeanPhase	Direct Lean mathematical/content derivation phase.	May eventually create or close checked Lean objects, but only after derived-only release evidence.	Lean implementation prompt, object proof dossier, downstream phases after closure.
LeanRefactorPhase	phase	PhaseBase/LeanPhase	Lean code/API/name/import-surface refactor phase without new mathematical content by itself.	Preserves/reorganizes checked code; does not prove new mathematics unless separately registered.	Build/refactor workflow and later Lean phases after regression checks.
LeanGovernancePhase	phase	PhaseBase/GovernancePhase	Policy/release/import/consumer-governance phase that controls Lean work but is not itself a Lean theorem.	Planning authority only; must not be cited as mathematical proof.	Implementation prompts and generated validators.
ReferenceGatePhase	phase	PhaseBase/ComparisonPhase	External established-theory or side-theory comparison/target gate.	Comparison/reference only; never CNNA generator or input.	Scratchpads, review gates and later consistency checks after CNNA-derived data exists.
ToolInfrastructurePhase	phase	PhaseBase/ToolPhase	Python/YAML/generator/schema/tooling phase.	Generated-secondary tooling; cannot release Lean mathematical claims.	Documentation tool, exporters, future DB mirror.
DatabaseMirrorPhase	phase	PhaseBase/ToolPhase	Provider-neutral SQL/public-read mirror or frontend publication phase.	Read/query/publication mirror only; not a truth source.	Public API/frontend/review tooling after snapshot/checksum rules.
GeneratedArtifactPhase	phase	PhaseBase/ToolPhase	PDF/TSV/DOT/README/package generated-output phase.	Rendering/navigation/release packaging only.	Readers, documentation exports, release packages.
DocumentationPhase	phase	PhaseBase/DocumentationPhase	Human-readable documentation, review matrix, no-infallibility statement, or manual workflow phase.	Interpretive documentation; expert review required.	Reviewers and future tool/database views.
BaselinePhase	phase	PhaseBase	Frozen baseline or package state phase.	Records baseline identity only.	Regression comparison and package history.
ObjectBase	object	root	Abstract superclass for all registered objects/quantities/control artifacts.	No truth role by itself; subclasses determine whether the row is Lean, target, tool, DB, reference, generated or governance.	Object register/proofbook validators.
LeanSourceObject	object	ObjectBase/LeanObject	Object has an existing Lean source/seed or canonical Lean module site.	Potential checked-code object; exact semantic status still governed by Object status and proof dossier.	Lean phases subject to import/consumer discipline.
LeanTargetObject	object	ObjectBase/LeanObject	Planned or future Lean object/candidate, not a checked final object yet.	Target only until implemented and proof-checked.	Planning/proof rehearsal; not public-final.
LeanRefactorObject	object	ObjectBase/LeanObject/RefactorObject	Lean-facing refactor, notation, facade, quarantine or import-surface object. It may point to Lean modules, but its semantic role is reorganization/compatibility rather than new mathematics.	Code-shape object only; preserves or exposes checked code and must not be cited as a new derived mathematical theorem.	Lean refactor phases, regression checks and downstream phases after build-compatible migration evidence.
LeanHandoffContractObject	object	ObjectBase/LeanObject/ContractObject	Lean-facing handoff/input/output contract object. It controls access between pillars or phase layers and may have a Lean target module, but it is not itself the mathematical data transported by the handoff.	Interface/consumer-rights object; downstream phases may consume only the separately registered LeanSourceObject or LeanTargetObject data named by the contract.	Handoff validators, pillar-boundary phases and later Lean phases subject to access rights.
LeanGovernanceObject	object	ObjectBase/LeanObject/GovernanceObject	Lean-facing policy/audit object whose natural representation may be a Lean module or proof-carrying record, while the content remains governance rather than mathematical CNNA data.	Checked governance/audit boundary if implemented; never a substitute for a derived mathematical object.	Static audits, import/consumer discipline, release gates and implementation prompts.
GovernancePolicyObject	object	ObjectBase/GovernanceObject	Policy, ledger, guardrail, release, import or consumer-control object.	Controls work; does not constitute mathematical CNNA data.	Implementation prompts, validators and review checklists.
ReferenceGateObject	object	ObjectBase/ComparisonObject	External theory/reference/comparison/target-gate object.	Comparison-only; never ontic or generative CNNA input.	Scratchpads and later consistency gates after CNNA-derived objects exist.
ToolInfrastructureObject	object	ObjectBase/ToolObject	YAML/schema/script/export/tooling object.	Generated-secondary/tooling; cannot be mistaken for Lean object.	Documentation tool and future database importer.
DatabaseMirrorObject	object	ObjectBase/ToolObject	Provider-neutral SQL/frontend/read-only mirror object.	Publication/query mirror only; never Lean/YAML truth replacement.	Public read-only API/frontend/review tooling.
GeneratedArtifactObject	object	ObjectBase/ToolObject	PDF/TSV/DOT/README/package output or generated rendering contract.	Rendering/navigation artifact; semantically reviewable and secondary.	Readers and release packages.
DocumentationObject	object	ObjectBase/DocumentationObject	Documentation/review statement or expert-review object.	Interpretive; expert review remains required.	Reviewers and documentation slices.
LifecycleGovernanceObject	object	GovernancePolicyObject	An object whose content governs object currency, supersession, rename/delete history, successor pointers and historical provenance.	planning/tooling governance; not Lean truth and not a CNNA generator	Explorer schema, SQL mirror, history timeline, object register/proofbook generators and review workflows
LegacyCodeReferencePhase	Phases	ReferenceGatePhase	Phase that scans or migrates uploaded legacy code as reference/migration evidence only.	Secondary code-evidence layer: useful for target gates and regression ideas, but not CNNA truth and not direct Lean-source authority.	Planning, Explorer, future migration phases and expert review; Lean consumers only after a derived-only source map and new CNNA implementation exist.
LegacyCodeReferenceObject	Objects	ReferenceGateObject	Object/ledger recording legacy-code structures, migration dispositions, risks or regression targets.	Reference/migration object, never a CNNA-derived theorem/object by itself.	Planning, Explorer, migration ledgers and review. CNNA Lean phases may consume only its audited target obligations, not its legacy code as source.
