assertion_id	usage_id	reference_id	source_locator	source_statement_paraphrase	cnna_claim	cnna_hypotheses	verification_basis	uncertainty_or_limit
EXT-ASSERT-DKP-001	EXT-USE-P001-DKP-MAIN	EXT-REF-DKP-001	Definition 3.2, arXiv v2 PDF p. 4	A boundary subset is reachable when every eliminated vertex has a directed path to some retained boundary vertex.	The M001 boundary is reachable because every interior vertex has an intrinsic positive child-to-parent birth-measurement path to the retained root; no external ground load is introduced.	DKP-1 plus M001 root membership.	Primary-source PDF checked at arXiv v2.	Graph reachability and intrinsic grounding are Lean-implemented; the matrix consequence remains DKP-3b existence/uniqueness.
EXT-ASSERT-DKP-002	EXT-USE-P001-DKP-MAIN	EXT-REF-DKP-001	Lemma 3.3, arXiv v2 PDF pp. 4--5	For a proper reachable boundary of cardinality at least two, the directed Kron reduction is well-defined; reachability is equivalent to invertibility of the eliminated loopless-Laplacian principal block.	The concrete C007 interior block is nonsingular, making the exact response domain total on reachable CNNA states.	DKP-2, compiler-verified DKP-3a, intrinsic birth-measurement grounding, exact unmodified C007 loopless-Laplacian convention.	Primary-source PDF and published metadata.	Analytically closed; internal C006 exact-value solve existence and uniqueness remain DKP-3b-E/U.
EXT-ASSERT-DKP-003	EXT-USE-P001-DKP-MAIN	EXT-REF-DKP-001	Lemma 3.4, arXiv v2 PDF p. 5	The Kron-reduced matrix preserves the loopy Laplacian class, and preserves the loopless class when the original matrix is loopless.	The C007 response retains nonpositive off-diagonals and zero row sums, hence is again a loopless directed Laplacian.	C007 source/out-degree loopless Laplacian; reachable boundary.	Primary-source PDF.	The loopless directed-Laplacian closure is internally kernel-verified through S08. The published result is retained as theorem-context, not imported as a Lean axiom; S09 source uses the internal sign/conservation proof.
EXT-ASSERT-DKP-004	EXT-USE-P001-DKP-MAIN	EXT-REF-DKP-001	Theorem 3.9(1), arXiv v2 PDF p. 7	A reduced directed edge exists exactly when the original graph has a path between the retained endpoints whose internal vertices are eliminated; strong connectivity is preserved.	The reduced boundary support is strongly connected and the parent port has a positive outgoing reduced edge.	Full C005 support strongly connected; M001 boundary reachable with at least two ports.	Primary-source PDF.	The internal P001 proof does not import this published theorem as an axiom. It proves the required positivity from explicit positive paths in DirectedCutHypotheses, derives those paths for the canonical cut, and verifies reuse on an independent bidirected-chain cut family.
EXT-ASSERT-FOUND-001	EXT-USE-C003-VONNEUMANN-INFOBOX	EXT-REF-FOUND-001	Introduction, printed p. 199 and continuation on p. 200; displayed 0, 1, 2, 3	Every ordinal is represented as the set of all preceding ordinals; the displayed finite sequence begins with 0 as the empty set, then 1={0}, 2={0,1}, and 3={0,1,2}.	After adjoining b=1 only as an external comparison, the immediate-successor graph of the finite von-Neumann ordinals 0,...,L is isomorphic to the unary rooted address chain epsilon, 0, 00, ..., 0^L.	Use the singleton slot alphabet S_1={0}; identify only graph vertices by n mapsto 0^n and edges n to n+1 by word extension 0^n to 0^(n+1). The active CNNA contract itself remains b>=2.	Official University of Szeged repository metadata and primary-source PDF; exact source text visually checked on printed p. 199.	The source supports the ordinal representation, not the CNNA tree comparison. The graph isomorphism is an elementary CNNA-side inference. No set-theoretic, arithmetic, ontological, or node identity is claimed.
EXT-ASSERT-C001-CATEGORY	EXT-USE-C001-CATEGORY-INFOBOX	EXT-REF-CAT-001	Chs. I and III	Initial and terminal objects are characterized by unique morphisms from or to every object.	The empty carrier and singleton technical token have standard universal-object analogues in Set.	Comparison only; no categorical derivation premise.	Official Springer metadata and standard categorical definition.	The executable singleton representation of an empty carrier is not itself the mathematical empty set.
EXT-ASSERT-C003-WORDS	EXT-USE-C003-WORDS-DIRECT	EXT-REF-WORDS-001	Ch. 1	Finite sequences over an alphabet are words; concatenation forms a free monoid.	C003 addresses are bounded finite words and child formation is right concatenation.	Finite ordered alphabet S_b and cutoff L.	Cambridge publisher record and standard chapter scope.	Parent/rank ownership and cutoff semantics are proved internally.
EXT-ASSERT-C006-SCHUR	EXT-USE-C006-SCHUR-DIRECT	EXT-REF-SCHUR-001	Horn--Zhang, pp. 17--46	The Schur complement of an invertible block is A-BD^{-1}C.	C006 unique-solve response is the same block value without using Matrix.inv.	Unique interior solve on the exact domain.	Springer chapter metadata and standard formula.	C006 value equivalence and exact-fraction implementation are CNNA-internal.
EXT-ASSERT-C006-KRON	EXT-USE-C006-KRON-DIRECT	EXT-REF-KRON-001	Sec. I, Eqs. (1)--(2)	Gaussian elimination of interior voltages yields the Schur-complement reduced conductance matrix; the literature calls it Kron reduction and DtN.	C006/C007 use the same block elimination pattern.	Boundary/interior block decomposition and unique interior solve.	IEEE metadata, arXiv primary manuscript, and inspected first two pages.	The source is undirected; directed preservation uses Sugiyama--Sato.
EXT-ASSERT-C007-LAPLACIAN	EXT-USE-C007-LAPLACIAN-DIRECT	EXT-REF-LAPLACIAN-001	Abstract and Sec. 1	A nonsymmetric Laplacian has nonpositive off-diagonal entries and zero row sums and represents a weighted digraph.	C007 fixed source/out-degree matrix is a directed Laplacian in this standard sense.	Positive directed conductances and row/source convention.	Elsevier metadata and arXiv abstract/source.	No spectral results from the paper are used.
